Date,Max_Demand
1/1/99,23602
1/2/99,26671
1/3/99,25843
1/4/99,29543
1/5/99,29790
1/6/99,29012
1/7/99,29365
1/8/99,29922
1/9/99,28366
1/10/99,26642
1/11/99,29812
1/12/99,29802
1/13/99,30021
1/14/99,30630
1/15/99,30303
1/16/99,28701
1/17/99,27170
1/18/99,30794
1/19/99,30897
1/20/99,30296
1/21/99,30602
1/22/99,30058
1/23/99,28763
1/24/99,27352
1/25/99,29914
1/26/99,30375
1/27/99,30375
1/28/99,30502
1/29/99,30507
1/30/99,28629
1/31/99,27242
2/1/99,30321
2/2/99,30572
2/3/99,31097
2/4/99,30283
2/5/99,30560
2/6/99,28858
2/7/99,27600
2/8/99,30439
2/9/99,30157
2/10/99,30698
2/11/99,30642
2/12/99,30232
2/13/99,28622
2/14/99,27128
2/15/99,28187
2/16/99,27538
2/17/99,29438
2/18/99,30354
2/19/99,30120
2/20/99,28890
2/21/99,27934
2/22/99,30827
2/23/99,31303
2/24/99,31524
2/25/99,31516
2/26/99,31002
2/27/99,29860
2/28/99,27830
3/1/99,31106
3/2/99,31091
3/3/99,31455
3/4/99,31489
3/5/99,31426
3/6/99,30292
3/7/99,28034
3/8/99,31896
3/9/99,32356
3/10/99,31977
3/11/99,32142
3/12/99,31474
3/13/99,30659
3/14/99,27992
3/15/99,31736
3/16/99,32161
3/17/99,32209
3/18/99,32790
3/19/99,32790
3/20/99,31286
3/21/99,29212
3/22/99,32614
3/23/99,32642
3/24/99,32864
3/25/99,33496
3/26/99,33222
3/27/99,31499
3/28/99,29499
3/29/99,33421
3/30/99,33383
3/31/99,32771
4/1/99,32118
4/2/99,27763
4/3/99,30179
4/4/99,28909
4/5/99,33137
4/6/99,33314
4/7/99,33343
4/8/99,32985
4/9/99,32230
4/10/99,30811
4/11/99,28965
4/12/99,32920
4/13/99,33513
4/14/99,33028
4/15/99,33463
4/16/99,33103
4/17/99,30413
4/18/99,28592
4/19/99,32445
4/20/99,32988
4/21/99,30267
4/22/99,33126
4/23/99,33052
4/24/99,31816
4/25/99,29282
4/26/99,33043
4/27/99,33192
4/28/99,34101
4/29/99,33603
4/30/99,33303
5/1/99,30190
5/2/99,29430
5/3/99,33212
5/4/99,33615
5/5/99,33806
5/6/99,33318
5/7/99,32607
5/8/99,30916
5/9/99,27787
5/10/99,32814
5/11/99,33524
5/12/99,34061
5/13/99,33056
5/14/99,32582
5/15/99,31314
5/16/99,27849
5/17/99,32954
5/18/99,33389
5/19/99,33635
5/20/99,32664
5/21/99,32742
5/22/99,31829
5/23/99,29125
5/24/99,33376
5/25/99,33756
5/26/99,34054
5/27/99,34065
5/28/99,33429
5/29/99,32191
5/30/99,28576
5/31/99,32414
6/1/99,33291
6/2/99,33442
6/3/99,29836
6/4/99,32075
6/5/99,31695
6/6/99,28460
6/7/99,32916
6/8/99,34057
6/9/99,33664
6/10/99,33562
6/11/99,33227
6/12/99,32476
6/13/99,28593
6/14/99,33181
6/15/99,33478
6/16/99,33943
6/17/99,33861
6/18/99,33569
6/19/99,32275
6/20/99,28680
6/21/99,33550
6/22/99,33734
6/23/99,33556
6/24/99,33862
6/25/99,33904
6/26/99,33062
6/27/99,29507
6/28/99,33951
6/29/99,34247
6/30/99,33575
7/1/99,33287
7/2/99,33494
7/3/99,32580
7/4/99,29177
7/5/99,33195
7/6/99,33034
7/7/99,33124
7/8/99,32978
7/9/99,30994
7/10/99,31479
7/11/99,29109
7/12/99,33226
7/13/99,33584
7/14/99,33567
7/15/99,33697
7/16/99,33546
7/17/99,32350
7/18/99,28945
7/19/99,33788
7/20/99,34063
7/21/99,34206
7/22/99,33693
7/23/99,33531
7/24/99,32356
7/25/99,29185
7/26/99,34064
7/27/99,34360
7/28/99,33382
7/29/99,33997
7/30/99,33579
7/31/99,31380
8/1/99,29071
8/2/99,33398
8/3/99,33583
8/4/99,33750
8/5/99,34000
8/6/99,33411
8/7/99,32646
8/8/99,29070
8/9/99,33538
8/10/99,33989
8/11/99,34064
8/12/99,34213
8/13/99,34194
8/14/99,31695
8/15/99,28050
8/16/99,32021
8/17/99,32953
8/18/99,33682
8/19/99,33876
8/20/99,33253
8/21/99,32646
8/22/99,30219
8/23/99,33832
8/24/99,33602
8/25/99,34194
8/26/99,34092
8/27/99,34203
8/28/99,33186
8/29/99,30318
8/30/99,34177
8/31/99,34281
9/1/99,34179
9/2/99,34468
9/3/99,34069
9/4/99,32661
9/5/99,30197
9/6/99,32391
9/7/99,30720
9/8/99,34780
9/9/99,34004
9/10/99,32822
9/11/99,32135
9/12/99,29341
9/13/99,33722
9/14/99,34381
9/15/99,33255
9/16/99,33383
9/17/99,33020
9/18/99,32210
9/19/99,29792
9/20/99,33399
9/21/99,33810
9/22/99,32951
9/23/99,32844
9/24/99,32544
9/25/99,32349
9/26/99,29928
9/27/99,33263
9/28/99,34084
9/29/99,33682
9/30/99,33501
