Date,Stored Energy (in GWh)
1/1/00,20346.6165
1/2/00,20944.1655
1/3/00,21915
1/4/00,23301.489
1/5/00,24564.5235
1/6/00,25612.0605
1/7/00,26503.2705
1/8/00,27489.4455
1/9/00,28263.045
1/10/00,28823.3385
1/11/00,29096.5455
1/12/00,29358.0645
1/13/00,29546.5335
1/14/00,29629.8105
1/15/00,29846.0385
1/16/00,30054.231
1/17/00,30052.77
1/18/00,30114.8625
1/19/00,30183.5295
1/20/00,30352.275
1/21/00,30440.6655
1/22/00,30657.624
1/23/00,30784.0005
1/24/00,30761.355
1/25/00,30781.0785
1/26/00,30865.086
1/27/00,31262.478
1/28/00,31834.4595
1/29/00,32410.824
1/30/00,32832.3225
1/31/00,33196.842
2/1/00,33709.653
2/2/00,34380.252
2/3/00,34998.9855
2/4/00,35426.328
2/5/00,35923.7985
2/6/00,36517.695
2/7/00,37102.8255
2/8/00,37922.4465
2/9/00,38741.337
2/10/00,39692.448
2/11/00,40615.8
2/12/00,41669.9115
2/13/00,42827.754
2/14/00,43788.3615
2/15/00,44650.3515
2/16/00,45431.256
2/17/00,46334.154
2/18/00,47104.101
2/19/00,47851.4025
2/20/00,48501.5475
2/21/00,48891.6345
2/22/00,49176.5295
2/23/00,49503.7935
2/24/00,49798.185
2/25/00,50043.633
2/26/00,50291.2725
2/27/00,50667.48
2/28/00,51016.659
2/29/00,51414.7815
3/1/00,51818.0175
3/2/00,52266.5445
3/3/00,52663.9365
3/4/00,53112.4635
3/5/00,53547.111
3/6/00,53899.9425
3/7/00,54227.2065
3/8/00,54634.8255
3/9/00,54932.8695
3/10/00,55396.0065
3/11/00,56130.8895
3/12/00,56938.092
3/13/00,57494.733
3/14/00,58023.615
3/15/00,58440.7305
3/16/00,58873.1865
3/17/00,59526.2535
3/18/00,60202.6965
3/19/00,61168.4175
3/20/00,62096.1525
3/21/00,62833.227
3/22/00,63295.6335
3/23/00,63708.366
3/24/00,63991.0695
3/25/00,64264.2765
3/26/00,64658.7465
3/27/00,64934.8755
3/28/00,65205.891
3/29/00,65545.5735
3/30/00,65941.5045
3/31/00,66228.591
4/1/00,66568.2735
4/2/00,66918.183
4/3/00,67144.638
4/4/00,67317.7665
4/5/00,67392.2775
4/6/00,67479.207
4/7/00,67543.491
4/8/00,67615.8105
4/9/00,67695.435
4/10/00,67667.676
4/11/00,67649.4135
4/12/00,67558.8315
4/13/00,67492.356
4/14/00,67468.98
4/15/00,67484.3205
4/16/00,67566.867
4/17/00,67507.6965
4/18/00,67406.157
4/19/00,67468.98
4/20/00,67565.406
4/21/00,67750.953
4/22/00,67840.8045
4/23/00,67937.2305
4/24/00,67939.422
4/25/00,67876.599
4/26/00,67796.244
4/27/00,67688.8605
4/28/00,67554.4485
4/29/00,67357.944
4/30/00,67213.305
5/1/00,67189.929
5/2/00,66985.389
5/3/00,66723.1395
5/4/00,66493.032
5/5/00,66300.18
5/6/00,66138.009
5/7/00,66108.0585
5/8/00,65944.4265
5/9/00,65804.901
5/10/00,65671.2195
5/11/00,65520.7365
5/12/00,65303.778
5/13/00,65089.011
5/14/00,65023.9965
5/15/00,64794.6195
5/16/00,64514.1075
5/17/00,64185.3825
5/18/00,63897.5655
5/19/00,63630.2025
5/20/00,63408.1305
5/21/00,63283.215
5/22/00,63020.9655
5/23/00,62857.3335
5/24/00,62660.829
5/25/00,62421.225
5/26/00,62133.408
5/27/00,61901.8395
5/28/00,61770.3495
5/29/00,61537.32
5/30/00,61313.0565
