Date,energy_charge
1-Jan-99,434.6805
2-Jan-99,468.9269
3-Jan-99,456.2706
4-Jan-99,562.3646
5-Jan-99,588.9164
6-Jan-99,590.5349
7-Jan-99,584.5736
8-Jan-99,589.5664
9-Jan-99,535.5908
10-Jan-99,483.815
11-Jan-99,590.1639
12-Jan-99,602.1987
13-Jan-99,601.7371
14-Jan-99,611.5148
15-Jan-99,609.9516
16-Jan-99,544.3699
17-Jan-99,492.4527
18-Jan-99,606.9837
19-Jan-99,628.4884
20-Jan-99,626.8673
21-Jan-99,643.1292
22-Jan-99,636.4958
23-Jan-99,566.9227
24-Jan-99,502.4327
25-Jan-99,594.0422
26-Jan-99,631.3178
27-Jan-99,387.682
28-Jan-99,516.0256
29-Jan-99,620.3785
30-Jan-99,564.9339
31-Jan-99,491.7644
1-Feb-99,603.9405
2-Feb-99,622.6649
3-Feb-99,632.5436
4-Feb-99,638.7203
5-Feb-99,635.1916
6-Feb-99,576.9046
7-Feb-99,504.8792
8-Feb-99,619.1701
9-Feb-99,638.1241
10-Feb-99,636.646
11-Feb-99,636.1025
12-Feb-99,619.183
13-Feb-99,550.5934
14-Feb-99,494.2338
15-Feb-99,532.4187
16-Feb-99,526.6086
17-Feb-99,589.6409
18-Feb-99,627.4665
19-Feb-99,621.6528
20-Feb-99,562.7461
21-Feb-99,505.2661
22-Feb-99,619.5492
23-Feb-99,631.8748
24-Feb-99,630.384
25-Feb-99,633.8263
26-Feb-99,624.034
27-Feb-99,559.7115
28-Feb-99,498.0091
1-Mar-99,607.6461
2-Mar-99,618.651
3-Mar-99,618.8838
4-Mar-99,622.4852
5-Mar-99,621.0049
6-Mar-99,562.8032
7-Mar-99,505.1667
8-Mar-99,610.8885
9-Mar-99,638.3921
10-Mar-99,642.3908
11-Mar-99,612.1327
12-Mar-99,592.7092
13-Mar-99,553.8453
14-Mar-99,492.4509
15-Mar-99,598.4035
16-Mar-99,616.7807
17-Mar-99,624.6026
18-Mar-99,625.951
19-Mar-99,627.5683
20-Mar-99,570.4762
21-Mar-99,522.7535
22-Mar-99,632.9462
23-Mar-99,639.781
24-Mar-99,635.8949
25-Mar-99,643.7991
26-Mar-99,648.1571
27-Mar-99,588.0875
28-Mar-99,538.0875
29-Mar-99,655.0865
30-Mar-99,662.4495
31-Mar-99,651.0134
1-Apr-99,629.2275
2-Apr-99,513.6376
3-Apr-99,545.447
4-Apr-99,519.8056
5-Apr-99,635.4005
6-Apr-99,651.7377
7-Apr-99,650.4866
8-Apr-99,643.1826
9-Apr-99,634.8687
10-Apr-99,567.3564
11-Apr-99,501.2563
12-Apr-99,609.5173
13-Apr-99,635.8236
14-Apr-99,641.9646
15-Apr-99,636.8662
16-Apr-99,636.2455
17-Apr-99,562.1167
18-Apr-99,487.3721
19-Apr-99,585.904
20-Apr-99,610.1847
21-Apr-99,547.2633
22-Apr-99,620.4304
23-Apr-99,620.6787
24-Apr-99,560.4828
25-Apr-99,500.7528
26-Apr-99,601.5007
27-Apr-99,616.2628
28-Apr-99,615.2999
29-Apr-99,621.9569
30-Apr-99,619.77184
1-May-99,520.3192
2-May-99,493.8062
3-May-99,601.196
4-May-99,620.2475
5-May-99,629.4972
6-May-99,632.6351
7-May-99,624.019
8-May-99,558.48014
9-May-99,489.0062
10-May-99,593.4962
11-May-99,613.4081
12-May-99,620.4229
13-May-99,616.0507
14-May-99,602.7739
15-May-99,546.145
16-May-99,484.7991
17-May-99,586.5853
18-May-99,601.0821
19-May-99,607.1701
20-May-99,602.7826
21-May-99,598.9643
22-May-99,547.5963
23-May-99,483.3787
24-May-99,586.4387
25-May-99,607.3013
26-May-99,611.0865
27-May-99,619.7517
28-May-99,628.5032
29-May-99,571.5456
30-May-99,503.613
31-May-99,586.8477
1-Jun-99,597.3057
2-Jun-99,607.0477
3-Jun-99,527.1543
4-Jun-99,583.7995
5-Jun-99,546.5778
6-Jun-99,496.0224
7-Jun-99,591.396
8-Jun-99,610.8559
9-Jun-99,612.6762
10-Jun-99,616.1844
11-Jun-99,618.0896
12-Jun-99,563.9836
13-Jun-99,494.484
14-Jun-99,604.7879
15-Jun-99,613.6852
16-Jun-99,616.043
17-Jun-99,618.552
18-Jun-99,619.8792
19-Jun-99,567.806
20-Jun-99,507.7324
21-Jun-99,601.3029
22-Jun-99,611.8617
23-Jun-99,608.8171
24-Jun-99,612.2002
25-Jun-99,614.939
26-Jun-99,565.5745
27-Jun-99,499.7327
28-Jun-99,600.7951
29-Jun-99,623.319
30-Jun-99,620.7187
1-Jul-99,608.7747
2-Jul-99,609.7738
3-Jul-99,560.448
4-Jul-99,503.4373
5-Jul-99,614.3166
6-Jul-99,609.5863
7-Jul-99,615.6047
8-Jul-99,617.4969
9-Jul-99,566.2102
10-Jul-99,539.5773
11-Jul-99,485.1052
12-Jul-99,588.1753
13-Jul-99,606.0721
14-Jul-99,607.4608
15-Jul-99,614.5296
16-Jul-99,621.8951
17-Jul-99,571.3017
18-Jul-99,505.6057
19-Jul-99,604.5932
20-Jul-99,618.4018
21-Jul-99,626.1478
22-Jul-99,627.4753
23-Jul-99,622.4663
24-Jul-99,570.4297
25-Jul-99,502.1603
26-Jul-99,606.0583
27-Jul-99,628.2958
28-Jul-99,628.7253
29-Jul-99,617.8932
30-Jul-99,622.0215
31-Jul-99,568.294
1-Aug-99,495.8671
2-Aug-99,601.9869
3-Aug-99,616.5638
4-Aug-99,622.4726
5-Aug-99,622.5271
6-Aug-99,621.4876
7-Aug-99,570.5767
8-Aug-99,504.3407
9-Aug-99,606.9602
10-Aug-99,626.2054
11-Aug-99,629.2047
12-Aug-99,633.1499
13-Aug-99,636.5176
14-Aug-99,579.2841
15-Aug-99,492.1972
16-Aug-99,584.1091
17-Aug-99,605.2298
18-Aug-99,618.6348
19-Aug-99,621.4056
20-Aug-99,622.1994
21-Aug-99,575.1454
22-Aug-99,513.1941
23-Aug-99,614.9564
24-Aug-99,625.7616
25-Aug-99,630.0542
26-Aug-99,633.7591
27-Aug-99,636.6394
28-Aug-99,588.9159
29-Aug-99,524.6068
30-Aug-99,626.9662
31-Aug-99,641.2319
1-Sep-99,640.5282
2-Sep-99,646.8779
3-Sep-99,650.343
4-Sep-99,587.3487
5-Sep-99,522.3307
6-Sep-99,590.8446
7-Sep-99,551.6501
8-Sep-99,657.5506
9-Sep-99,654.0736
10-Sep-99,638.831
11-Sep-99,578.6618
12-Sep-99,511.1825
13-Sep-99,615.2283
14-Sep-99,640.5203
15-Sep-99,644.2359
16-Sep-99,625.7229
17-Sep-99,626.7647
18-Sep-99,577.0194
19-Sep-99,512.8034
20-Sep-99,619.6296
21-Sep-99,642.8567
22-Sep-99,633.4057
23-Sep-99,616.812
24-Sep-99,610.7095
25-Sep-99,567.4146
26-Sep-99,506.2163
27-Sep-99,612.846
28-Sep-99,632.4573
29-Sep-99,642.8752
30-Sep-99,638.8011
1-Oct-99,647.8161
2-Oct-99,597.3307
3-Oct-99,513.6137739
4-Oct-99,600.0783
5-Oct-99,616.65994
6-Oct-99,620.2318
7-Oct-99,628.8084
8-Oct-99,633.9045
9-Oct-99,575.335
10-Oct-99,512.4857
11-Oct-99,572.9088
12-Oct-99,520.1713
13-Oct-99,621.4767
14-Oct-99,639.8486
15-Oct-99,647.7091
16-Oct-99,602.9653
17-Oct-99,533.1411
18-Oct-99,621.9331
19-Oct-99,647.7402
20-Oct-99,629.9499
21-Oct-99,625.604
22-Oct-99,623.4226
23-Oct-99,561.4861
24-Oct-99,518.7945
25-Oct-99,605.5112
26-Oct-99,624.1322
27-Oct-99,618.6392
28-Oct-99,621.111
29-Oct-99,628.8525
30-Oct-99,573.1847
31-Oct-99,501.5706
1-Nov-99,566.509
2-Nov-99,520.2807
3-Nov-99,621.4481
4-Nov-99,647.1564
5-Nov-99,654.1937
6-Nov-99,581.6706
7-Nov-99,479.0763
8-Nov-99,587.6632
9-Nov-99,636.9821
10-Nov-99,616.143
11-Nov-99,607.4919
12-Nov-99,616.3635
13-Nov-99,565.8349
14-Nov-99,503.1
15-Nov-99,495.5278
16-Nov-99,594.8131
17-Nov-99,610.2175
18-Nov-99,618.9119
19-Nov-99,621.4408
20-Nov-99,573.4907
21-Nov-99,504.3511
22-Nov-99,604.9622
23-Nov-99,624.59
24-Nov-99,628.3636
25-Nov-99,634.7262
26-Nov-99,641.216
27-Nov-99,580.7962
28-Nov-99,518.8174
29-Nov-99,620.486
30-Nov-99,633.6383
1-Dec-99,635.1323
2-Dec-99,641.3714
3-Dec-99,645.669
4-Dec-99,590.9775
5-Dec-99,521.0258
6-Dec-99,627.0816
7-Dec-99,642.3945
8-Dec-99,629.6135
9-Dec-99,637.59078
10-Dec-99,639.9862
11-Dec-99,577.4117
12-Dec-99,511.8941
13-Dec-99,614.5873
14-Dec-99,632.6101
15-Dec-99,639.0746
16-Dec-99,642.3039
17-Dec-99,635.5723
18-Dec-99,575.578
19-Dec-99,522.2783
20-Dec-99,620.89955
21-Dec-99,630.7321
22-Dec-99,636.8285
23-Dec-99,615.9764
24-Dec-99,534.2415
25-Dec-99,456.6562
26-Dec-99,485.0722
27-Dec-99,589.4162
28-Dec-99,599.8169
29-Dec-99,600.4747
30-Dec-99,594.3038
31-Dec-99,534.2337
1-Jan-00,457.1039
2-Jan-00,465.5526
3-Jan-00,553.4819
4-Jan-00,581.4778
5-Jan-00,595.3905
6-Jan-00,608.0315
7-Jan-00,609.8446
8-Jan-00,548.7882
9-Jan-00,500.3805
10-Jan-00,610.5973
11-Jan-00,633.0189
12-Jan-00,638.5056
13-Jan-00,641.5576
14-Jan-00,648.6482
15-Jan-00,589.5792
16-Jan-00,526.3151
17-Jan-00,636.5681
18-Jan-00,653.1015
19-Jan-00,651.9767
20-Jan-00,606.9423
21-Jan-00,623.449
22-Jan-00,565.7386
23-Jan-00,512.7173
24-Jan-00,616.1577
25-Jan-00,620.9816
26-Jan-00,641.4867
27-Jan-00,612.9622
28-Jan-00,600.373
29-Jan-00,544.1919
