Date,% Volume Used
1/1/99,60.35
1/2/99,59.09
1/3/99,58.33
1/4/99,58.42
1/5/99,57.85
1/6/99,58.54
1/7/99,59.6
1/8/99,60.96
1/9/99,63.02
1/10/99,64.51
1/11/99,64.81
1/12/99,62.83
1/13/99,61.45
1/14/99,61.06
1/15/99,61.26
1/16/99,61.84
1/17/99,62.83
1/18/99,63.32
1/19/99,62.73
1/20/99,61.84
1/21/99,61.65
1/22/99,62.04
1/23/99,62.43
1/24/99,62.83
1/25/99,63.02
1/26/99,63.32
1/27/99,66.42
1/28/99,67.02
1/29/99,66.32
1/30/99,66.42
1/31/99,67.09
2/1/99,67.3
2/2/99,67.73
2/3/99,67.19
2/4/99,66.69
2/5/99,66.49
2/6/99,67.09
2/7/99,67.33
2/8/99,67.19
2/9/99,67.22
2/10/99,67.63
2/11/99,68.14
2/12/99,68.82
2/13/99,68.82
2/14/99,69.13
2/15/99,68.93
2/16/99,69.23
2/17/99,70.16
2/18/99,70.99
2/19/99,72.26
2/20/99,73.42
2/21/99,74.47
2/22/99,75.5
2/23/99,77.56
2/24/99,79.04
2/25/99,81.22
2/26/99,81.77
2/27/99,82.43
2/28/99,82.68
3/1/99,83.23
3/2/99,82.1
3/3/99,81.03
3/4/99,82.32
3/5/99,82.54
3/6/99,82.32
3/7/99,82.13
3/8/99,82.35
3/9/99,82.57
3/10/99,82.87
3/11/99,83.9
3/12/99,85.91
3/13/99,86.67
3/14/99,86.14
3/15/99,85.32
3/16/99,85.09
3/17/99,85.24
3/18/99,85.09
3/19/99,84.9
3/20/99,84.56
3/21/99,84.2
3/22/99,83.53
3/23/99,83.56
3/24/99,84.31
3/25/99,84.9
3/26/99,84.98
3/27/99,85.12
3/28/99,84.65
3/29/99,84.23
3/30/99,83.9
3/31/99,83.67
4/1/99,83.34
4/2/99,83.31
4/3/99,83.34
4/4/99,83.09
4/5/99,82.76
4/6/99,82.68
4/7/99,82.68
4/8/99,82.9
4/9/99,83.34
4/10/99,83.56
4/11/99,83.67
4/12/99,83.9
4/13/99,84.2
4/14/99,84.79
4/15/99,85.54
4/16/99,87.12
4/17/99,88.63
4/18/99,90.09
4/19/99,90.69
4/20/99,91.28
4/21/99,91.86
4/22/99,92.28
4/23/99,91.98
4/24/99,91.63
4/25/99,91.4
4/26/99,91.15
4/27/99,91.15
4/28/99,90.89
4/29/99,91.05
4/30/99,91.01
5/1/99,91.01
5/2/99,91.01
5/3/99,91.05
5/4/99,91.05
5/5/99,91.12
5/6/99,91.24
5/7/99,92.17
5/8/99,91.94
5/9/99,91.82
5/10/99,91.15
5/11/99,90.09
5/12/99,89.63
5/13/99,89.67
5/14/99,89.4
5/15/99,88.98
5/16/99,88.86
5/17/99,88.48
5/18/99,88.71
5/19/99,88.86
5/20/99,88.94
5/21/99,89.09
5/22/99,89.09
5/23/99,89.05
5/24/99,89.09
5/25/99,89.05
5/26/99,89.09
5/27/99,89.21
5/28/99,89.17
5/29/99,89.05
5/30/99,89.05
5/31/99,89.32
6/1/99,89.32
6/2/99,89.32
6/3/99,89.44
6/4/99,89.78
6/5/99,89.97
6/6/99,89.97
6/7/99,89.86
6/8/99,89.86
6/9/99,90
6/10/99,89.97
6/11/99,90.13
6/12/99,90.13
6/13/99,90.13
6/14/99,90.13
6/15/99,90.09
6/16/99,90.66
6/17/99,91.24
6/18/99,91.36
6/19/99,91.59
6/20/99,92.28
6/21/99,92.52
6/22/99,93.33
6/23/99,93.22
6/24/99,92.63
6/25/99,91.94
6/26/99,91.12
6/27/99,90.09
6/28/99,90
