Date,Poured Flow
1/1/99,63
1/2/99,73
1/3/99,98
1/4/99,58
1/5/99,58
1/6/99,266
1/7/99,754
1/8/99,1058
1/9/99,1200
1/10/99,1212
1/11/99,1270
1/12/99,1245
1/13/99,1115
1/14/99,977
1/15/99,977
1/16/99,1121
1/17/99,1250
1/18/99,1250
1/19/99,1220
1/20/99,946
1/21/99,351
1/22/99,64
1/23/99,0
1/24/99,0
1/25/99,0
1/26/99,0
1/27/99,77
1/28/99,419
1/29/99,576
1/30/99,425
1/31/99,292
2/1/99,484
2/2/99,555
2/3/99,834
2/4/99,643
2/5/99,322
2/6/99,213
2/7/99,434
2/8/99,488
2/9/99,518
2/10/99,478
2/11/99,576
2/12/99,652
2/13/99,835
2/14/99,654
2/15/99,608
2/16/99,370
2/17/99,259
2/18/99,118
2/19/99,0
2/20/99,13
2/21/99,0
2/22/99,7
2/23/99,0
2/24/99,0
2/25/99,87
2/26/99,346
2/27/99,407
2/28/99,505
3/1/99,591
3/2/99,1042
3/3/99,775
3/4/99,241
3/5/99,201
3/6/99,204
3/7/99,123
3/8/99,29
3/9/99,0
3/10/99,0
3/11/99,58
3/12/99,915
3/13/99,1140
3/14/99,968
3/15/99,641
3/16/99,156
3/17/99,0
3/18/99,0
3/19/99,0
3/20/99,0
3/21/99,0
3/22/99,0
3/23/99,0
3/24/99,0
3/25/99,0
3/26/99,0
3/27/99,0
3/28/99,0
3/29/99,0
3/30/99,0
3/31/99,0
4/1/99,0
4/2/99,0
4/3/99,0
4/4/99,0
4/5/99,0
4/6/99,0
4/7/99,0
4/8/99,0
4/9/99,0
4/10/99,0
4/11/99,0
4/12/99,0
4/13/99,0
4/14/99,0
4/15/99,0
4/16/99,0
4/17/99,0
4/18/99,0
4/19/99,0
4/20/99,0
4/21/99,0
4/22/99,0
4/23/99,0
4/24/99,0
4/25/99,0
4/26/99,0
4/27/99,0
4/28/99,0
4/29/99,0
4/30/99,0
5/1/99,0
5/2/99,0
5/3/99,0
5/4/99,0
5/5/99,0
5/6/99,0
5/7/99,0
5/8/99,0
5/9/99,0
5/10/99,0
5/11/99,0
5/12/99,0
5/13/99,0
5/14/99,0
5/15/99,0
5/16/99,0
5/17/99,0
5/18/99,0
5/19/99,0
5/20/99,0
5/21/99,0
5/22/99,0
5/23/99,0
5/24/99,0
5/25/99,0
5/26/99,0
5/27/99,0
5/28/99,0
5/29/99,0
5/30/99,0
5/31/99,0
6/1/99,0
6/2/99,0
6/3/99,0
6/4/99,0
6/5/99,0
6/6/99,0
6/7/99,0
6/8/99,0
6/9/99,0
6/10/99,0
6/11/99,0
6/12/99,0
6/13/99,0
6/14/99,0
6/15/99,0
6/16/99,0
6/17/99,0
6/18/99,0
6/19/99,0
6/20/99,0
6/21/99,65
6/22/99,0
6/23/99,0
6/24/99,0
6/25/99,0
6/26/99,0
6/27/99,0
6/28/99,0
6/29/99,0
6/30/99,0
7/1/99,0
7/2/99,0
7/3/99,0
7/4/99,0
7/5/99,0
7/6/99,17
7/7/99,0
7/8/99,0
7/9/99,0
7/10/99,0
7/11/99,0
7/12/99,15
7/13/99,0
7/14/99,0
7/15/99,15
7/16/99,0
7/17/99,16
7/18/99,0
7/19/99,0
7/20/99,0
7/21/99,0
7/22/99,0
7/23/99,0
7/24/99,0
7/25/99,0
7/26/99,32
7/27/99,0
7/28/99,0
7/29/99,0
7/30/99,0
7/31/99,32
8/1/99,0
8/2/99,0
8/3/99,0
8/4/99,0
8/5/99,0
8/6/99,0
8/7/99,0
8/8/99,0
8/9/99,0
8/10/99,0
8/11/99,0
8/12/99,29
8/13/99,0
8/14/99,0
8/15/99,0
8/16/99,0
8/17/99,0
8/18/99,0
8/19/99,0
8/20/99,0
8/21/99,0
8/22/99,0
8/23/99,0
8/24/99,0
8/25/99,0
8/26/99,0
8/27/99,0
8/28/99,0
8/29/99,0
8/30/99,0
8/31/99,0
9/1/99,0
9/2/99,0
9/3/99,0
9/4/99,0
9/5/99,0
9/6/99,0
9/7/99,0
9/8/99,0
9/9/99,0
9/10/99,0
9/11/99,0
9/12/99,0
9/13/99,0
9/14/99,0
9/15/99,0
9/16/99,0
9/17/99,0
9/18/99,0
9/19/99,0
9/20/99,14
9/21/99,0
9/22/99,0
9/23/99,0
9/24/99,0
9/25/99,0
9/26/99,0
9/27/99,0
9/28/99,0
9/29/99,0
9/30/99,0
10/1/99,0
10/2/99,0
10/3/99,0
10/4/99,0
10/5/99,0
10/6/99,0
10/7/99,0
10/8/99,0
10/9/99,0
10/10/99,0
10/11/99,0
10/12/99,0
10/13/99,0
10/14/99,0
10/15/99,0
10/16/99,101
10/17/99,0
10/18/99,0
10/19/99,0
10/20/99,0
10/21/99,0
10/22/99,0
10/23/99,0
10/24/99,0
10/25/99,0
10/26/99,0
10/27/99,0
10/28/99,0
10/29/99,0
10/30/99,0
10/31/99,0
11/1/99,0
11/2/99,0
11/3/99,0
11/4/99,0
11/5/99,0
11/6/99,0
11/7/99,0
11/8/99,0
11/9/99,0
11/10/99,0
11/11/99,0
11/12/99,0
11/13/99,0
11/14/99,0
11/15/99,0
11/16/99,0
11/17/99,0
11/18/99,0
11/19/99,0
11/20/99,0
11/21/99,0
11/22/99,1
11/23/99,0
11/24/99,0
11/25/99,0
11/26/99,0
11/27/99,0
11/28/99,0
11/29/99,0
11/30/99,0
12/1/99,0
12/2/99,0
12/3/99,0
12/4/99,0
12/5/99,0
12/6/99,0
12/7/99,0
12/8/99,0
12/9/99,0
12/10/99,0
12/11/99,0
12/12/99,0
12/13/99,0
12/14/99,0
12/15/99,0
12/16/99,0
12/17/99,0
12/18/99,0
12/19/99,0
12/20/99,0
12/21/99,0
12/22/99,0
12/23/99,0
12/24/99,0
12/25/99,0
12/26/99,0
12/27/99,0
12/28/99,0
12/29/99,0
12/30/99,0
12/31/99,0
1/1/00,0
1/2/00,0
1/3/00,0
1/4/00,0
1/5/00,0
1/6/00,0
1/7/00,0
1/8/00,0
1/9/00,0
1/10/00,0
1/11/00,0
1/12/00,0
1/13/00,10
1/14/00,23
1/15/00,14
1/16/00,11
1/17/00,11
1/18/00,11
1/19/00,12
1/20/00,25
1/21/00,25
1/22/00,25
1/23/00,25
1/24/00,25
1/25/00,25
1/26/00,25
1/27/00,25
1/28/00,25
1/29/00,25
1/30/00,25
1/31/00,25
2/1/00,25
2/2/00,25
2/3/00,25
2/4/00,15
2/5/00,0
2/6/00,0
2/7/00,0
2/8/00,0
2/9/00,0
2/10/00,0
2/11/00,0
2/12/00,0
2/13/00,0
2/14/00,0
2/15/00,0
2/16/00,0
2/17/00,0
2/18/00,0
2/19/00,0
2/20/00,0
2/21/00,0
2/22/00,0
2/23/00,0
2/24/00,0
2/25/00,0
2/26/00,0
2/27/00,0
2/28/00,0
2/29/00,0
3/1/00,0
3/2/00,0
3/3/00,0
3/4/00,0
3/5/00,0
3/6/00,0
3/7/00,32
3/8/00,0
3/9/00,0
3/10/00,0
3/11/00,0
3/12/00,0
3/13/00,0
3/14/00,0
3/15/00,0
3/16/00,0
3/17/00,0
3/18/00,0
3/19/00,0
3/20/00,0
3/21/00,0
3/22/00,0
3/23/00,0
3/24/00,0
3/25/00,0
3/26/00,0
3/27/00,0
3/28/00,0
3/29/00,0
3/30/00,0
3/31/00,0
4/1/00,0
4/2/00,0
4/3/00,0
4/4/00,0
4/5/00,0
4/6/00,0
4/7/00,0
4/8/00,0
4/9/00,0
4/10/00,0
4/11/00,0
4/12/00,0
4/13/00,0
4/14/00,0
4/15/00,0
4/16/00,0
4/17/00,0
4/18/00,0
4/19/00,0
4/20/00,0
4/21/00,0
4/22/00,0
4/23/00,0
4/24/00,0
4/25/00,0
4/26/00,0
4/27/00,0
4/28/00,0
4/29/00,0
4/30/00,0
5/1/00,0
5/2/00,0
5/3/00,0
5/4/00,0
5/5/00,0
5/6/00,0
5/7/00,0
5/8/00,0
5/9/00,0
5/10/00,0
5/11/00,0
5/12/00,0
5/13/00,0
5/14/00,0
5/15/00,0
5/16/00,0
5/17/00,0
5/18/00,0
5/19/00,0
5/20/00,0
5/21/00,0
5/22/00,0
5/23/00,0
5/24/00,0
5/25/00,0
5/26/00,0
5/27/00,0
5/28/00,0
5/29/00,0
5/30/00,0
5/31/00,0
6/1/00,0
6/2/00,0
6/3/00,0
6/4/00,0
6/5/00,0
6/6/00,0
6/7/00,0
6/8/00,0
6/9/00,0
6/10/00,0
6/11/00,0
6/12/00,0
6/13/00,0
6/14/00,0
6/15/00,0
6/16/00,0
6/17/00,0
6/18/00,0
6/19/00,0
6/20/00,0
6/21/00,0
6/22/00,0
6/23/00,0
6/24/00,0
6/25/00,0
6/26/00,0
6/27/00,0
6/28/00,0
6/29/00,0
6/30/00,0
7/1/00,0
7/2/00,0
7/3/00,0
7/4/00,0
7/5/00,0
7/6/00,0
7/7/00,0
7/8/00,0
7/9/00,0
7/10/00,0
7/11/00,0
7/12/00,0
7/13/00,0
7/14/00,0
7/15/00,0
7/16/00,0
7/17/00,0
7/18/00,0
7/19/00,0
7/20/00,0
7/21/00,0
7/22/00,0
7/23/00,0
7/24/00,0
7/25/00,0
7/26/00,0
7/27/00,0
7/28/00,0
7/29/00,0
7/30/00,0
7/31/00,0
8/1/00,0
8/2/00,0
8/3/00,0
8/4/00,0
8/5/00,0
8/6/00,0
8/7/00,0
8/8/00,0
8/9/00,0
8/10/00,0
8/11/00,0
8/12/00,0
8/13/00,0
8/14/00,0
8/15/00,0
8/16/00,0
8/17/00,0
8/18/00,0
8/19/00,0
8/20/00,0
8/21/00,0
8/22/00,0
8/23/00,0
8/24/00,0
8/25/00,0
8/26/00,0
8/27/00,0
8/28/00,0
8/29/00,0
8/30/00,0
8/31/00,0
9/1/00,0
9/2/00,0
9/3/00,0
9/4/00,0
9/5/00,0
9/6/00,0
9/7/00,0
9/8/00,0
9/9/00,0
9/10/00,0
9/11/00,0
9/12/00,0
9/13/00,0
9/14/00,0
9/15/00,0
9/16/00,0
9/17/00,0
9/18/00,0
9/19/00,0
9/20/00,0
9/21/00,14
9/22/00,35
9/23/00,23
9/24/00,18
9/25/00,18
9/26/00,33
9/27/00,9
9/28/00,0
9/29/00,0
9/30/00,0
10/1/00,0
10/2/00,0
10/3/00,0
10/4/00,0
10/5/00,0
10/6/00,9
10/7/00,9
10/9/00,0
10/10/00,0
10/11/00,0
10/12/00,0
10/13/00,0
10/14/00,0
10/15/00,0
10/16/00,0
10/17/00,0
10/18/00,0
10/19/00,0
10/20/00,0
10/21/00,0
10/22/00,0
10/23/00,0
10/24/00,0
10/25/00,0
10/26/00,0
10/27/00,0
10/28/00,0
10/29/00,0
10/30/00,0
10/31/00,0
11/1/00,0
11/2/00,0
11/3/00,0
11/4/00,0
11/5/00,0
11/6/00,0
11/7/00,0
11/8/00,0
11/9/00,0
11/10/00,0
11/11/00,0
11/12/00,0
11/13/00,0
11/14/00,0
11/15/00,0
11/16/00,0
11/17/00,0
11/18/00,0
11/19/00,0
11/20/00,0
11/21/00,0
11/22/00,0
11/23/00,0
11/24/00,0
11/25/00,0
11/26/00,0
11/27/00,0
11/28/00,0
11/29/00,0
11/30/00,0
12/1/00,0
12/2/00,0
12/3/00,0
12/4/00,0
12/5/00,0
12/6/00,0
12/7/00,0
12/8/00,0
12/9/00,0
12/10/00,0
12/11/00,0
12/12/00,0
12/13/00,0
12/14/00,0
12/15/00,0
12/16/00,0
12/17/00,0
12/18/00,0
12/19/00,0
12/20/00,0
12/21/00,0
12/22/00,0
12/23/00,0
12/24/00,0
12/25/00,0
12/26/00,0
12/27/00,0
12/28/00,12
12/29/00,407
12/30/00,646
12/31/00,603
1/1/01,668
1/2/01,721
1/3/01,462
1/4/01,162
1/5/01,20
1/6/01,0
1/7/01,0
1/8/01,0
1/9/01,0
1/10/01,15
1/11/01,32
1/12/01,32
1/13/01,32
1/14/01,32
1/15/01,32
1/16/01,32
1/17/01,32
1/18/01,32
1/19/01,32
1/20/01,32
1/21/01,32
1/22/01,15
1/23/01,0
1/24/01,0
1/25/01,0
1/26/01,0
1/27/01,0
1/28/01,0
1/29/01,0
1/30/01,0
1/31/01,29
2/1/01,36
2/2/01,36
2/3/01,36
2/4/01,36
2/5/01,12
2/6/01,0
2/7/01,0
2/8/01,0
2/9/01,347
2/10/01,530
2/11/01,351
2/12/01,124
2/13/01,259
2/14/01,599
2/15/01,480
2/16/01,324
2/17/01,65
2/18/01,76
2/19/01,76
2/20/01,59
2/21/01,38
2/22/01,38
2/23/01,16
2/24/01,0
2/25/01,0
2/26/01,0
2/27/01,0
2/28/01,0
3/1/01,0
3/2/01,0
3/3/01,0
3/4/01,0
3/5/01,0
3/6/01,0
3/7/01,0
3/8/01,0
3/9/01,0
3/10/01,0
3/11/01,0
3/12/01,0
3/13/01,0
3/14/01,0
3/15/01,35
3/16/01,35
3/17/01,0
3/18/01,0
3/19/01,0
3/20/01,0
3/21/01,44
3/22/01,0
3/23/01,0
3/24/01,0
3/25/01,0
3/26/01,104
3/27/01,0
3/28/01,52
3/29/01,70
3/30/01,0
3/31/01,0
4/1/01,0
4/2/01,82
4/3/01,0
4/4/01,56
4/5/01,0
4/6/01,94
4/7/01,0
4/8/01,0
4/9/01,131
4/10/01,75
4/11/01,0
4/12/01,0
4/13/01,0
4/14/01,0
4/15/01,0
4/16/01,0
4/17/01,0
4/18/01,0
4/19/01,0
4/20/01,0
4/21/01,0
4/22/01,0
4/23/01,0
4/24/01,0
4/25/01,0
4/26/01,0
4/27/01,0
4/28/01,0
4/29/01,0
4/30/01,0
5/1/01,0
5/2/01,82
5/3/01,0
5/4/01,0
5/5/01,0
5/6/01,0
5/7/01,0
5/8/01,0
5/9/01,0
5/10/01,0
5/11/01,0
5/12/01,0
5/13/01,0
5/14/01,0
5/15/01,0
5/16/01,0
5/17/01,0
5/18/01,0
5/19/01,0
5/20/01,0
5/21/01,0
5/22/01,0
5/23/01,0
5/24/01,0
5/25/01,0
5/26/01,0
5/27/01,0
5/28/01,0
5/29/01,0
5/30/01,0
5/31/01,0
6/1/01,0
6/2/01,0
6/3/01,0
6/4/01,0
6/5/01,0
6/6/01,0
6/7/01,0
6/8/01,0
6/9/01,0
6/10/01,0
6/11/01,0
6/12/01,0
6/13/01,0
6/14/01,0
6/15/01,0
6/16/01,0
6/17/01,0
6/18/01,0
6/19/01,0
6/20/01,0
6/21/01,0
6/22/01,0
6/23/01,0
6/24/01,0
6/25/01,0
6/26/01,0
6/27/01,0
6/28/01,0
6/29/01,0
6/30/01,0
7/1/01,0
7/2/01,0
7/3/01,0
7/4/01,0
7/5/01,0
7/6/01,0
7/7/01,0
7/8/01,0
7/9/01,0
7/10/01,0
7/11/01,0
7/12/01,0
7/13/01,0
7/14/01,0
7/15/01,0
7/16/01,0
7/17/01,0
7/18/01,0
7/19/01,0
7/20/01,0
7/21/01,0
7/22/01,0
7/23/01,0
7/24/01,0
7/25/01,0
7/26/01,0
7/27/01,0
7/28/01,0
7/29/01,0
7/30/01,0
7/31/01,0
8/1/01,0
8/2/01,0
8/3/01,0
8/4/01,0
8/5/01,0
8/6/01,0
8/7/01,0
8/8/01,0
8/9/01,0
8/10/01,0
8/11/01,0
8/12/01,0
8/13/01,0
8/14/01,0
8/15/01,0
8/16/01,0
8/17/01,0
8/18/01,0
8/19/01,0
8/20/01,0
8/21/01,0
8/22/01,0
8/23/01,0
8/24/01,0
8/25/01,0
8/26/01,0
8/27/01,0
8/28/01,0
8/29/01,0
8/30/01,0
8/31/01,0
9/1/01,0
9/2/01,0
9/3/01,0
9/4/01,0
9/5/01,0
9/6/01,0
9/7/01,0
9/8/01,0
9/9/01,0
9/10/01,0
9/11/01,0
9/12/01,0
9/13/01,0
9/14/01,0
9/15/01,0
9/16/01,0
9/17/01,0
9/18/01,0
9/19/01,0
9/20/01,0
9/21/01,0
9/22/01,0
9/23/01,0
9/24/01,0
9/25/01,0
9/26/01,0
9/27/01,0
9/28/01,0
9/29/01,0
9/30/01,0
10/1/01,0
10/2/01,0
10/3/01,0
10/4/01,0
10/5/01,0
10/6/01,0
10/7/01,0
10/8/01,0
10/9/01,0
10/10/01,0
10/11/01,0
10/12/01,0
10/13/01,0
10/14/01,0
10/15/01,0
10/16/01,7
10/17/01,0
10/18/01,0
10/19/01,0
10/20/01,0
10/21/01,0
10/22/01,0
10/23/01,0
10/24/01,0
10/25/01,0
10/26/01,0
10/27/01,0
10/28/01,0
10/29/01,0
10/30/01,0
10/31/01,0
11/1/01,0
11/2/01,0
11/3/01,0
11/4/01,0
11/5/01,0
11/6/01,0
11/7/01,0
11/8/01,0
11/9/01,0
11/10/01,0
11/11/01,0
11/12/01,0
11/13/01,0
11/14/01,0
11/15/01,0
11/16/01,0
11/17/01,0
11/18/01,0
11/19/01,0
11/20/01,0
11/21/01,0
11/22/01,0
11/23/01,0
11/24/01,0
11/25/01,0
11/26/01,0
11/27/01,0
11/28/01,0
11/29/01,0
11/30/01,0
12/1/01,3
12/2/01,2
12/3/01,0
12/4/01,0
12/5/01,0
12/6/01,0
12/7/01,0
12/8/01,0
12/9/01,0
12/10/01,0
12/11/01,0
12/12/01,0
12/13/01,0
12/14/01,0
12/15/01,0
12/16/01,0
12/17/01,0
12/18/01,0
12/19/01,0
12/20/01,0
12/21/01,0
12/22/01,0
12/23/01,0
12/24/01,0
12/25/01,0
12/26/01,0
12/27/01,0
12/28/01,0
12/29/01,0
12/30/01,0
12/31/01,0
1/1/02,0
1/2/02,0
1/3/02,0
1/4/02,0
1/5/02,0
1/6/02,0
1/7/02,0
1/8/02,0
1/9/02,0
1/10/02,0
1/11/02,0
1/12/02,0
1/13/02,254
1/14/02,922
1/15/02,1102
1/16/02,1100
1/17/02,958
1/18/02,440
1/19/02,146
1/20/02,34
1/21/02,234
1/22/02,234
1/23/02,290
1/24/02,268
1/25/02,31
1/26/02,76
1/27/02,391
1/28/02,358
1/29/02,362
1/30/02,398
1/31/02,107
2/1/02,39
2/2/02,168
2/3/02,523
2/4/02,138
2/5/02,0
2/6/02,0
2/7/02,0
2/8/02,0
2/9/02,299
2/10/02,716
2/11/02,899
2/12/02,708
2/13/02,208
2/14/02,0
2/15/02,0
2/16/02,0
2/17/02,0
2/18/02,0
2/19/02,0
2/20/02,0
2/21/02,89
2/22/02,0
2/23/02,44
2/24/02,502
2/25/02,364
2/26/02,206
2/27/02,128
2/28/02,0
3/1/02,0
3/2/02,0
3/3/02,34
3/4/02,163
3/5/02,160
3/6/02,66
3/7/02,0
3/8/02,0
3/9/02,0
3/10/02,0
3/11/02,0
3/12/02,0
