Date,Effluent Flow (m^3/s)
1/1/2015,93
1/2/2015,247
1/3/2015,237
1/4/2015,93
1/5/2015,252
1/6/2015,254
1/7/2015,261
1/8/2015,253
1/9/2015,258
1/10/2015,208
1/11/2015,129
1/12/2015,304
1/13/2015,385
1/14/2015,335
1/15/2015,327
1/16/2015,386
1/17/2015,326
1/18/2015,148
1/19/2015,423
1/20/2015,382
1/21/2015,432
1/22/2015,375
1/23/2015,365
1/24/2015,304
1/25/2015,82
1/26/2015,386
1/27/2015,359
1/28/2015,381
1/29/2015,358
1/30/2015,328
1/31/2015,260
2/1/2015,94
2/2/2015,331
2/3/2015,245
2/4/2015,314
2/5/2015,290
2/6/2015,347
2/7/2015,357
2/8/2015,98
2/9/2015,304
2/10/2015,306
2/11/2015,307
2/12/2015,281
2/13/2015,303
2/14/2015,297
2/15/2015,103
2/16/2015,318
2/17/2015,103
2/18/2015,294
2/19/2015,315
2/20/2015,271
2/21/2015,222
2/22/2015,151
2/23/2015,359
2/24/2015,388
2/25/2015,345
2/26/2015,396
2/27/2015,405
2/28/2015,326
3/1/2015,165
3/2/2015,432
3/3/2015,424
3/4/2015,405
3/5/2015,386
3/6/2015,410
3/7/2015,204
3/8/2015,168
3/9/2015,285
3/10/2015,697
3/11/2015,674
3/12/2015,662
3/13/2015,629
3/14/2015,600
3/15/2015,399
3/16/2015,503
3/17/2015,537
3/18/2015,582
3/19/2015,555
3/20/2015,610
3/21/2015,610
3/22/2015,604
3/23/2015,575
3/24/2015,549
3/25/2015,599
3/26/2015,684
3/27/2015,650
3/28/2015,506
3/29/2015,196
3/30/2015,578
3/31/2015,328
4/1/2015,455
4/2/2015,394
4/3/2015,167
4/4/2015,395
4/5/2015,178
4/6/2015,424
4/7/2015,399
4/8/2015,107
4/9/2015,157
4/10/2015,160
4/11/2015,157
4/12/2015,155
4/13/2015,154
4/14/2015,288
4/15/2015,292
4/16/2015,460
4/17/2015,304
4/18/2015,57
4/19/2015,156
4/20/2015,416
4/21/2015,55
4/22/2015,307
4/23/2015,337
4/24/2015,56
4/25/2015,61
4/26/2015,56
4/27/2015,96
4/28/2015,142
4/29/2015,237
4/30/2015,84
5/1/2015,75
5/2/2015,75
5/3/2015,75
5/4/2015,265
5/5/2015,75
5/6/2015,73
5/7/2015,73
5/8/2015,73
5/9/2015,73
5/10/2015,73
5/11/2015,74
5/12/2015,75
5/13/2015,74
5/14/2015,123
5/15/2015,144
5/16/2015,192
5/17/2015,172
5/18/2015,168
5/19/2015,200
5/20/2015,246
5/21/2015,205
5/22/2015,202
5/23/2015,100
5/24/2015,76
5/25/2015,242
5/26/2015,198
5/27/2015,164
5/28/2015,77
5/29/2015,79
5/30/2015,76
5/31/2015,139
6/1/2015,210
6/2/2015,230
6/3/2015,258
6/4/2015,125
6/5/2015,243
6/6/2015,221
6/7/2015,89
6/8/2015,190
6/9/2015,151
6/10/2015,187
6/11/2015,186
6/12/2015,185
6/13/2015,108
6/14/2015,93
6/15/2015,183
6/16/2015,181
6/17/2015,182
6/18/2015,185
6/19/2015,202
6/20/2015,78
6/21/2015,78
6/22/2015,194
6/23/2015,189
6/24/2015,183
6/25/2015,250
6/26/2015,167
6/27/2015,65
6/28/2015,90
6/29/2015,116
6/30/2015,115
7/1/2015,166
7/2/2015,179
7/3/2015,181
7/4/2015,76
7/5/2015,130
7/6/2015,357
7/7/2015,456
7/8/2015,346
7/9/2015,186
7/10/2015,328
7/11/2015,324
7/12/2015,141
7/13/2015,298
