Start_of_week,Date,Marginal_cost_week_mean
12/26/2015,1/1/2016,27.8
1/2/2016,1/8/2016,20.64
1/9/2016,1/15/2016,12.6
1/16/2016,1/22/2016,9.66
1/23/2016,1/29/2016,6.07
1/30/2016,2/5/2016,2.62
2/6/2016,2/12/2016,0.08
2/13/2016,2/19/2016,1.19
2/20/2016,2/26/2016,1.79
2/27/2016,3/4/2016,21.69
3/5/2016,3/11/2016,37.16
3/12/2016,3/18/2016,19.64
3/19/2016,3/25/2016,15.02
3/26/2016,4/1/2016,29.15
4/2/2016,4/8/2016,32.83
4/9/2016,4/15/2016,37.5
4/16/2016,4/22/2016,39.62
4/23/2016,4/29/2016,40.08
4/30/2016,5/6/2016,64.74
5/7/2016,5/13/2016,57.33
5/14/2016,5/20/2016,54.01
5/21/2016,5/27/2016,51.82
5/28/2016,6/3/2016,40.07
6/4/2016,6/10/2016,38.24
6/11/2016,6/17/2016,36.58
6/18/2016,6/24/2016,36.15
6/25/2016,7/1/2016,47.98
7/2/2016,7/8/2016,54.12
7/9/2016,7/15/2016,57.57
7/16/2016,7/22/2016,52.33
7/23/2016,7/29/2016,50.46
7/30/2016,8/5/2016,93.29
8/6/2016,8/12/2016,92.53
8/13/2016,8/19/2016,89.79
8/20/2016,8/26/2016,70.4
8/27/2016,9/2/2016,128.02
9/3/2016,9/9/2016,126.65
9/10/2016,9/16/2016,128.35
9/17/2016,9/23/2016,128.25
9/24/2016,9/30/2016,140.68
10/1/2016,10/7/2016,198.86
10/8/2016,10/14/2016,203.91
10/15/2016,10/21/2016,184.01
10/22/2016,10/28/2016,152.66
10/29/2016,11/4/2016,221.9
11/5/2016,11/11/2016,224.4
11/12/2016,11/18/2016,216.98
11/19/2016,11/25/2016,190.96
11/26/2016,12/2/2016,172.88
12/3/2016,12/9/2016,127.39
12/10/2016,12/16/2016,152.36
12/17/2016,12/23/2016,134.77
12/24/2016,12/30/2016,107.11
12/31/2016,1/6/2017,133.64
1/7/2017,1/13/2017,80.42
1/14/2017,1/20/2017,109.76
1/21/2017,1/27/2017,110.21
1/28/2017,2/3/2017,80.44
2/4/2017,2/10/2017,94.58
2/11/2017,2/17/2017,103.09
2/18/2017,2/24/2017,113.1
2/25/2017,3/3/2017,169.28
3/4/2017,3/10/2017,169.23
3/11/2017,3/17/2017,222.29
3/18/2017,3/24/2017,204.12
3/25/2017,3/31/2017,221.01
4/1/2017,4/7/2017,420.28
4/8/2017,4/14/2017,351.28
4/15/2017,4/21/2017,344.16
4/22/2017,4/28/2017,324.65
4/29/2017,5/5/2017,452.41
5/6/2017,5/12/2017,461.1
5/13/2017,5/19/2017,471.84
5/20/2017,5/26/2017,468.54
5/27/2017,6/2/2017,104.4
6/3/2017,6/9/2017,91.73
6/10/2017,6/16/2017,80.38
6/17/2017,6/23/2017,119.64
6/24/2017,6/30/2017,155.19
7/1/2017,7/7/2017,230.24
7/8/2017,7/14/2017,253.57
7/15/2017,7/21/2017,270.71
7/22/2017,7/28/2017,273.23
7/29/2017,8/4/2017,514.12
8/5/2017,8/11/2017,549.19
8/12/2017,8/18/2017,519.43
8/19/2017,8/25/2017,505.86
8/26/2017,9/1/2017,445.86
9/2/2017,9/8/2017,489.85
9/9/2017,9/15/2017,599.9
9/16/2017,9/22/2017,672.73
9/23/2017,9/29/2017,725.7
9/30/2017,10/6/2017,709.9
10/7/2017,10/13/2017,690.75
10/14/2017,10/20/2017,860.84
10/21/2017,10/27/2017,860.45
