Date,Maximum Demand (in MW)
1/1/16,36855.74
1/2/16,38893.31
1/3/16,36763.57
1/4/16,41290.35
1/5/16,42617.48
1/6/16,43095.47
1/7/16,44462.82
1/8/16,45110.88
1/9/16,41397.59
1/10/16,39267.938
1/11/16,44499.742
1/12/16,44521.12
1/13/16,45027.4
1/14/16,44334.28
1/15/16,43362.58
1/16/16,39816.9
1/17/16,36697.32
1/18/16,40947.41
1/19/16,40961.46
1/20/16,40429.84
1/21/16,42064.27
1/22/16,42128.363
1/23/16,40037.67
1/24/16,37513.32
1/25/16,43651.52
1/26/16,47004.75
1/27/16,46187.18
1/28/16,45455.04
1/29/16,44667.551
1/30/16,42105.11
1/31/16,40422.29
2/1/16,47880.7
2/2/16,48990.59
2/3/16,49164.7
2/4/16,47647.75
2/5/16,47926.61
2/6/16,41315.22
2/7/16,38667.41
2/8/16,40290.98
2/9/16,42081.45
2/10/16,47033.23
2/11/16,47748.2
2/12/16,45862.879
2/13/16,42075.652
2/14/16,41371.7
2/15/16,48179.31
2/16/16,47330.078
2/17/16,48767.41
2/18/16,48331.26
2/19/16,48555.293
2/20/16,42462.066
2/21/16,39920.55
2/22/16,46305.32
2/23/16,46640.59
2/24/16,47090.953
2/25/16,47711.227
2/26/16,47850.91
2/27/16,43873.35
2/28/16,41298.69
2/29/16,44735.96
3/1/16,42400.96
3/2/16,44222.29
3/3/16,44489.31
3/4/16,45786.17
3/5/16,42648.98
3/6/16,39791.83
3/7/16,46240.09
3/8/16,46767.05
3/9/16,47616.31
3/10/16,46603.48
3/11/16,45343.21
3/12/16,42363.2
3/13/16,38355.64
3/14/16,44766.34
3/15/16,45576.047
3/16/16,44227.344
3/17/16,45601.492
3/18/16,45945.98
3/19/16,42700.785
3/20/16,39825.203
3/21/16,47217.434
3/22/16,47868.102
3/23/16,47487.39
3/24/16,44224.74
3/25/16,38934.86
3/26/16,41161.07
3/27/16,39493.04
3/28/16,47284.191
3/29/16,47366.14
3/30/16,47212
3/31/16,47349.871
4/1/16,46673.78
4/2/16,42822.22
4/3/16,40338.078
4/4/16,46583.72
4/5/16,47061.25
4/6/16,46739.06
4/7/16,47584.32
4/8/16,47388.43
4/9/16,43729.84
4/10/16,40362.61
4/11/16,47080.42
4/12/16,47457.602
4/13/16,47410.5
4/14/16,47483.6
4/15/16,47502.742
4/16/16,43902.828
4/17/16,40552.203
4/18/16,47460.156
4/19/16,47397.574
4/20/16,47629.02
4/21/16,42623.133
4/22/16,42984.039
4/23/16,42316.684
4/24/16,40548.102
4/25/16,46905.551
4/26/16,45387.68
4/27/16,42567.5
4/28/16,40816.191
4/29/16,39710.36
4/30/16,39849.84
5/1/16,36549.848
5/2/16,40230.73
5/3/16,41086.836
5/4/16,41635.4
5/5/16,41971.93
5/6/16,41255.84
5/7/16,40911.16
5/8/16,37570.82
5/9/16,41990.29
5/10/16,42690.3
5/11/16,43345.86
5/12/16,42933.49
5/13/16,40995.13
5/14/16,40397.406
5/15/16,37897.89
5/16/16,41209.906
5/17/16,41795.92
5/18/16,41081.04
5/19/16,41407.88
5/20/16,41979.64
5/21/16,41920.29
5/22/16,39305.188
5/23/16,41052.03
5/24/16,40796.83
5/25/16,40637.54
5/26/16,39692.89
5/27/16,40203.88
5/28/16,40237.91
5/29/16,38010.484
5/30/16,41506.26
5/31/16,43051.805
