Date,Stored_energy
1/1/2016,44466.2655
1/2/2016,44704.4085
1/3/2016,45014.871
1/4/2016,45219.411
1/5/2016,45490.4265
1/6/2016,45744.6405
1/7/2016,45995.202
1/8/2016,46137.6495
1/9/2016,46489.02
1/10/2016,46945.5825
1/11/2016,47206.371
1/12/2016,47546.0535
1/13/2016,48155.2905
1/14/2016,49280.991
1/15/2016,50623.65
1/16/2016,52068.579
1/17/2016,53583.636
1/18/2016,55029.2955
1/19/2016,56362.458
1/20/2016,57610.152
1/21/2016,58821.321
1/22/2016,59871.78
1/23/2016,60846.9975
1/24/2016,61663.6965
1/25/2016,62202.075
1/26/2016,62725.113
1/27/2016,63301.4775
1/28/2016,63937.743
1/29/2016,64555.0155
1/30/2016,65305.9695
1/31/2016,66000.675
2/1/2016,66528.8265
2/2/2016,67044.5595
2/3/2016,67458.753
2/4/2016,67881.7125
2/5/2016,68220.6645
2/6/2016,68645.085
2/7/2016,68981.115
2/8/2016,69308.379
2/9/2016,69606.423
2/10/2016,69872.325
2/11/2016,70160.142
2/12/2016,70483.023
2/13/2016,70886.9895
2/14/2016,71293.878
2/15/2016,71540.787
2/16/2016,71965.2075
2/17/2016,72326.0745
2/18/2016,72647.4945
2/19/2016,72979.872
2/20/2016,73460.541
2/21/2016,73927.3305
2/22/2016,74229.7575
2/23/2016,74500.0425
2/24/2016,74738.916
2/25/2016,74942.7255
2/26/2016,74972.676
2/27/2016,75129.7335
2/28/2016,75424.125
2/29/2016,75648.3885
3/1/2016,75925.248
3/2/2016,76240.824
3/3/2016,76637.4855
3/4/2016,76996.8915
3/5/2016,77514.816
3/6/2016,78086.067
3/7/2016,78466.6575
3/8/2016,78963.3975
3/9/2016,79430.9175
3/10/2016,79866.2955
3/11/2016,80369.61
3/12/2016,80997.1095
3/13/2016,81715.9215
3/14/2016,82279.8675
3/15/2016,82758.345
3/16/2016,83141.127
3/17/2016,83400.4545
3/18/2016,83584.5405
3/19/2016,83791.272
3/20/2016,84034.5285
3/21/2016,84086.394
3/22/2016,84125.841
3/23/2016,84222.9975
3/24/2016,84502.0485
3/25/2016,84899.4405
3/26/2016,85212.0945
3/27/2016,85681.806
3/28/2016,85929.4455
3/29/2016,86166.1275
3/30/2016,86362.632
3/31/2016,86571.555
4/1/2016,86720.577
4/2/2016,87009.855
4/3/2016,87270.6435
4/4/2016,87248.7285
4/5/2016,87190.2885
4/6/2016,87140.6145
4/7/2016,87046.38
4/8/2016,86981.3655
4/9/2016,87172.026
4/10/2016,87259.686
4/11/2016,87104.82
4/12/2016,87004.011
4/13/2016,86894.436
4/14/2016,86798.01
4/15/2016,86678.9385
4/16/2016,86724.2295
4/17/2016,86727.882
4/18/2016,86452.4835
4/19/2016,86258.1705
4/20/2016,86024.4105
4/21/2016,86062.3965
4/22/2016,85968.162
4/23/2016,85956.474
4/24/2016,85974.006
4/25/2016,85713.2175
4/26/2016,85603.6425
4/27/2016,85591.9545
4/28/2016,85654.7775
4/29/2016,85673.7705
4/30/2016,85719.792
5/1/2016,85836.672
5/2/2016,85776.0405
5/3/2016,85702.26
5/4/2016,85621.1745
5/5/2016,85440.0105
5/6/2016,85380.1095
5/7/2016,85314.3645
5/8/2016,85353.081
5/9/2016,85134.6615
5/10/2016,84958.611
5/11/2016,84806.667
5/12/2016,84718.2765
5/13/2016,84553.1835
5/14/2016,84480.1335
5/15/2016,84560.4885
5/16/2016,84259.5225
5/17/2016,83998.0035
5/18/2016,83992.1595
5/19/2016,83941.0245
5/20/2016,83977.5495
5/21/2016,84111.231
5/22/2016,84361.062
5/23/2016,84399.7785
5/24/2016,84511.545
5/25/2016,84588.2475
5/26/2016,84705.1275
5/27/2016,84678.099
5/28/2016,84767.22
5/29/2016,84708.0495
5/30/2016,84525.4245
5/31/2016,84439.2255
6/1/2016,84293.1255
6/2/2016,84278.5155
6/3/2016,84269.019
6/4/2016,84461.871
6/5/2016,84728.5035
6/6/2016,84600.666
6/7/2016,84507.8925
6/8/2016,84472.8285
6/9/2016,84377.133
6/10/2016,84495.474
6/11/2016,84599.205
6/12/2016,84803.0145
6/13/2016,84712.4325
6/14/2016,84702.936
6/15/2016,84638.652
6/16/2016,84566.3325
6/17/2016,84519.5805
6/18/2016,84565.602
6/19/2016,84609.432
6/20/2016,84481.5945
6/21/2016,84327.459
6/22/2016,84129.4935
6/23/2016,83973.897
6/24/2016,83877.471
6/25/2016,83873.088
6/26/2016,83884.0455
6/27/2016,83743.7895
6/28/2016,83617.413
6/29/2016,83506.377
6/30/2016,83390.2275
7/1/2016,83262.39
7/2/2016,83239.014
7/3/2016,83254.3545
7/4/2016,82964.346
7/5/2016,82710.8625
7/6/2016,82434.003
7/7/2016,82233.846
7/8/2016,82025.6535
7/9/2016,81943.107
7/10/2016,81905.121
7/11/2016,81464.6295
7/12/2016,81117.642
7/13/2016,80693.2215
7/14/2016,80393.7165
7/15/2016,80056.956
7/16/2016,79921.8135
7/17/2016,79902.09
7/18/2016,79604.046
7/19/2016,79369.5555
7/20/2016,79181.0865
7/21/2016,78918.837
