"","date","affluent_natural_energy_southeast","effluent_flow","influent_flow","volume_used","poured_flow","turbine_flow","water_level","energy_generated","energy_stored","physical_energy_exchange","liquid_energy_exchange","affluent_natural_energy_tiete_basin","maximum_demand","energy_charge"
"1",2016-01-01,2739,1087,992.56,74.76,374,712,449.27,2.879517,44466.2655,-110.444518,0,50215,36855.74,745.9925617
"2",2016-01-02,3085,1073,1041.52,74.65,372,699,449.26,2.815759,44704.4085,-111.364337,0,51937,38893.31,790.1099934
"3",2016-01-03,3001,1092,1154.96,74.86,381,707,449.28,2.877899,45014.871,-112.144648,0,53468,36763.57,752.0017908
"4",2016-01-04,2964,1249,1249,74.86,504,745,449.28,2.926021,45219.411,-107.85402,0,54512,41290.35,866.6646098
"5",2016-01-05,2750,1244,774.09,73.28,506,737,449.13,2.915354,45490.4265,-93.428394,0,55056,42617.48,896.3525726
"6",2016-01-06,2434,1194,697.36,71.61,482,712,448.97,2.832514,45744.6405,-83.884702,0,55428,43095.47,904.7318905
"7",2016-01-07,2238,961,499.66,70.06,276,685,448.82,2.784122,45995.202,-86.452442,0,55479,44462.82,932.7893772
"8",2016-01-08,2098,976,458.06,68.31,306,670,448.65,2.784672,46137.6495,-68.884468,1.04112,55529,45110.88,949.4339844
"9",2016-01-09,2739,1236,454.29,65.68,522,714,448.39,2.778676,46489.02,-83.801039,0,56819,41397.59,872.7910086
"10",2016-01-10,3004,1131,596.97,63.89,411,720,448.21,2.76935,46945.5825,-88.422271,-0.15336,58241,39267.938,800.6708218
"11",2016-01-11,2822,967,1203.57,64.68,274,693,448.29,2.789658,47206.371,-56.428414,0.02184,61267,44499.742,948.0262228
"12",2016-01-12,3295,962,1708.88,67.2,274,688,448.54,2.802561,47546.0535,-44.234342,0,67725,44521.12,960.3784145
"13",2016-01-13,4396,1554.1,3331.19,73.18,846.58,706,449.12,2.747455,48155.2905,-45.319899,1.04928,75459,45027.4,958.09843
"14",2016-01-14,6350,1993,3606.54,78.61,1258,736,449.63,2.747941,49280.991,-61.072094,0.82608,83942,44334.28,950.0432317
"15",2016-01-15,6806,2218,3058.97,81.44,1483,735,449.89,2.745281,50623.65,-39.057664,1.21512,90566,43362.58,934.5957992
