date,energy_charge
1-Jan-16,745.9925617
2-Jan-16,790.1099934
3-Jan-16,752.0017908
4-Jan-16,866.6646098
5-Jan-16,896.3525726
6-Jan-16,904.7318905
7-Jan-16,932.7893772
8-Jan-16,949.4339844
9-Jan-16,872.7910086
10-Jan-16,800.6708218
11-Jan-16,948.0262228
12-Jan-16,960.3784145
13-Jan-16,958.09843
14-Jan-16,950.0432317
15-Jan-16,934.5957992
16-Jan-16,830.6043479
17-Jan-16,737.7415586
18-Jan-16,860.5330951
19-Jan-16,870.6123285
20-Jan-16,864.3155751
21-Jan-16,884.0160477
22-Jan-16,885.5336473
23-Jan-16,818.7874671
24-Jan-16,752.4285251
25-Jan-16,906.423633
26-Jan-16,969.0927278
27-Jan-16,974.966133
28-Jan-16,958.1085217
29-Jan-16,946.0221593
30-Jan-16,872.989557
31-Jan-16,809.6092143
1-Feb-16,984.0480235
2-Feb-16,1017.340843
3-Feb-16,1023.987887
4-Feb-16,1005.948864
5-Feb-16,997.1848329
6-Feb-16,889.4700061
7-Feb-16,796.5080315
8-Feb-16,851.4765701
9-Feb-16,860.9352259
10-Feb-16,985.2174015
11-Feb-16,1015.28591
12-Feb-16,969.0402159
13-Feb-16,882.6847212
14-Feb-16,822.7241193
15-Feb-16,999.5690324
16-Feb-16,993.5942932
17-Feb-16,1005.18111
18-Feb-16,1008.579537
19-Feb-16,1010.916773
20-Feb-16,918.6335706
21-Feb-16,815.6949206
22-Feb-16,963.6058242
23-Feb-16,986.0836494
24-Feb-16,993.3131071
25-Feb-16,999.6787563
26-Feb-16,1000.080137
27-Feb-16,920.551004
28-Feb-16,840.72931
29-Feb-16,950.945405
1-Mar-16,913.0606369
2-Mar-16,931.0784561
3-Mar-16,949.2031557
4-Mar-16,964.2892553
5-Mar-16,864.0447182
6-Mar-16,792.6274683
7-Mar-16,955.9361409
8-Mar-16,976.1669088
9-Mar-16,996.9450584
10-Mar-16,991.3784003
11-Mar-16,974.8015968
12-Mar-16,882.070025
13-Mar-16,769.6760256
14-Mar-16,923.797301
15-Mar-16,950.0676334
16-Mar-16,940.7965189
17-Mar-16,950.9469601
18-Mar-16,955.3498618
19-Mar-16,877.5490521
20-Mar-16,796.2197047
21-Mar-16,972.4051894
22-Mar-16,999.382458
23-Mar-16,997.1764381
24-Mar-16,948.5209467
25-Mar-16,798.7561522
26-Mar-16,820.5070869
27-Mar-16,779.6447085
28-Mar-16,970.1096856
29-Mar-16,988.8064367
30-Mar-16,986.8244152
31-Mar-16,992.3838593
1-Apr-16,979.6299799
2-Apr-16,879.601946
3-Apr-16,805.9475428
4-Apr-16,968.8148675
5-Apr-16,981.9333429
6-Apr-16,978.8985454
7-Apr-16,991.4272358
8-Apr-16,989.6097019
9-Apr-16,900.9187456
10-Apr-16,811.0712292
11-Apr-16,970.5328881
12-Apr-16,985.704482
13-Apr-16,987.2982169
14-Apr-16,991.3411524
15-Apr-16,991.650467
16-Apr-16,894.2464671
17-Apr-16,801.9579443
18-Apr-16,971.7048048
19-Apr-16,993.0235426
20-Apr-16,993.4748179
21-Apr-16,873.7810113
22-Apr-16,914.2804031
23-Apr-16,846.5689317
24-Apr-16,782.6458349
25-Apr-16,955.462783
26-Apr-16,967.9717399
27-Apr-16,912.1924433
28-Apr-16,856.5061599
29-Apr-16,826.5056399
30-Apr-16,751.1518463
1-May-16,650.474201
2-May-16,795.677549
3-May-16,835.510645
4-May-16,847.636205
5-May-16,866.31279
6-May-16,865.335865
7-May-16,795.419092
8-May-16,707.5492
9-May-16,864.078442
10-May-16,894.562014
11-May-16,904.297024
12-May-16,897.54195
13-May-16,865.244221
14-May-16,777.31183
15-May-16,697.955341
16-May-16,847.375428
17-May-16,865.714144
18-May-16,855.197513
19-May-16,852.732399
20-May-16,866.566671
21-May-16,806.554536
22-May-16,726.42819
23-May-16,840.856768
24-May-16,831.700821
25-May-16,832.469036
26-May-16,748.184534
27-May-16,797.074135
28-May-16,753.092883
29-May-16,682.991633
30-May-16,839.793
31-May-16,874.217922
