"","date","waterlevel"
"1",2016-01-01,449.27
"2",2016-01-02,449.26
"3",2016-01-03,449.28
"4",2016-01-04,449.28
"5",2016-01-05,449.13
"6",2016-01-06,448.97
"7",2016-01-07,448.82
"8",2016-01-08,448.65
"9",2016-01-09,448.39
"10",2016-01-10,448.21
"11",2016-01-11,448.29
"12",2016-01-12,448.54
"13",2016-01-13,449.12
"14",2016-01-14,449.63
"15",2016-01-15,449.89
"16",2016-01-16,449.76
"17",2016-01-17,449.51
"18",2016-01-18,449.25
"19",2016-01-19,449.02
"20",2016-01-20,448.79
"21",2016-01-21,448.63
"22",2016-01-22,448.42
"23",2016-01-23,448.2
"24",2016-01-24,448.03
"25",2016-01-25,447.87
"26",2016-01-26,447.75
"27",2016-01-27,447.6
"28",2016-01-28,447.63
"29",2016-01-29,447.72
"30",2016-01-30,447.92
"31",2016-01-31,448.05
"32",2016-02-01,448.16
"33",2016-02-02,448.24
"34",2016-02-03,448.33
"35",2016-02-04,448.43
"36",2016-02-05,448.52
"37",2016-02-06,448.65
"38",2016-02-07,448.79
"39",2016-02-08,449.02
"40",2016-02-09,449.23
"41",2016-02-10,449.33
"42",2016-02-11,449.34
"43",2016-02-12,449.34
"44",2016-02-13,449.29
"45",2016-02-14,449.29
"46",2016-02-15,449.23
"47",2016-02-16,449.22
"48",2016-02-17,449.24
"49",2016-02-18,449.26
"50",2016-02-19,449.29
"51",2016-02-20,449.37
"52",2016-02-21,449.65
"53",2016-02-22,449.79
"54",2016-02-23,449.81
"55",2016-02-24,449.81
"56",2016-02-25,449.76
"57",2016-02-26,449.71
"58",2016-02-27,449.78
"59",2016-02-28,449.95
"60",2016-02-29,450.01
"61",2016-03-01,450.03
"62",2016-03-02,450.05
"63",2016-03-03,450.11
"64",2016-03-04,450.16
"65",2016-03-05,450.22
"66",2016-03-06,450.28
"67",2016-03-07,450.27
"68",2016-03-08,450.17
"69",2016-03-09,450.17
"70",2016-03-10,450.19
"71",2016-03-11,450.14
"72",2016-03-12,450.24
"73",2016-03-13,450.3
"74",2016-03-14,450.34
"75",2016-03-15,450.5
"76",2016-03-16,450.5
"77",2016-03-17,450.53
"78",2016-03-18,450.49
"79",2016-03-19,450.47
"80",2016-03-20,450.42
"81",2016-03-21,450.39
"82",2016-03-22,450.38
"83",2016-03-23,450.39
"84",2016-03-24,450.49
"85",2016-03-25,450.58
"86",2016-03-26,450.64
"87",2016-03-27,450.69
"88",2016-03-28,450.74
"89",2016-03-29,450.74
"90",2016-03-30,450.71
"91",2016-03-31,450.67
"92",2016-04-01,450.63
"93",2016-04-02,450.63
"94",2016-04-03,450.65
"95",2016-04-04,450.63
"96",2016-04-05,450.61
"97",2016-04-06,450.59
"98",2016-04-07,450.57
"99",2016-04-08,450.54
"100",2016-04-09,450.52
"101",2016-04-10,450.54
"102",2016-04-11,450.51
"103",2016-04-12,450.47
"104",2016-04-13,450.45
"105",2016-04-14,450.43
"106",2016-04-15,450.39
"107",2016-04-16,450.38
"108",2016-04-17,450.4
"109",2016-04-18,450.36
"110",2016-04-19,450.32
"111",2016-04-20,450.3
"112",2016-04-21,450.34
"113",2016-04-22,450.31
"114",2016-04-23,450.27
"115",2016-04-24,450.3
"116",2016-04-25,450.27
"117",2016-04-26,450.23
"118",2016-04-27,450.19
"119",2016-04-28,450.16
"120",2016-04-29,450.11
"121",2016-04-30,450.06
"122",2016-05-01,450.08
"123",2016-05-02,450.03
"124",2016-05-03,449.98
"125",2016-05-04,449.94
"126",2016-05-05,449.9
"127",2016-05-06,449.86
"128",2016-05-08,449.85
"129",2016-05-09,449.82
"130",2016-05-10,449.77
"131",2016-05-11,449.71
"132",2016-05-12,449.67
"133",2016-05-16,449.61
"134",2016-05-17,449.58
"135",2016-05-18,449.61
"136",2016-05-19,449.68
"137",2016-05-20,449.79
"138",2016-05-21,449.88
"139",2016-05-22,450.04
"140",2016-05-23,450.27
"141",2016-05-24,450.35
"142",2016-05-25,450.45
"143",2016-05-26,450.56
"144",2016-05-27,450.58
"145",2016-05-28,450.59
"146",2016-05-29,450.68
"147",2016-05-30,450.7
"148",2016-05-31,450.75
"149",2016-06-01,450.79
"150",2016-06-02,450.9
"151",2016-06-06,451.1
"152",2016-06-07,451.13
"153",2016-06-08,451.16
"154",2016-06-09,451.16
"155",2016-06-10,451.08
"156",2016-06-11,451.07
"157",2016-06-12,451.18
"158",2016-06-15,451.37
"159",2016-06-16,451.38
"160",2016-06-17,451.36
"161",2016-06-18,451.39
"162",2016-06-19,451.45
"163",2016-06-20,451.47
"164",2016-06-21,451.46
"165",2016-06-22,451.44
"166",2016-06-23,451.45
"167",2016-06-24,451.43
"168",2016-06-26,451.45
"169",2016-06-27,451.45
