Date (Month and Year),Capacity
December 2020,176393.4
November 2020,175643.4
October 2020,175643.4
September 2020,174893.4
August 2020,174518.4
July 2020,172868.4
June 2020,172818.4
May 2020,170118.4
April 2020,168918.4
March 2020,168793.4
February 2020,167449.4
January 2020,167449.4
December 2019,166899.4
November 2019,166749.4
October 2019,166799.4
September 2019,165689.4
August 2019,165139.4
July 2019,164339.4
June 2019,164639.4
May 2019,164564.4
April 2019,164556.1
March 2019,164497.8
February 2019,164497.8
January 2019,164497.8
December 2018,163897.8
November 2018,163747.8
October 2018,163747.8
September 2018,163347.8
August 2018,163297.8
July 2018,162697.8
June 2018,162547.8
May 2018,162007.8
April 2018,161257.8
March 2018,160707.8
February 2018,160057.8
January 2018,159917.8
December 2017,159357.8
November 2017,159177.8
October 2017,159177.8
September 2017,157752.8
August 2017,157002.8
July 2017,157002.8
June 2017,155502.8
May 2017,155277.8
April 2017,155052.8
March 2017,155052.8
February 2017,155052.8
January 2017,154302.8
December 2016,153894.8
November 2016,153294.8
October 2016,153214.8
September 2016,153214.8
August 2016,152989.8
July 2016,152989.8
June 2016,152764.8
May 2016,152464.8
April 2016,152464.8
March 2016,152464.8
February 2016,151264.8
January 2016,150764.8
