Date,Energy (MWmed)
1/1/16 ,50215
1/2/16 ,51937
1/3/16 ,53468
1/4/16 ,54512
1/5/16 ,55056
1/6/16 ,55428
1/7/16 ,55479
1/8/16 ,55529
1/9/16 ,56819
1/10/16 ,58241
1/11/16 ,61267
1/12/16 ,67725
1/13/16 ,75459
1/14/16 ,83942
1/15/16 ,90566
1/16/16 ,96988
1/17/16 ,101422
1/18/16 ,104767
1/19/16 ,106521
1/20/16 ,108859
1/21/16 ,110765
1/22/16 ,110547
1/23/16 ,108239
1/24/16 ,102243
1/25/16 ,95875
1/26/16 ,90396
1/27/16 ,87853
1/28/16 ,83748
1/29/16 ,81966
1/30/16 ,79976
1/31/16 ,77186
2/1/16 ,73177
2/2/16 ,68421
2/3/16 ,64655
2/4/16 ,61606
2/5/16 ,59594
2/6/16 ,57954
2/7/16 ,56521
2/8/16 ,55711
2/9/16 ,55083
2/10/16 ,54324
2/11/16 ,53825
2/12/16 ,53245
2/13/16 ,53238
2/14/16 ,52938
2/15/16 ,53231
2/16/16 ,52795
2/17/16 ,52941
2/18/16 ,53037
2/19/16 ,53341
2/20/16 ,53575
2/21/16 ,54785
2/22/16 ,56844
2/23/16 ,58323
2/24/16 ,60390
2/25/16 ,62219
2/26/16 ,63085
2/27/16 ,64170
2/28/16 ,66587
2/29/16 ,68928
3/1/16 ,70287
3/2/16 ,71121
3/3/16 ,72418
3/4/16 ,71283
3/5/16 ,69714
3/6/16 ,68762
3/7/16 ,68894
3/8/16 ,69426
3/9/16 ,70269
3/10/16 ,72164
3/11/16 ,72427
3/12/16 ,71993
3/13/16 ,72122
3/14/16 ,72096
3/15/16 ,71363
3/16/16 ,70139
3/17/16 ,67809
3/18/16 ,65535
3/19/16 ,63131
3/20/16 ,61082
3/21/16 ,59044
3/22/16 ,57096
3/23/16 ,55181
3/24/16 ,53957
3/25/16 ,53501
3/26/16 ,53926
3/27/16 ,54442
3/28/16 ,54486
3/29/16 ,54244
3/30/16 ,53757
3/31/16 ,53123
4/1/16 ,51838
4/2/16 ,50526
4/3/16 ,49206
4/4/16 ,47741
4/5/16 ,46264
4/6/16 ,44717
4/7/16 ,43110
4/8/16 ,41584
4/9/16 ,40255
4/10/16 ,39041
4/11/16 ,37949
4/12/16 ,36992
4/13/16 ,36068
4/14/16 ,35118
4/15/16 ,34244
4/16/16 ,33678
4/17/16 ,33212
4/18/16 ,32791
4/19/16 ,32461
4/20/16 ,32112
4/21/16 ,31707
4/22/16 ,31289
4/23/16 ,30936
4/24/16 ,30921
4/25/16 ,31121
4/26/16 ,31613
4/27/16 ,32236
4/28/16 ,32846
4/29/16 ,33483
4/30/16 ,33905
5/1/16 ,34186
5/2/16 ,34059
5/3/16 ,33539
5/4/16 ,32769
5/5/16 ,31938
5/6/16 ,31238
5/7/16 ,30853
5/8/16 ,30770
5/9/16 ,32066
5/10/16 ,32899
5/11/16 ,33874
5/12/16 ,34238
5/13/16 ,34120
5/14/16 ,33598
5/15/16 ,33029
5/16/16 ,32668
5/17/16 ,32468
5/18/16 ,32405
5/19/16 ,32783
5/20/16 ,32995
5/21/16 ,34029
5/22/16 ,33966
5/23/16 ,35180
5/24/16 ,36057
5/25/16 ,36541
5/26/16 ,36426
5/27/16 ,36217
5/28/16 ,35589
5/29/16 ,35036
5/30/16 ,35729
5/31/16 ,36651
6/1/16 ,37639
6/2/16 ,38725
6/3/16 ,39662
6/4/16 ,40747
6/5/16 ,42348
6/6/16 ,44093
6/7/16 ,45520
6/8/16 ,46333
6/9/16 ,46918
6/10/16 ,47475
6/11/16 ,47095
6/12/16 ,45810
6/13/16 ,43820
6/14/16 ,41590
6/15/16 ,39585
6/16/16 ,37944
6/17/16 ,36476
6/18/16 ,35527
6/19/16 ,34545
6/20/16 ,33724
6/21/16 ,32600
6/22/16 ,31773
6/23/16 ,31600
6/24/16 ,32149
6/25/16 ,31650
6/26/16 ,30409
6/27/16 ,29127
6/28/16 ,28245
6/29/16 ,27397
6/30/16 ,26581
7/1/16 ,25942
7/2/16 ,25395
7/3/16 ,25092
7/4/16 ,24821
7/5/16 ,24580
7/6/16 ,24230
7/7/16 ,23854
7/8/16 ,23405
7/9/16 ,22995
7/10/16 ,22645
7/11/16 ,22281
7/12/16 ,21978
7/13/16 ,21887
7/14/16 ,22285
7/15/16 ,22819
7/16/16 ,23411
7/17/16 ,23974
7/18/16 ,24276
7/19/16 ,23994
7/20/16 ,23488
7/21/16 ,22671
7/22/16 ,22087
7/23/16 ,21525
7/24/16 ,21176
7/25/16 ,20829
7/26/16 ,20459
7/27/16 ,20099
7/28/16 ,19780
7/29/16 ,19496
7/30/16 ,19160
7/31/16 ,18893
8/1/16 ,18897
8/2/16 ,18675
8/3/16 ,18490
8/4/16 ,18303
8/5/16 ,18134
8/6/16 ,18077
8/7/16 ,18061
8/8/16 ,18092
8/9/16 ,18095
8/10/16 ,18105
8/11/16 ,18154
8/12/16 ,18349
8/13/16 ,18607
8/14/16 ,18786
8/15/16 ,18679
8/16/16 ,18516
8/17/16 ,18558
8/18/16 ,18927
8/19/16 ,19349
8/20/16 ,20565
8/21/16 ,22854
8/22/16 ,26677
8/23/16 ,29304
8/24/16 ,29349
8/25/16 ,28524
8/26/16 ,27289
8/27/16 ,25453
8/28/16 ,23910
8/29/16 ,23148
8/30/16 ,23061
8/31/16 ,22423
9/1/16 ,21986
9/2/16 ,21701
9/3/16 ,21297
9/4/16 ,21360
9/5/16 ,21546
9/6/16 ,21670
9/7/16 ,21575
9/8/16 ,21774
9/9/16 ,21790
9/10/16 ,21453
9/11/16 ,20963
9/12/16 ,20306
9/13/16 ,19594
9/14/16 ,18977
9/15/16 ,18385
9/16/16 ,17844
9/17/16 ,17344
9/18/16 ,17044
9/19/16 ,16828
9/20/16 ,16704
9/21/16 ,16452
9/22/16 ,16293
9/23/16 ,15991
