Date,Energy
1/1/16,2739
1/2/16,3085
1/3/16,3001
1/4/16,2964
1/5/16,2750
1/6/16,2434
1/7/16,2238
1/8/16,2098
1/9/16,2739
1/10/16,3004
1/11/16,2822
1/12/16,3295
1/13/16,4396
1/14/16,6350
1/15/16,6806
1/16/16,7005
1/17/16,6773
1/18/16,6035
1/19/16,5177
1/20/16,4285
1/21/16,3481
1/22/16,2856
1/23/16,2363
1/24/16,2034
1/25/16,1837
1/26/16,1721
1/27/16,2326
1/28/16,2002
1/29/16,1921
1/30/16,1940
1/31/16,1794
2/1/16,1769
2/2/16,1733
2/3/16,1663
2/4/16,1579
2/5/16,1537
2/6/16,1552
2/7/16,1579
2/8/16,1608
2/9/16,1723
2/10/16,1743
2/11/16,1793
2/12/16,1747
2/13/16,1668
2/14/16,1571
2/15/16,2371
2/16/16,1964
2/17/16,2117
2/18/16,2134
2/19/16,2313
2/20/16,2253
2/21/16,2612
2/22/16,2821
2/23/16,3004
2/24/16,3247
2/25/16,3324
2/26/16,3086
2/27/16,2942
2/28/16,3509
2/29/16,3722
3/1/16,3537
3/2/16,3212
3/3/16,3430
3/4/16,3402
3/5/16,3224
3/6/16,3047
3/7/16,2898
3/8/16,2688
3/9/16,2519
3/10/16,3122
3/11/16,3516
3/12/16,2950
3/13/16,2869
3/14/16,2800
3/15/16,3008
3/16/16,3089
3/17/16,3172
3/18/16,2996
3/19/16,2721
3/20/16,2422
3/21/16,2142
3/22/16,1882
3/23/16,1741
3/24/16,1730
3/25/16,1787
3/26/16,1803
3/27/16,1795
3/28/16,1770
3/29/16,1711
3/30/16,1620
3/31/16,1539
4/1/16,1425
4/2/16,1333
4/3/16,1247
4/4/16,1175
4/5/16,1132
4/6/16,1091
4/7/16,1069
4/8/16,1042
4/9/16,1015
4/10/16,994
4/11/16,962
4/12/16,933
4/13/16,899
4/14/16,882
4/15/16,871
4/16/16,860
4/17/16,841
4/18/16,819
4/19/16,800
4/20/16,790
4/21/16,771
4/22/16,769
4/23/16,765
4/24/16,773
4/25/16,814
4/26/16,856
4/27/16,887
4/28/16,902
4/29/16,902
4/30/16,866
5/1/16,836
5/2/16,822
5/3/16,809
5/4/16,800
5/5/16,799
5/6/16,799
5/7/16,787
5/8/16,774
5/9/16,771
5/10/16,770
5/11/16,759
5/12/16,770
5/13/16,773
5/14/16,780
5/15/16,792
5/16/16,873
5/17/16,912
5/18/16,1027
5/19/16,1085
5/20/16,1192
5/21/16,2187
5/22/16,1492
5/23/16,1786
5/24/16,1681
5/25/16,1692
5/26/16,1600
5/27/16,1523
5/28/16,1442
5/29/16,1439
5/30/16,1468
5/31/16,1664
6/1/16,1767
6/2/16,2208
6/3/16,2397
6/4/16,2801
6/5/16,3655
6/6/16,4235
6/7/16,4768
6/8/16,4345
6/9/16,4310
6/10/16,4165
6/11/16,3866
6/12/16,3461
6/13/16,3038
6/14/16,2587
6/15/16,2165
6/16/16,1864
6/17/16,1664
6/18/16,1533
6/19/16,1455
6/20/16,1410
6/21/16,1372
6/22/16,1328
6/23/16,1313
6/24/16,1272
6/25/16,1228
6/26/16,1179
6/27/16,1148
6/28/16,1116
6/29/16,1071
6/30/16,1056
7/1/16,1034
7/2/16,1007
7/3/16,996
7/4/16,988
7/5/16,973
7/6/16,954
7/7/16,948
7/8/16,934
7/9/16,932
7/10/16,935
7/11/16,935
7/12/16,936
7/13/16,920
7/14/16,924
7/15/16,916
7/16/16,924
7/17/16,900
7/18/16,900
7/19/16,883
7/20/16,868
7/21/16,864
7/22/16,858
7/23/16,844
7/24/16,832
7/25/16,835
7/26/16,819
7/27/16,823
7/28/16,825
7/29/16,832
7/30/16,825
7/31/16,824
8/1/16,817
8/2/16,812
8/3/16,798
8/4/16,793
8/5/16,789
8/6/16,786
8/7/16,785
8/8/16,781
8/9/16,781
8/10/16,773
8/11/16,774
8/12/16,769
8/13/16,763
8/14/16,762
8/15/16,759
8/16/16,779
8/17/16,789
8/18/16,875
8/19/16,930
8/20/16,1035
8/21/16,1349
8/22/16,1176
8/23/16,1255
8/24/16,1200
8/25/16,1177
8/26/16,1145
8/27/16,1105
8/28/16,1041
8/29/16,970
8/30/16,925
8/31/16,938
9/1/16,928
9/2/16,955
9/3/16,946
9/4/16,944
9/5/16,932
9/6/16,950
9/7/16,903
9/8/16,912
9/9/16,905
9/10/16,891
9/11/16,881
9/12/16,866
9/13/16,834
9/14/16,786
9/15/16,755
9/16/16,748
9/17/16,715
9/18/16,717
9/19/16,730
9/20/16,702
9/21/16,685
9/22/16,674
9/23/16,658
9/24/16,640
9/25/16,630
9/26/16,612
9/27/16,591
9/28/16,570
9/29/16,555
9/30/16,542
10/1/16,584
10/2/16,621
10/3/16,670
10/4/16,719
10/5/16,748
10/6/16,743
10/7/16,720
10/8/16,699
10/9/16,675
10/10/16,663
10/11/16,677
10/12/16,706
10/13/16,803
10/14/16,894
10/15/16,934
10/16/16,989
10/17/16,1015
10/18/16,1048
10/19/16,1037
10/20/16,1071
10/21/16,1043
10/22/16,1008
10/23/16,1016
10/24/16,1029
10/25/16,1119
10/26/16,1168
10/27/16,1283
10/28/16,1241
10/29/16,1239
10/30/16,1176
10/31/16,1114
11/1/16,1086
11/2/16,1013
11/3/16,1000
11/4/16,889
11/5/16,866
11/6/16,806
11/7/16,870
11/8/16,900
11/9/16,982
11/10/16,1100
11/11/16,1089
11/12/16,1299
11/13/16,1627
11/14/16,1570
11/15/16,1484
11/16/16,1494
11/17/16,1490
11/18/16,1405
11/19/16,1353
11/20/16,1259
11/21/16,1174
11/22/16,1067
11/23/16,975
11/24/16,896
11/25/16,833
11/26/16,777
11/27/16,802
11/28/16,842
11/29/16,982
11/30/16,891
12/1/16,962
12/2/16,938
12/3/16,962
12/4/16,991
12/5/16,1031
12/6/16,1043
12/7/16,1054
12/8/16,1091
12/9/16,1170
12/10/16,1286
12/11/16,1378
12/12/16,1597
12/13/16,1484
12/14/16,1483
12/15/16,1403
12/16/16,1358
12/17/16,1340
12/18/16,1334
12/19/16,1298
12/20/16,1297
12/21/16,1827
12/22/16,1290
12/23/16,1281
12/24/16,1296
12/25/16,1245
12/26/16,1218
12/27/16,1189
12/28/16,1145
12/29/16,1074
12/30/16,1021
12/31/16,1015
1/1/17,987
1/2/17,1024
1/3/17,1037
1/4/17,1006
1/5/17,987
1/6/17,976
1/7/17,995
1/8/17,1007
1/9/17,1199
1/10/17,1233
1/11/17,1349
1/12/17,1575
1/13/17,1715
1/14/17,1832
1/15/17,1916
1/16/17,2644
1/17/17,2588
1/18/17,2923
1/19/17,3351
1/20/17,3626
1/21/17,4082
1/22/17,4089
1/23/17,4140
1/24/17,4249
1/25/17,3920
1/26/17,3650
1/27/17,3261
1/28/17,2880
1/29/17,2501
1/30/17,2215
1/31/17,2060
2/1/17,2384
2/2/17,2419
2/3/17,2489
2/4/17,2611
2/5/17,2607
2/6/17,2576
2/7/17,2504
2/8/17,2207
2/9/17,2038
2/10/17,1845
2/11/17,1684
2/12/17,1554
2/13/17,1439
2/14/17,1349
2/15/17,1251
2/16/17,1175
2/17/17,1116
2/18/17,1046
2/19/17,997
2/20/17,955
2/21/17,929
2/22/17,938
2/23/17,922
2/24/17,1144
2/25/17,1084
2/26/17,1069
2/27/17,1129
2/28/17,1163
3/1/17,1233
3/2/17,1327
3/3/17,1474
3/4/17,1527
3/5/17,1776
3/6/17,2057
3/7/17,3031
3/8/17,2465
3/9/17,2237
3/10/17,2220
3/11/17,2087
3/12/17,1900
3/13/17,1763
3/14/17,1618
3/15/17,1491
3/16/17,1374
3/17/17,1385
3/18/17,1329
3/19/17,1321
