,year_month,accumulate_riobranco,accumulate_rioacre,accumulate_madeira,accumulate_xingu,accumulate_monte,accumulate_jirau,Amazonas_total
0,200006,17.69,24.98,35.04,123.25,20.23,43.82,265.01
1,200007,47.37,34.45,40.33,159.47,36.13,58.55,376.3
2,200008,68.42,59.61,65.54,29.31,39.88,40.52,303.28
3,200009,82.56,89.67,140.94,81.93,142.19,52.12,589.41
4,200010,170.72,194.62,182.71,63.13,130.27,126.61,868.0600000000001
5,200011,175.71,198.1,268.59,105.49,239.65,162.35,1149.8899999999999
6,200012,151.17,207.67,250.12,126.23,286.52,186.1,1207.81
7,200101,301.94,345.97,397.86,335.37,295.0,267.36,1943.5
8,200102,223.48,286.88,320.61,250.4,197.22,221.7,1500.2900000000002
9,200103,365.5,322.67,301.75,313.15,300.6,211.53,1815.2
10,200104,103.0,160.71,201.26,287.73,164.5,104.6,1021.8000000000001
11,200105,65.61,83.93,137.01,181.28,95.27,79.26,642.36
12,200106,47.93,39.67,72.96,189.92,39.84,34.3,424.62000000000006
13,200107,24.33,43.4,59.07,62.54,10.63,41.41,241.37999999999997
14,200108,7.61,4.57,9.42,9.78,3.15,25.08,59.61
15,200109,110.38,43.91,85.91,50.73,57.58,80.1,428.61
16,200110,144.65,95.77,110.27,28.06,133.59,109.55,621.89
17,200111,202.1,129.55,144.28,35.89,162.1,180.2,854.1199999999999
18,200112,296.83,247.72,232.99,114.74,190.5,193.32,1276.1
19,200201,279.65,234.08,216.93,249.18,194.78,167.26,1341.88
20,200202,314.99,330.14,297.37,217.99,216.41,262.75,1639.65
21,200203,219.73,222.13,254.51,257.65,198.38,158.78,1311.18
22,200204,234.35,249.38,214.86,337.27,112.99,114.54,1263.39
23,200205,81.56,98.08,100.06,215.29,72.75,66.01,633.75
24,200206,19.88,30.8,39.73,163.92,30.34,27.07,311.73999999999995
25,200207,24.25,14.23,45.9,35.21,14.97,35.51,170.07
26,200208,22.24,51.74,48.02,22.28,8.26,59.48,212.01999999999998
27,200209,71.47,102.35,148.09,14.13,88.51,56.52,481.06999999999994
28,200210,184.96,167.29,176.53,44.29,124.94,94.9,792.91
29,200211,121.28,155.09,163.89,78.15,144.41,106.11,768.93
30,200212,210.48,182.86,305.57,125.87,250.91,205.02,1280.71
31,200301,260.97,214.85,270.5,108.97,294.25,222.99,1372.53
32,200302,204.82,201.94,237.08,311.44,288.16,192.44,1435.88
33,200303,181.16,262.17,282.41,310.57,336.03,237.27,1609.61
34,200304,158.96,188.47,178.35,213.87,162.67,143.87,1046.19
35,200305,108.97,130.5,93.79,114.06,54.16,53.35,554.83
36,200306,64.17,45.6,56.03,168.72,33.56,47.36,415.44
37,200307,10.15,12.25,12.62,53.45,6.23,8.48,103.18
38,200308,66.85,70.86,47.17,58.4,42.66,57.63,343.57
39,200309,99.03,112.24,83.98,50.23,73.28,85.28,504.03999999999996
40,200310,187.59,96.42,155.14,66.79,151.96,122.22,780.12
41,200311,125.79,159.9,157.64,99.83,183.83,109.63,836.62
42,200312,210.66,287.67,174.66,56.85,168.24,228.21,1126.29
43,200401,256.99,238.54,292.54,199.65,347.7,284.38,1619.7999999999997
44,200402,266.04,203.38,303.24,346.05,369.82,223.06,1711.59
45,200403,257.39,376.88,292.29,205.47,270.62,157.22,1559.8700000000001
46,200404,83.2,114.53,178.79,204.57,160.44,115.62,857.15
47,200405,62.03,93.51,70.33,128.01,65.53,59.92,479.33
48,200406,64.65,60.33,45.81,104.29,21.12,37.09,333.2900000000001
49,200407,56.29,56.88,23.5,69.9,32.52,54.91,294.0
50,200408,55.3,68.7,34.0,69.26,26.77,22.09,276.12
51,200409,55.24,57.04,58.23,88.14,83.83,37.65,380.12999999999994
52,200410,167.14,292.71,97.46,55.93,211.57,118.02,942.8299999999999
53,200411,296.69,262.54,137.42,53.86,158.66,192.59,1101.76
54,200412,142.82,195.68,130.7,121.96,128.48,234.96,954.6
55,200501,238.92,176.97,199.8,190.51,173.62,217.52,1197.3400000000001
56,200502,254.53,401.88,117.76,274.88,171.76,209.3,1430.11
57,200503,111.86,254.11,91.97,380.58,246.0,149.57,1234.09
58,200504,139.14,181.82,103.31,276.15,99.22,106.7,906.34
59,200505,23.38,46.37,110.17,210.96,65.96,65.27,522.11
60,200506,11.35,12.0,40.22,61.17,36.62,36.54,197.9
61,200507,10.57,7.5,13.8,72.62,10.27,13.85,128.61
62,200508,18.81,14.34,24.17,21.14,10.44,13.12,102.02000000000001
63,200509,43.01,22.28,62.18,24.31,88.0,67.06,306.84000000000003
64,200510,135.06,169.26,125.47,25.54,101.38,146.55,703.26
65,200511,203.23,182.61,124.21,47.47,184.07,156.96,898.55
66,200512,263.79,296.88,212.58,310.35,328.24,231.29,1643.13
67,200601,202.89,263.32,221.04,273.06,207.76,306.78,1474.85
68,200602,311.57,262.97,227.35,291.14,253.56,224.96,1571.55
69,200603,159.66,208.34,207.58,393.42,251.39,182.57,1402.9599999999998
70,200604,147.15,181.28,185.77,398.68,225.43,133.25,1271.5600000000002
71,200605,44.05,62.47,80.75,263.1,117.36,36.57,604.3000000000001
72,200606,52.85,23.01,19.02,65.39,9.59,52.77,222.63
73,200607,34.91,29.32,17.85,46.53,9.06,20.8,158.47
74,200608,29.66,48.08,43.63,22.69,12.92,27.1,184.07999999999998
75,200609,116.87,63.3,137.33,69.8,93.5,72.96,553.76
76,200610,123.48,136.06,167.79,43.31,161.89,171.46,803.99
77,200611,95.04,125.92,147.46,157.29,169.55,128.93,824.19
78,200612,186.91,288.82,202.6,90.79,217.15,209.63,1195.9
79,200701,254.58,288.81,233.37,100.31,186.24,278.28,1341.59
80,200702,295.74,210.53,183.92,345.9,314.75,300.72,1651.56
81,200703,235.78,198.58,223.5,393.96,190.2,249.99,1492.01
82,200704,142.87,146.76,147.58,266.55,135.81,184.69,1024.26
83,200705,73.35,138.87,81.88,184.62,56.12,109.46,644.3000000000001
84,200706,9.65,30.78,19.9,113.29,19.88,13.35,206.85
