TIPO,year,month,accumulate
MERGE_GPM,2000,6,17.69
MERGE_GPM,2000,7,47.37
MERGE_GPM,2000,8,68.42
MERGE_GPM,2000,9,82.56
MERGE_GPM,2000,10,170.72
MERGE_GPM,2000,11,175.71
MERGE_GPM,2000,12,151.17
MERGE_GPM,2001,1,301.94
MERGE_GPM,2001,2,223.48
MERGE_GPM,2001,3,365.5
MERGE_GPM,2001,4,103
MERGE_GPM,2001,5,65.61
MERGE_GPM,2001,6,47.93
MERGE_GPM,2001,7,24.33
MERGE_GPM,2001,8,7.61
MERGE_GPM,2001,9,110.38
MERGE_GPM,2001,10,144.65
MERGE_GPM,2001,11,202.1
MERGE_GPM,2001,12,296.83
MERGE_GPM,2002,1,279.65
MERGE_GPM,2002,2,314.99
MERGE_GPM,2002,3,219.73
MERGE_GPM,2002,4,234.35
MERGE_GPM,2002,5,81.56
MERGE_GPM,2002,6,19.88
MERGE_GPM,2002,7,24.25
MERGE_GPM,2002,8,22.24
MERGE_GPM,2002,9,71.47
MERGE_GPM,2002,10,184.96
MERGE_GPM,2002,11,121.28
MERGE_GPM,2002,12,210.48
MERGE_GPM,2003,1,260.97
MERGE_GPM,2003,2,204.82
MERGE_GPM,2003,3,181.16
MERGE_GPM,2003,4,158.96
MERGE_GPM,2003,5,108.97
MERGE_GPM,2003,6,64.17
MERGE_GPM,2003,7,10.15
MERGE_GPM,2003,8,66.85
MERGE_GPM,2003,9,99.03
MERGE_GPM,2003,10,187.59
MERGE_GPM,2003,11,125.79
MERGE_GPM,2003,12,210.66
MERGE_GPM,2004,1,256.99
MERGE_GPM,2004,2,266.04
MERGE_GPM,2004,3,257.39
MERGE_GPM,2004,4,83.2
MERGE_GPM,2004,5,62.03
MERGE_GPM,2004,6,64.65
MERGE_GPM,2004,7,56.29
MERGE_GPM,2004,8,55.3
MERGE_GPM,2004,9,55.24
MERGE_GPM,2004,10,167.14
MERGE_GPM,2004,11,296.69
MERGE_GPM,2004,12,142.82
MERGE_GPM,2005,1,238.92
MERGE_GPM,2005,2,254.53
MERGE_GPM,2005,3,111.86
MERGE_GPM,2005,4,139.14
MERGE_GPM,2005,5,23.38
MERGE_GPM,2005,6,11.35
