TIPO,year,month,accumulate
MERGE_GPM,2000,6,24.98
MERGE_GPM,2000,7,34.45
MERGE_GPM,2000,8,59.61
MERGE_GPM,2000,9,89.67
MERGE_GPM,2000,10,194.62
MERGE_GPM,2000,11,198.1
MERGE_GPM,2000,12,207.67
MERGE_GPM,2001,1,345.97
MERGE_GPM,2001,2,286.88
MERGE_GPM,2001,3,322.67
MERGE_GPM,2001,4,160.71
MERGE_GPM,2001,5,83.93
MERGE_GPM,2001,6,39.67
MERGE_GPM,2001,7,43.4
MERGE_GPM,2001,8,4.57
MERGE_GPM,2001,9,43.91
MERGE_GPM,2001,10,95.77
MERGE_GPM,2001,11,129.55
MERGE_GPM,2001,12,247.72
MERGE_GPM,2002,1,234.08
MERGE_GPM,2002,2,330.14
MERGE_GPM,2002,3,222.13
MERGE_GPM,2002,4,249.38
MERGE_GPM,2002,5,98.08
MERGE_GPM,2002,6,30.8
MERGE_GPM,2002,7,14.23
MERGE_GPM,2002,8,51.74
MERGE_GPM,2002,9,102.35
MERGE_GPM,2002,10,167.29
MERGE_GPM,2002,11,155.09
MERGE_GPM,2002,12,182.86
MERGE_GPM,2003,1,214.85
MERGE_GPM,2003,2,201.94
MERGE_GPM,2003,3,262.17
MERGE_GPM,2003,4,188.47
MERGE_GPM,2003,5,130.5
MERGE_GPM,2003,6,45.6
MERGE_GPM,2003,7,12.25
MERGE_GPM,2003,8,70.86
MERGE_GPM,2003,9,112.24
MERGE_GPM,2003,10,96.42
MERGE_GPM,2003,11,159.9
MERGE_GPM,2003,12,287.67
MERGE_GPM,2004,1,238.54
MERGE_GPM,2004,2,203.38
MERGE_GPM,2004,3,376.88
MERGE_GPM,2004,4,114.53
MERGE_GPM,2004,5,93.51
MERGE_GPM,2004,6,60.33
MERGE_GPM,2004,7,56.88
MERGE_GPM,2004,8,68.7
MERGE_GPM,2004,9,57.04
MERGE_GPM,2004,10,292.71
MERGE_GPM,2004,11,262.54
MERGE_GPM,2004,12,195.68
MERGE_GPM,2005,1,176.97
MERGE_GPM,2005,2,401.88
MERGE_GPM,2005,3,254.11
MERGE_GPM,2005,4,181.82
MERGE_GPM,2005,5,46.37
MERGE_GPM,2005,6,12
MERGE_GPM,2005,7,7.5
MERGE_GPM,2005,8,14.34
MERGE_GPM,2005,9,22.28
MERGE_GPM,2005,10,169.26
MERGE_GPM,2005,11,182.61
MERGE_GPM,2005,12,296.88
MERGE_GPM,2006,1,263.32
MERGE_GPM,2006,2,262.97
MERGE_GPM,2006,3,208.34
MERGE_GPM,2006,4,181.28
MERGE_GPM,2006,5,62.47
MERGE_GPM,2006,6,23.01
MERGE_GPM,2006,7,29.32
MERGE_GPM,2006,8,48.08
MERGE_GPM,2006,9,63.3
MERGE_GPM,2006,10,136.06
MERGE_GPM,2006,11,125.92
MERGE_GPM,2006,12,288.82
MERGE_GPM,2007,1,288.81
MERGE_GPM,2007,2,210.53
MERGE_GPM,2007,3,198.58
MERGE_GPM,2007,4,146.76
MERGE_GPM,2007,5,138.87
MERGE_GPM,2007,6,30.78
MERGE_GPM,2007,7,56.76
MERGE_GPM,2007,8,36.01
MERGE_GPM,2007,9,79.74
MERGE_GPM,2007,10,143.89
MERGE_GPM,2007,11,191.86
MERGE_GPM,2007,12,206.42
MERGE_GPM,2008,1,304.08
MERGE_GPM,2008,2,217.93
MERGE_GPM,2008,3,199.6
MERGE_GPM,2008,4,122.63
MERGE_GPM,2008,5,56.81
MERGE_GPM,2008,6,17.64
MERGE_GPM,2008,7,22.88
MERGE_GPM,2008,8,26.43
MERGE_GPM,2008,9,62.12
MERGE_GPM,2008,10,100.88
MERGE_GPM,2008,11,148.01
MERGE_GPM,2008,12,260.82
MERGE_GPM,2009,1,226.78
MERGE_GPM,2009,2,263.33
MERGE_GPM,2009,3,215.36
MERGE_GPM,2009,4,306.67
MERGE_GPM,2009,5,136.87
MERGE_GPM,2009,6,58.64
MERGE_GPM,2009,7,29.41
MERGE_GPM,2009,8,97.06
MERGE_GPM,2009,9,75.9
MERGE_GPM,2009,10,122.72
MERGE_GPM,2009,11,257.33
MERGE_GPM,2009,12,407.56
MERGE_GPM,2010,1,357.17
MERGE_GPM,2010,2,262.02
MERGE_GPM,2010,3,284.59
MERGE_GPM,2010,4,58.09
MERGE_GPM,2010,5,56.19
MERGE_GPM,2010,6,22.84
MERGE_GPM,2010,7,5.15
MERGE_GPM,2010,8,11.57
MERGE_GPM,2010,9,33.34
MERGE_GPM,2010,10,204.29
MERGE_GPM,2010,11,231.1
MERGE_GPM,2010,12,174.83
MERGE_GPM,2011,1,211.87
MERGE_GPM,2011,2,236
MERGE_GPM,2011,3,188.28
MERGE_GPM,2011,4,191.3
MERGE_GPM,2011,5,54.13
MERGE_GPM,2011,6,18.73
MERGE_GPM,2011,7,21.85
MERGE_GPM,2011,8,32.04
MERGE_GPM,2011,9,84.89
MERGE_GPM,2011,10,120.14
MERGE_GPM,2011,11,234.93
MERGE_GPM,2011,12,218.79
MERGE_GPM,2012,1,483.55
MERGE_GPM,2012,2,381.12
MERGE_GPM,2012,3,296.02
MERGE_GPM,2012,4,143.02
MERGE_GPM,2012,5,59.17
MERGE_GPM,2012,6,118.92
MERGE_GPM,2012,7,18.22
MERGE_GPM,2012,8,49.12
MERGE_GPM,2012,9,69.79
MERGE_GPM,2012,10,205.52
MERGE_GPM,2012,11,273.66
MERGE_GPM,2012,12,219.21
MERGE_GPM,2013,1,353.21
MERGE_GPM,2013,2,202.24
MERGE_GPM,2013,3,369.38
MERGE_GPM,2013,4,54.15
MERGE_GPM,2013,5,62.33
MERGE_GPM,2013,6,87.16
MERGE_GPM,2013,7,35.42
MERGE_GPM,2013,8,41.36
MERGE_GPM,2013,9,102.47
MERGE_GPM,2013,10,196.63
MERGE_GPM,2013,11,223.7
MERGE_GPM,2013,12,324.56
MERGE_GPM,2014,1,396.55
MERGE_GPM,2014,2,245.97
MERGE_GPM,2014,3,397.53
MERGE_GPM,2014,4,236.84
MERGE_GPM,2014,5,164.74
MERGE_GPM,2014,6,64
MERGE_GPM,2014,7,26.15
MERGE_GPM,2014,8,81.41
MERGE_GPM,2014,9,140.87
MERGE_GPM,2014,10,190.11
MERGE_GPM,2014,11,202.12
MERGE_GPM,2014,12,195.88
MERGE_GPM,2015,1,269.95
MERGE_GPM,2015,2,230.34
MERGE_GPM,2015,3,160.97
MERGE_GPM,2015,4,204.2
MERGE_GPM,2015,5,176.62
MERGE_GPM,2015,6,27.82
MERGE_GPM,2015,7,9.15
MERGE_GPM,2015,8,51.66
MERGE_GPM,2015,9,63.46
MERGE_GPM,2015,10,82.62
MERGE_GPM,2015,11,199.73
MERGE_GPM,2015,12,190.64
MERGE_GPM,2016,1,117.78
MERGE_GPM,2016,2,234.89
MERGE_GPM,2016,3,264.79
MERGE_GPM,2016,4,174.71
MERGE_GPM,2016,5,55.58
MERGE_GPM,2016,6,10.44
MERGE_GPM,2016,7,10.13
MERGE_GPM,2016,8,31.53
MERGE_GPM,2016,9,94.24
MERGE_GPM,2016,10,165.19
MERGE_GPM,2016,11,129.58
MERGE_GPM,2016,12,248.6
MERGE_GPM,2017,1,343.25
MERGE_GPM,2017,2,284.66
MERGE_GPM,2017,3,330.81
MERGE_GPM,2017,4,185.26
MERGE_GPM,2017,5,96.85
MERGE_GPM,2017,6,50.39
MERGE_GPM,2017,7,19.14
MERGE_GPM,2017,8,38.48
MERGE_GPM,2017,9,65.34
MERGE_GPM,2017,10,123.69
MERGE_GPM,2017,11,192.8
MERGE_GPM,2017,12,244.64
MERGE_GPM,2018,1,227.59
MERGE_GPM,2018,2,359.44
MERGE_GPM,2018,3,150.44
MERGE_GPM,2018,4,274.4
MERGE_GPM,2018,5,126.21
MERGE_GPM,2018,6,30.42
MERGE_GPM,2018,7,4.07
MERGE_GPM,2018,8,99.94
MERGE_GPM,2018,9,98.44
MERGE_GPM,2018,10,146.57
MERGE_GPM,2018,11,165.48
MERGE_GPM,2018,12,210.85
MERGE_GPM,2019,1,228
MERGE_GPM,2019,2,316.89
MERGE_GPM,2019,3,241.16
MERGE_GPM,2019,4,198.13
MERGE_GPM,2019,5,84.39
MERGE_GPM,2019,6,74.23
MERGE_GPM,2019,7,52.57
MERGE_GPM,2019,8,16.59
MERGE_GPM,2019,9,64.23
MERGE_GPM,2019,10,213.65
MERGE_GPM,2019,11,291.45
MERGE_GPM,2019,12,353.56
MERGE_GPM,2020,1,135.28
MERGE_GPM,2020,2,217.05
MERGE_GPM,2020,3,192.16
MERGE_GPM,2020,4,165.75
MERGE_GPM,2020,5,88.55
MERGE_GPM,2020,6,44.8
MERGE_GPM,2020,7,19.04
MERGE_GPM,2020,8,3.99
MERGE_GPM,2020,9,61.8
MERGE_GPM,2020,10,44.32
MERGE_GPM,2020,11,50.26
MERGE_GPM,2020,12,291.09
