TIPO,year,month,accumulate
MERGE_GPM,2000,6,35.04
MERGE_GPM,2000,7,40.33
MERGE_GPM,2000,8,65.54
MERGE_GPM,2000,9,140.94
MERGE_GPM,2000,10,182.71
MERGE_GPM,2000,11,268.59
MERGE_GPM,2000,12,250.12
MERGE_GPM,2001,1,397.86
MERGE_GPM,2001,2,320.61
MERGE_GPM,2001,3,301.75
MERGE_GPM,2001,4,201.26
MERGE_GPM,2001,5,137.01
MERGE_GPM,2001,6,72.96
MERGE_GPM,2001,7,59.07
MERGE_GPM,2001,8,9.42
MERGE_GPM,2001,9,85.91
MERGE_GPM,2001,10,110.27
MERGE_GPM,2001,11,144.28
MERGE_GPM,2001,12,232.99
MERGE_GPM,2002,1,216.93
MERGE_GPM,2002,2,297.37
MERGE_GPM,2002,3,254.51
MERGE_GPM,2002,4,214.86
MERGE_GPM,2002,5,100.06
MERGE_GPM,2002,6,39.73
MERGE_GPM,2002,7,45.9
MERGE_GPM,2002,8,48.02
MERGE_GPM,2002,9,148.09
MERGE_GPM,2002,10,176.53
MERGE_GPM,2002,11,163.89
MERGE_GPM,2002,12,305.57
MERGE_GPM,2003,1,270.5
MERGE_GPM,2003,2,237.08
MERGE_GPM,2003,3,282.41
MERGE_GPM,2003,4,178.35
MERGE_GPM,2003,5,93.79
MERGE_GPM,2003,6,56.03
MERGE_GPM,2003,7,12.62
MERGE_GPM,2003,8,47.17
MERGE_GPM,2003,9,83.98
MERGE_GPM,2003,10,155.14
MERGE_GPM,2003,11,157.64
MERGE_GPM,2003,12,174.66
MERGE_GPM,2004,1,292.54
MERGE_GPM,2004,2,303.24
MERGE_GPM,2004,3,292.29
MERGE_GPM,2004,4,178.79
MERGE_GPM,2004,5,70.33
MERGE_GPM,2004,6,45.81
MERGE_GPM,2004,7,23.5
MERGE_GPM,2004,8,34
MERGE_GPM,2004,9,58.23
MERGE_GPM,2004,10,97.46
MERGE_GPM,2004,11,137.42
MERGE_GPM,2004,12,130.7
MERGE_GPM,2005,1,199.8
MERGE_GPM,2005,2,117.76
MERGE_GPM,2005,3,91.97
MERGE_GPM,2005,4,103.31
MERGE_GPM,2005,5,110.17
MERGE_GPM,2005,6,40.22
MERGE_GPM,2005,7,13.8
MERGE_GPM,2005,8,24.17
MERGE_GPM,2005,9,62.18
MERGE_GPM,2005,10,125.47
MERGE_GPM,2005,11,124.21
MERGE_GPM,2005,12,212.58
MERGE_GPM,2006,1,221.04
MERGE_GPM,2006,2,227.35
MERGE_GPM,2006,3,207.58
MERGE_GPM,2006,4,185.77
MERGE_GPM,2006,5,80.75
MERGE_GPM,2006,6,19.02
MERGE_GPM,2006,7,17.85
MERGE_GPM,2006,8,43.63
MERGE_GPM,2006,9,137.33
MERGE_GPM,2006,10,167.79
MERGE_GPM,2006,11,147.46
