TIPO,year,month,accumulate
MERGE_GPM,2000,6,123.25
MERGE_GPM,2000,7,159.47
MERGE_GPM,2000,8,29.31
MERGE_GPM,2000,9,81.93
MERGE_GPM,2000,10,63.13
MERGE_GPM,2000,11,105.49
MERGE_GPM,2000,12,126.23
MERGE_GPM,2001,1,335.37
MERGE_GPM,2001,2,250.4
MERGE_GPM,2001,3,313.15
MERGE_GPM,2001,4,287.73
MERGE_GPM,2001,5,181.28
MERGE_GPM,2001,6,189.92
MERGE_GPM,2001,7,62.54
MERGE_GPM,2001,8,9.78
MERGE_GPM,2001,9,50.73
MERGE_GPM,2001,10,28.06
MERGE_GPM,2001,11,35.89
MERGE_GPM,2001,12,114.74
MERGE_GPM,2002,1,249.18
MERGE_GPM,2002,2,217.99
MERGE_GPM,2002,3,257.65
MERGE_GPM,2002,4,337.27
MERGE_GPM,2002,5,215.29
MERGE_GPM,2002,6,163.92
MERGE_GPM,2002,7,35.21
MERGE_GPM,2002,8,22.28
MERGE_GPM,2002,9,14.13
MERGE_GPM,2002,10,44.29
MERGE_GPM,2002,11,78.15
MERGE_GPM,2002,12,125.87
MERGE_GPM,2003,1,108.97
MERGE_GPM,2003,2,311.44
MERGE_GPM,2003,3,310.57
MERGE_GPM,2003,4,213.87
MERGE_GPM,2003,5,114.06
MERGE_GPM,2003,6,168.72
MERGE_GPM,2003,7,53.45
MERGE_GPM,2003,8,58.4
MERGE_GPM,2003,9,50.23
MERGE_GPM,2003,10,66.79
MERGE_GPM,2003,11,99.83
MERGE_GPM,2003,12,56.85
MERGE_GPM,2004,1,199.65
MERGE_GPM,2004,2,346.05
MERGE_GPM,2004,3,205.47
MERGE_GPM,2004,4,204.57
MERGE_GPM,2004,5,128.01
MERGE_GPM,2004,6,104.29
MERGE_GPM,2004,7,69.9
MERGE_GPM,2004,8,69.26
MERGE_GPM,2004,9,88.14
MERGE_GPM,2004,10,55.93
MERGE_GPM,2004,11,53.86
MERGE_GPM,2004,12,121.96
MERGE_GPM,2005,1,190.51
MERGE_GPM,2005,2,274.88
MERGE_GPM,2005,3,380.58
MERGE_GPM,2005,4,276.15
MERGE_GPM,2005,5,210.96
MERGE_GPM,2005,6,61.17
MERGE_GPM,2005,7,72.62
MERGE_GPM,2005,8,21.14
MERGE_GPM,2005,9,24.31
MERGE_GPM,2005,10,25.54
MERGE_GPM,2005,11,47.47
MERGE_GPM,2005,12,310.35
MERGE_GPM,2006,1,273.06
MERGE_GPM,2006,2,291.14
MERGE_GPM,2006,3,393.42
MERGE_GPM,2006,4,398.68
MERGE_GPM,2006,5,263.1
MERGE_GPM,2006,6,65.39
MERGE_GPM,2006,7,46.53
MERGE_GPM,2006,8,22.69
MERGE_GPM,2006,9,69.8
MERGE_GPM,2006,10,43.31
MERGE_GPM,2006,11,157.29
MERGE_GPM,2006,12,90.79
MERGE_GPM,2007,1,100.31
MERGE_GPM,2007,2,345.9
MERGE_GPM,2007,3,393.96
MERGE_GPM,2007,4,266.55
MERGE_GPM,2007,5,184.62
MERGE_GPM,2007,6,113.29
MERGE_GPM,2007,7,65.78
MERGE_GPM,2007,8,49.79
MERGE_GPM,2007,9,21.09
MERGE_GPM,2007,10,86.67
MERGE_GPM,2007,11,70.78
MERGE_GPM,2007,12,162.84
MERGE_GPM,2008,1,214.5
MERGE_GPM,2008,2,210.6
MERGE_GPM,2008,3,423.63
MERGE_GPM,2008,4,356.71
MERGE_GPM,2008,5,233.03
MERGE_GPM,2008,6,93.79
MERGE_GPM,2008,7,29.35
MERGE_GPM,2008,8,46.89
MERGE_GPM,2008,9,66.58
MERGE_GPM,2008,10,88.51
MERGE_GPM,2008,11,57.96
MERGE_GPM,2008,12,234.9
MERGE_GPM,2009,1,304.38
