TIPO,year,month,accumulate
MERGE_GPM,2000,6,20.23
MERGE_GPM,2000,7,36.13
MERGE_GPM,2000,8,39.88
MERGE_GPM,2000,9,142.19
MERGE_GPM,2000,10,130.27
MERGE_GPM,2000,11,239.65
MERGE_GPM,2000,12,286.52
MERGE_GPM,2001,1,295
MERGE_GPM,2001,2,197.22
MERGE_GPM,2001,3,300.6
MERGE_GPM,2001,4,164.5
MERGE_GPM,2001,5,95.27
MERGE_GPM,2001,6,39.84
MERGE_GPM,2001,7,10.63
MERGE_GPM,2001,8,3.15
MERGE_GPM,2001,9,57.58
MERGE_GPM,2001,10,133.59
MERGE_GPM,2001,11,162.1
MERGE_GPM,2001,12,190.5
MERGE_GPM,2002,1,194.78
MERGE_GPM,2002,2,216.41
MERGE_GPM,2002,3,198.38
MERGE_GPM,2002,4,112.99
MERGE_GPM,2002,5,72.75
MERGE_GPM,2002,6,30.34
MERGE_GPM,2002,7,14.97
MERGE_GPM,2002,8,8.26
MERGE_GPM,2002,9,88.51
MERGE_GPM,2002,10,124.94
MERGE_GPM,2002,11,144.41
MERGE_GPM,2002,12,250.91
MERGE_GPM,2003,1,294.25
MERGE_GPM,2003,2,288.16
MERGE_GPM,2003,3,336.03
MERGE_GPM,2003,4,162.67
MERGE_GPM,2003,5,54.16
MERGE_GPM,2003,6,33.56
MERGE_GPM,2003,7,6.23
MERGE_GPM,2003,8,42.66
MERGE_GPM,2003,9,73.28
MERGE_GPM,2003,10,151.96
MERGE_GPM,2003,11,183.83
MERGE_GPM,2003,12,168.24
MERGE_GPM,2004,1,347.7
MERGE_GPM,2004,2,369.82
MERGE_GPM,2004,3,270.62
MERGE_GPM,2004,4,160.44
MERGE_GPM,2004,5,65.53
MERGE_GPM,2004,6,21.12
MERGE_GPM,2004,7,32.52
MERGE_GPM,2004,8,26.77
MERGE_GPM,2004,9,83.83
MERGE_GPM,2004,10,211.57
MERGE_GPM,2004,11,158.66
MERGE_GPM,2004,12,128.48
MERGE_GPM,2005,1,173.62
MERGE_GPM,2005,2,171.76
MERGE_GPM,2005,3,246
MERGE_GPM,2005,4,99.22
MERGE_GPM,2005,5,65.96
MERGE_GPM,2005,6,36.62
MERGE_GPM,2005,7,10.27
MERGE_GPM,2005,8,10.44
MERGE_GPM,2005,9,88
MERGE_GPM,2005,10,101.38
MERGE_GPM,2005,11,184.07
MERGE_GPM,2005,12,328.24
MERGE_GPM,2006,1,207.76
MERGE_GPM,2006,2,253.56
MERGE_GPM,2006,3,251.39
MERGE_GPM,2006,4,225.43
MERGE_GPM,2006,5,117.36
MERGE_GPM,2006,6,9.59
MERGE_GPM,2006,7,9.06
MERGE_GPM,2006,8,12.92
MERGE_GPM,2006,9,93.5
MERGE_GPM,2006,10,161.89
MERGE_GPM,2006,11,169.55
MERGE_GPM,2006,12,217.15
MERGE_GPM,2007,1,186.24
MERGE_GPM,2007,2,314.75
MERGE_GPM,2007,3,190.2
MERGE_GPM,2007,4,135.81
MERGE_GPM,2007,5,56.12
MERGE_GPM,2007,6,19.88
MERGE_GPM,2007,7,42.07
MERGE_GPM,2007,8,19.94
MERGE_GPM,2007,9,33.33
MERGE_GPM,2007,10,99.44
