TIPO,year,month,accumulate
MERGE_GPM,2000,6,43.82
MERGE_GPM,2000,7,58.55
MERGE_GPM,2000,8,40.52
MERGE_GPM,2000,9,52.12
MERGE_GPM,2000,10,126.61
MERGE_GPM,2000,11,162.35
MERGE_GPM,2000,12,186.1
MERGE_GPM,2001,1,267.36
MERGE_GPM,2001,2,221.7
MERGE_GPM,2001,3,211.53
MERGE_GPM,2001,4,104.6
MERGE_GPM,2001,5,79.26
MERGE_GPM,2001,6,34.3
MERGE_GPM,2001,7,41.41
MERGE_GPM,2001,8,25.08
MERGE_GPM,2001,9,80.1
MERGE_GPM,2001,10,109.55
MERGE_GPM,2001,11,180.2
MERGE_GPM,2001,12,193.32
MERGE_GPM,2002,1,167.26
MERGE_GPM,2002,2,262.75
MERGE_GPM,2002,3,158.78
MERGE_GPM,2002,4,114.54
MERGE_GPM,2002,5,66.01
MERGE_GPM,2002,6,27.07
MERGE_GPM,2002,7,35.51
MERGE_GPM,2002,8,59.48
MERGE_GPM,2002,9,56.52
MERGE_GPM,2002,10,94.9
MERGE_GPM,2002,11,106.11
MERGE_GPM,2002,12,205.02
MERGE_GPM,2003,1,222.99
MERGE_GPM,2003,2,192.44
MERGE_GPM,2003,3,237.27
MERGE_GPM,2003,4,143.87
MERGE_GPM,2003,5,53.35
MERGE_GPM,2003,6,47.36
MERGE_GPM,2003,7,8.48
MERGE_GPM,2003,8,57.63
MERGE_GPM,2003,9,85.28
MERGE_GPM,2003,10,122.22
MERGE_GPM,2003,11,109.63
MERGE_GPM,2003,12,228.21
MERGE_GPM,2004,1,284.38
MERGE_GPM,2004,2,223.06
MERGE_GPM,2004,3,157.22
MERGE_GPM,2004,4,115.62
MERGE_GPM,2004,5,59.92
MERGE_GPM,2004,6,37.09
MERGE_GPM,2004,7,54.91
MERGE_GPM,2004,8,22.09
MERGE_GPM,2004,9,37.65
MERGE_GPM,2004,10,118.02
MERGE_GPM,2004,11,192.59
MERGE_GPM,2004,12,234.96
MERGE_GPM,2005,1,217.52
MERGE_GPM,2005,2,209.3
MERGE_GPM,2005,3,149.57
MERGE_GPM,2005,4,106.7
