,year_month,accumulate_riodoce,accumulate_baguari,accumulate_piracicaba,accumulate_antonio,Doce_total
0,200006,8.42,4.55,1.07,1.31,15.35
1,200007,9.06,7.42,6.74,11.47,34.69
2,200008,22.32,32.6,28.3,25.61,108.83
3,200009,41.97,73.08,74.15,55.69,244.89
4,200010,24.83,61.31,51.07,45.82,183.03
5,200011,237.34,244.86,323.76,310.81,1116.77
6,200012,250.04,235.93,262.46,253.56,1001.99
7,200101,79.3,155.91,143.21,147.83,526.25
8,200102,28.3,45.82,32.37,34.02,140.51000000000002
9,200103,73.21,113.44,131.07,123.87,441.59
10,200104,28.51,26.55,24.19,36.1,115.35
11,200105,37.71,48.02,35.16,41.05,161.94
12,200106,13.12,4.17,4.02,7.22,28.529999999999998
13,200107,4.61,4.91,3.39,4.22,17.13
14,200108,14.73,10.63,11.33,22.39,59.08
15,200109,49.57,54.02,41.19,30.86,175.64
16,200110,83.45,100.37,110.49,88.29,382.6
17,200111,329.97,302.65,291.18,241.28,1165.08
18,200112,214.81,248.64,266.64,261.96,992.05
19,200201,209.7,280.6,336.65,264.54,1091.49
20,200202,171.14,246.91,158.14,223.21,799.4
21,200203,68.56,75.19,49.68,58.47,251.9
22,200204,23.13,23.04,24.33,36.0,106.5
23,200205,58.11,40.47,31.79,20.13,150.5
24,200206,6.01,0.71,0.0,0.08,6.8
25,200207,8.1,4.27,8.71,6.65,27.729999999999997
26,200208,19.46,9.2,4.41,2.32,35.39
27,200209,135.27,116.39,108.17,101.4,461.23
28,200210,27.29,48.18,30.16,30.21,135.84
29,200211,220.03,236.08,241.99,270.31,968.4100000000001
30,200212,257.04,318.33,350.12,266.78,1192.27
31,200301,301.13,410.52,518.48,350.15,1580.2800000000002
32,200302,55.55,42.65,51.49,36.93,186.62
33,200303,67.26,95.68,128.61,113.56,405.11
34,200304,47.92,31.93,19.23,47.53,146.61
35,200305,8.18,17.07,13.2,9.59,48.040000000000006
36,200306,4.29,13.38,5.57,21.72,44.96
37,200307,9.44,13.47,2.01,0.36,25.28
38,200308,23.92,49.06,15.86,16.88,105.72
39,200309,8.3,19.39,20.62,14.58,62.89
40,200310,57.36,45.71,53.96,44.34,201.37
41,200311,75.03,148.56,169.85,119.88,513.3199999999999
42,200312,258.7,203.32,211.75,254.74,928.51
43,200401,284.74,334.54,344.0,319.97,1283.25
44,200402,194.16,298.81,206.58,263.2,962.75
45,200403,185.96,156.76,113.73,150.85,607.3000000000001
46,200404,125.15,161.71,126.09,169.89,582.84
47,200405,21.11,33.7,18.28,13.9,86.99000000000001
48,200406,35.08,27.29,10.59,7.38,80.33999999999999
49,200407,41.03,33.79,15.43,45.35,135.6
50,200408,5.47,0.81,0.04,0.34,6.659999999999999
51,200409,3.68,0.76,0.02,0.02,4.4799999999999995
52,200410,87.49,77.1,42.98,69.34,276.90999999999997
53,200411,85.96,140.85,92.62,80.63,400.06
54,200412,222.35,329.32,241.53,329.65,1122.85
55,200501,171.34,256.78,179.81,224.43,832.3600000000001
56,200502,163.22,141.8,70.63,161.12,536.77
57,200503,113.78,150.94,100.87,260.96,626.55
58,200504,50.14,49.96,39.58,31.14,170.82
59,200505,81.56,50.92,28.7,22.69,183.87
60,200506,70.84,28.61,22.41,14.77,136.63
61,200507,25.42,13.65,6.38,5.29,50.74
62,200508,24.89,18.75,7.11,5.74,56.49
63,200509,60.77,83.3,111.27,61.38,316.71999999999997
64,200510,26.26,37.82,17.38,16.11,97.57
65,200511,283.75,236.91,290.57,330.45,1141.68
66,200512,216.87,263.64,262.77,253.81,997.0899999999999
67,200601,41.45,100.0,59.81,20.7,221.95999999999998
68,200602,38.49,80.12,50.5,76.57,245.68
69,200603,212.54,202.65,262.69,288.01,965.89
70,200604,90.19,63.28,39.44,58.43,251.34
71,200605,19.09,22.9,15.56,13.5,71.05
72,200606,21.87,6.28,4.68,2.33,35.16
73,200607,12.03,1.74,0.21,1.05,15.030000000000001
74,200608,10.08,10.77,11.2,3.86,35.91
75,200609,72.27,76.71,62.92,57.88,269.78
76,200610,103.48,123.52,155.95,122.04,504.99
77,200611,237.99,174.78,174.48,220.63,807.88
78,200612,336.98,257.55,310.35,412.07,1316.95
79,200701,173.1,264.66,190.85,196.17,824.78
80,200702,156.88,124.87,132.81,146.83,561.39
81,200703,45.25,60.81,48.75,54.1,208.91
82,200704,69.78,61.94,75.86,50.89,258.46999999999997
83,200705,9.19,9.12,8.75,7.75,34.81
