TIPO,year,month,accumulate
MERGE_GPM,2000,6,8.42
MERGE_GPM,2000,7,9.06
MERGE_GPM,2000,8,22.32
MERGE_GPM,2000,9,41.97
MERGE_GPM,2000,10,24.83
MERGE_GPM,2000,11,237.34
MERGE_GPM,2000,12,250.04
MERGE_GPM,2001,1,79.3
MERGE_GPM,2001,2,28.3
MERGE_GPM,2001,3,73.21
MERGE_GPM,2001,4,28.51
MERGE_GPM,2001,5,37.71
MERGE_GPM,2001,6,13.12
MERGE_GPM,2001,7,4.61
MERGE_GPM,2001,8,14.73
MERGE_GPM,2001,9,49.57
MERGE_GPM,2001,10,83.45
MERGE_GPM,2001,11,329.97
MERGE_GPM,2001,12,214.81
MERGE_GPM,2002,1,209.7
MERGE_GPM,2002,2,171.14
MERGE_GPM,2002,3,68.56
MERGE_GPM,2002,4,23.13
MERGE_GPM,2002,5,58.11
MERGE_GPM,2002,6,6.01
MERGE_GPM,2002,7,8.1
MERGE_GPM,2002,8,19.46
MERGE_GPM,2002,9,135.27
MERGE_GPM,2002,10,27.29
MERGE_GPM,2002,11,220.03
MERGE_GPM,2002,12,257.04
MERGE_GPM,2003,1,301.13
MERGE_GPM,2003,2,55.55
MERGE_GPM,2003,3,67.26
MERGE_GPM,2003,4,47.92
MERGE_GPM,2003,5,8.18
MERGE_GPM,2003,6,4.29
MERGE_GPM,2003,7,9.44
MERGE_GPM,2003,8,23.92
MERGE_GPM,2003,9,8.3
MERGE_GPM,2003,10,57.36
MERGE_GPM,2003,11,75.03
MERGE_GPM,2003,12,258.7
MERGE_GPM,2004,1,284.74
MERGE_GPM,2004,2,194.16
MERGE_GPM,2004,3,185.96
MERGE_GPM,2004,4,125.15
MERGE_GPM,2004,5,21.11
MERGE_GPM,2004,6,35.08
MERGE_GPM,2004,7,41.03
MERGE_GPM,2004,8,5.47
MERGE_GPM,2004,9,3.68
MERGE_GPM,2004,10,87.49
MERGE_GPM,2004,11,85.96
MERGE_GPM,2004,12,222.35
MERGE_GPM,2005,1,171.34
MERGE_GPM,2005,2,163.22
MERGE_GPM,2005,3,113.78
MERGE_GPM,2005,4,50.14
MERGE_GPM,2005,5,81.56
MERGE_GPM,2005,6,70.84
MERGE_GPM,2005,7,25.42
MERGE_GPM,2005,8,24.89
MERGE_GPM,2005,9,60.77
MERGE_GPM,2005,10,26.26
MERGE_GPM,2005,11,283.75
MERGE_GPM,2005,12,216.87
MERGE_GPM,2006,1,41.45
MERGE_GPM,2006,2,38.49
MERGE_GPM,2006,3,212.54
MERGE_GPM,2006,4,90.19
MERGE_GPM,2006,5,19.09
MERGE_GPM,2006,6,21.87
MERGE_GPM,2006,7,12.03
MERGE_GPM,2006,8,10.08
MERGE_GPM,2006,9,72.27
MERGE_GPM,2006,10,103.48
MERGE_GPM,2006,11,237.99
MERGE_GPM,2006,12,336.98
MERGE_GPM,2007,1,173.1
MERGE_GPM,2007,2,156.88
MERGE_GPM,2007,3,45.25
MERGE_GPM,2007,4,69.78
MERGE_GPM,2007,5,9.19
MERGE_GPM,2007,6,14.99
MERGE_GPM,2007,7,3.33
MERGE_GPM,2007,8,7.72
MERGE_GPM,2007,9,18.71
MERGE_GPM,2007,10,19.89
MERGE_GPM,2007,11,95.28
MERGE_GPM,2007,12,112.69
MERGE_GPM,2008,1,130.6
MERGE_GPM,2008,2,148.19
MERGE_GPM,2008,3,107.97
