TIPO,year,month,accumulate
MERGE_GPM,2000,6,4.55
MERGE_GPM,2000,7,7.42
MERGE_GPM,2000,8,32.6
MERGE_GPM,2000,9,73.08
MERGE_GPM,2000,10,61.31
MERGE_GPM,2000,11,244.86
MERGE_GPM,2000,12,235.93
MERGE_GPM,2001,1,155.91
MERGE_GPM,2001,2,45.82
MERGE_GPM,2001,3,113.44
MERGE_GPM,2001,4,26.55
MERGE_GPM,2001,5,48.02
MERGE_GPM,2001,6,4.17
MERGE_GPM,2001,7,4.91
MERGE_GPM,2001,8,10.63
MERGE_GPM,2001,9,54.02
MERGE_GPM,2001,10,100.37
MERGE_GPM,2001,11,302.65
MERGE_GPM,2001,12,248.64
MERGE_GPM,2002,1,280.6
MERGE_GPM,2002,2,246.91
MERGE_GPM,2002,3,75.19
MERGE_GPM,2002,4,23.04
MERGE_GPM,2002,5,40.47
MERGE_GPM,2002,6,0.71
MERGE_GPM,2002,7,4.27
MERGE_GPM,2002,8,9.2
MERGE_GPM,2002,9,116.39
MERGE_GPM,2002,10,48.18
MERGE_GPM,2002,11,236.08
MERGE_GPM,2002,12,318.33
MERGE_GPM,2003,1,410.52
MERGE_GPM,2003,2,42.65
MERGE_GPM,2003,3,95.68
MERGE_GPM,2003,4,31.93
MERGE_GPM,2003,5,17.07
MERGE_GPM,2003,6,13.38
MERGE_GPM,2003,7,13.47
MERGE_GPM,2003,8,49.06
MERGE_GPM,2003,9,19.39
MERGE_GPM,2003,10,45.71
MERGE_GPM,2003,11,148.56
MERGE_GPM,2003,12,203.32
MERGE_GPM,2004,1,334.54
MERGE_GPM,2004,2,298.81
MERGE_GPM,2004,3,156.76
MERGE_GPM,2004,4,161.71
MERGE_GPM,2004,5,33.7
MERGE_GPM,2004,6,27.29
MERGE_GPM,2004,7,33.79
MERGE_GPM,2004,8,0.81
MERGE_GPM,2004,9,0.76
MERGE_GPM,2004,10,77.1
MERGE_GPM,2004,11,140.85
MERGE_GPM,2004,12,329.32
MERGE_GPM,2005,1,256.78
MERGE_GPM,2005,2,141.8
