TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.07
MERGE_GPM,2000,7,6.74
MERGE_GPM,2000,8,28.3
MERGE_GPM,2000,9,74.15
MERGE_GPM,2000,10,51.07
MERGE_GPM,2000,11,323.76
MERGE_GPM,2000,12,262.46
MERGE_GPM,2001,1,143.21
MERGE_GPM,2001,2,32.37
MERGE_GPM,2001,3,131.07
MERGE_GPM,2001,4,24.19
MERGE_GPM,2001,5,35.16
MERGE_GPM,2001,6,4.02
MERGE_GPM,2001,7,3.39
MERGE_GPM,2001,8,11.33
MERGE_GPM,2001,9,41.19
MERGE_GPM,2001,10,110.49
MERGE_GPM,2001,11,291.18
MERGE_GPM,2001,12,266.64
MERGE_GPM,2002,1,336.65
MERGE_GPM,2002,2,158.14
MERGE_GPM,2002,3,49.68
MERGE_GPM,2002,4,24.33
MERGE_GPM,2002,5,31.79
MERGE_GPM,2002,6,0
MERGE_GPM,2002,7,8.71
MERGE_GPM,2002,8,4.41
MERGE_GPM,2002,9,108.17
MERGE_GPM,2002,10,30.16
MERGE_GPM,2002,11,241.99
MERGE_GPM,2002,12,350.12
MERGE_GPM,2003,1,518.48
MERGE_GPM,2003,2,51.49
MERGE_GPM,2003,3,128.61
MERGE_GPM,2003,4,19.23
MERGE_GPM,2003,5,13.2
MERGE_GPM,2003,6,5.57
MERGE_GPM,2003,7,2.01
MERGE_GPM,2003,8,15.86
MERGE_GPM,2003,9,20.62
MERGE_GPM,2003,10,53.96
MERGE_GPM,2003,11,169.85
MERGE_GPM,2003,12,211.75
MERGE_GPM,2004,1,344
MERGE_GPM,2004,2,206.58
MERGE_GPM,2004,3,113.73
MERGE_GPM,2004,4,126.09
MERGE_GPM,2004,5,18.28
MERGE_GPM,2004,6,10.59
MERGE_GPM,2004,7,15.43
MERGE_GPM,2004,8,0.04
MERGE_GPM,2004,9,0.02
MERGE_GPM,2004,10,42.98
MERGE_GPM,2004,11,92.62
MERGE_GPM,2004,12,241.53
MERGE_GPM,2005,1,179.81
MERGE_GPM,2005,2,70.63
MERGE_GPM,2005,3,100.87
MERGE_GPM,2005,4,39.58
MERGE_GPM,2005,5,28.7
MERGE_GPM,2005,6,22.41
MERGE_GPM,2005,7,6.38
MERGE_GPM,2005,8,7.11
MERGE_GPM,2005,9,111.27
MERGE_GPM,2005,10,17.38
MERGE_GPM,2005,11,290.57
MERGE_GPM,2005,12,262.77
MERGE_GPM,2006,1,59.81
MERGE_GPM,2006,2,50.5
MERGE_GPM,2006,3,262.69
MERGE_GPM,2006,4,39.44
MERGE_GPM,2006,5,15.56
MERGE_GPM,2006,6,4.68
MERGE_GPM,2006,7,0.21
MERGE_GPM,2006,8,11.2
MERGE_GPM,2006,9,62.92
MERGE_GPM,2006,10,155.95
MERGE_GPM,2006,11,174.48
MERGE_GPM,2006,12,310.35
MERGE_GPM,2007,1,190.85
MERGE_GPM,2007,2,132.81
MERGE_GPM,2007,3,48.75
MERGE_GPM,2007,4,75.86
MERGE_GPM,2007,5,8.75
MERGE_GPM,2007,6,6.68
MERGE_GPM,2007,7,6.67
MERGE_GPM,2007,8,9.25
MERGE_GPM,2007,9,5.88
MERGE_GPM,2007,10,76.91
MERGE_GPM,2007,11,89.83
MERGE_GPM,2007,12,150.95
MERGE_GPM,2008,1,176.69
MERGE_GPM,2008,2,168.18
MERGE_GPM,2008,3,233.61
MERGE_GPM,2008,4,91.8
MERGE_GPM,2008,5,3.76
MERGE_GPM,2008,6,1.18
MERGE_GPM,2008,7,0.96
MERGE_GPM,2008,8,7.73
MERGE_GPM,2008,9,68.58
MERGE_GPM,2008,10,56.4
MERGE_GPM,2008,11,151.85
MERGE_GPM,2008,12,428.84
MERGE_GPM,2009,1,375.98
MERGE_GPM,2009,2,77.86
MERGE_GPM,2009,3,155.43
MERGE_GPM,2009,4,142.39
MERGE_GPM,2009,5,7.64
MERGE_GPM,2009,6,28.08
MERGE_GPM,2009,7,3.75
MERGE_GPM,2009,8,12.3
MERGE_GPM,2009,9,95.09
MERGE_GPM,2009,10,228.05
MERGE_GPM,2009,11,110.83
MERGE_GPM,2009,12,304.04
MERGE_GPM,2010,1,84.16
MERGE_GPM,2010,2,32.39
MERGE_GPM,2010,3,195.73
MERGE_GPM,2010,4,98.72
MERGE_GPM,2010,5,50.61
