TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.31
MERGE_GPM,2000,7,11.47
MERGE_GPM,2000,8,25.61
MERGE_GPM,2000,9,55.69
MERGE_GPM,2000,10,45.82
MERGE_GPM,2000,11,310.81
MERGE_GPM,2000,12,253.56
MERGE_GPM,2001,1,147.83
MERGE_GPM,2001,2,34.02
MERGE_GPM,2001,3,123.87
MERGE_GPM,2001,4,36.1
MERGE_GPM,2001,5,41.05
MERGE_GPM,2001,6,7.22
MERGE_GPM,2001,7,4.22
MERGE_GPM,2001,8,22.39
MERGE_GPM,2001,9,30.86
MERGE_GPM,2001,10,88.29
MERGE_GPM,2001,11,241.28
MERGE_GPM,2001,12,261.96
MERGE_GPM,2002,1,264.54
MERGE_GPM,2002,2,223.21
MERGE_GPM,2002,3,58.47
MERGE_GPM,2002,4,36
MERGE_GPM,2002,5,20.13
MERGE_GPM,2002,6,0.08
MERGE_GPM,2002,7,6.65
MERGE_GPM,2002,8,2.32
MERGE_GPM,2002,9,101.4
MERGE_GPM,2002,10,30.21
MERGE_GPM,2002,11,270.31
MERGE_GPM,2002,12,266.78
MERGE_GPM,2003,1,350.15
MERGE_GPM,2003,2,36.93
MERGE_GPM,2003,3,113.56
MERGE_GPM,2003,4,47.53
MERGE_GPM,2003,5,9.59
MERGE_GPM,2003,6,21.72
MERGE_GPM,2003,7,0.36
MERGE_GPM,2003,8,16.88
MERGE_GPM,2003,9,14.58
MERGE_GPM,2003,10,44.34
MERGE_GPM,2003,11,119.88
MERGE_GPM,2003,12,254.74
MERGE_GPM,2004,1,319.97
MERGE_GPM,2004,2,263.2
MERGE_GPM,2004,3,150.85
MERGE_GPM,2004,4,169.89
MERGE_GPM,2004,5,13.9
MERGE_GPM,2004,6,7.38
MERGE_GPM,2004,7,45.35
MERGE_GPM,2004,8,0.34
MERGE_GPM,2004,9,0.02
MERGE_GPM,2004,10,69.34
MERGE_GPM,2004,11,80.63
MERGE_GPM,2004,12,329.65
MERGE_GPM,2005,1,224.43
