,year_month,accumulate_riogrande,accumulate_vermelha,accumulate_furnas,accumulate_marimbondo,Grande_total
0,200006,4.38,2.0,1.29,2.45,10.120000000000001
1,200007,34.84,25.38,27.65,33.8,121.67
2,200008,56.87,58.55,31.37,38.27,185.06
3,200009,148.41,155.4,112.16,114.11,530.08
4,200010,35.88,18.68,57.99,44.25,156.8
5,200011,158.08,206.17,219.02,201.46,784.73
6,200012,220.48,197.87,228.24,232.78,879.37
7,200101,171.36,144.97,145.93,161.73,623.99
8,200102,121.07,91.54,114.72,128.59,455.9200000000001
9,200103,137.11,161.22,155.73,142.14,596.2
10,200104,28.83,40.41,17.65,53.17,140.06
11,200105,119.01,79.82,56.17,72.54,327.54
12,200106,12.32,10.51,3.93,19.28,46.04
13,200107,9.49,6.04,5.28,10.68,31.490000000000002
14,200108,36.95,26.85,34.45,43.41,141.66
15,200109,58.15,56.44,67.87,69.3,251.76
16,200110,93.15,143.65,123.45,156.52,516.77
17,200111,273.91,213.88,208.34,177.11,873.24
18,200112,376.91,274.95,296.66,251.71,1200.23
19,200201,219.41,232.26,195.09,288.81,935.5699999999999
20,200202,380.09,321.63,272.95,291.75,1266.42
21,200203,128.09,137.64,121.27,147.73,534.73
22,200204,13.8,12.27,19.25,49.02,94.34
23,200205,68.94,47.73,44.62,74.55,235.83999999999997
24,200206,5.34,1.42,0.23,16.95,23.939999999999998
25,200207,41.63,14.2,16.41,18.33,90.57
26,200208,20.69,19.18,20.92,33.87,94.66
27,200209,89.63,80.08,63.1,62.38,295.19
28,200210,32.32,34.81,72.18,61.04,200.35
29,200211,183.9,174.95,185.84,189.73,734.4200000000001
30,200212,131.05,148.93,222.19,192.68,694.85
31,200301,551.69,461.06,417.6,406.84,1837.1899999999998
32,200302,122.3,142.37,88.24,138.78,491.69000000000005
33,200303,270.2,203.23,173.93,191.28,838.6399999999999
34,200304,119.38,146.49,61.01,122.19,449.07
35,200305,43.02,50.33,45.76,61.85,200.95999999999998
36,200306,10.45,14.05,5.16,9.79,39.45
37,200307,1.43,5.33,16.31,8.95,32.019999999999996
38,200308,29.81,16.99,17.46,18.79,83.04999999999998
39,200309,27.9,14.58,28.58,28.15,99.21000000000001
40,200310,65.91,77.71,85.38,80.11,309.11
41,200311,121.67,131.73,145.47,159.64,558.51
42,200312,189.32,172.48,214.52,203.25,779.5699999999999
43,200401,271.87,282.64,210.83,288.33,1053.67
44,200402,139.15,228.45,330.58,322.5,1020.6800000000001
45,200403,102.68,69.31,118.27,107.15,397.40999999999997
46,200404,71.33,112.83,115.14,136.1,435.4
47,200405,82.34,79.16,83.64,100.67,345.81
48,200406,46.34,35.69,51.72,38.66,172.41
49,200407,46.6,38.29,37.79,50.83,173.51
50,200408,3.34,3.12,3.03,0.25,9.74
51,200409,3.12,1.35,25.33,9.36,39.16
52,200410,153.24,141.53,140.62,183.97,619.36
53,200411,214.38,123.94,184.32,156.31,678.95
