,year_month,accumulate_riogrande,accumulate_pardo,accumulate_vermelha,accumulate_caconde,accumulate_furnas,accumulate_marimbondo,accumulate_mascarenha,accumulate_camargos,Grande_total
0,200006,4.38,1.86,2.0,1.37,1.29,2.45,0.13,1.05,14.53
1,200007,34.84,41.56,25.38,40.68,27.65,33.8,19.86,28.11,251.88000000000005
2,200008,56.87,48.6,58.55,58.67,31.37,38.27,17.05,26.67,336.05
3,200009,148.41,110.11,155.4,166.21,112.16,114.11,111.95,116.58,1034.93
4,200010,35.88,51.46,18.68,56.5,57.99,44.25,50.69,82.67,398.12
5,200011,158.08,193.73,206.17,199.22,219.02,201.46,165.34,217.16,1560.18
6,200012,220.48,237.83,197.87,288.5,228.24,232.78,217.92,265.78,1889.4
7,200101,171.36,175.61,144.97,141.08,145.93,161.73,154.43,148.32,1243.43
8,200102,121.07,123.77,91.54,154.6,114.72,128.59,96.07,124.91,955.2700000000001
9,200103,137.11,131.96,161.22,167.66,155.73,142.14,138.51,179.95,1214.28
10,200104,28.83,44.85,40.41,50.28,17.65,53.17,42.49,18.52,296.2
11,200105,119.01,99.83,79.82,71.65,56.17,72.54,45.57,53.23,597.82
12,200106,12.32,14.28,10.51,9.57,3.93,19.28,3.85,0.6,74.33999999999999
13,200107,9.49,7.01,6.04,5.84,5.28,10.68,14.07,5.04,63.449999999999996
14,200108,36.95,37.71,26.85,40.76,34.45,43.41,38.35,24.79,283.27
15,200109,58.15,71.92,56.44,104.67,67.87,69.3,80.77,40.06,549.1800000000001
16,200110,93.15,148.63,143.65,145.19,123.45,156.52,135.62,93.61,1039.82
17,200111,273.91,226.37,213.88,208.49,208.34,177.11,222.81,150.21,1681.12
18,200112,376.91,241.04,274.95,236.94,296.66,251.71,307.3,262.17,2247.6800000000003
19,200201,219.41,329.54,232.26,217.57,195.09,288.81,253.77,236.25,1972.6999999999998
20,200202,380.09,309.17,321.63,260.56,272.95,291.75,351.1,151.1,2338.35
21,200203,128.09,122.67,137.64,134.83,121.27,147.73,101.51,101.26,995.0
22,200204,13.8,15.61,12.27,31.21,19.25,49.02,10.22,13.75,165.13
23,200205,68.94,66.85,47.73,54.68,44.62,74.55,38.47,51.66,447.5
24,200206,5.34,5.6,1.42,0.0,0.23,16.95,0.31,0.39,30.24
25,200207,41.63,16.59,14.2,12.23,16.41,18.33,37.13,13.35,169.87
26,200208,20.69,26.52,19.18,30.9,20.92,33.87,7.5,18.68,178.26
