TIPO,year,month,accumulate
MERGE_GPM,2000,6,4.38
MERGE_GPM,2000,7,34.84
MERGE_GPM,2000,8,56.87
MERGE_GPM,2000,9,148.41
MERGE_GPM,2000,10,35.88
MERGE_GPM,2000,11,158.08
MERGE_GPM,2000,12,220.48
MERGE_GPM,2001,1,171.36
MERGE_GPM,2001,2,121.07
MERGE_GPM,2001,3,137.11
MERGE_GPM,2001,4,28.83
MERGE_GPM,2001,5,119.01
MERGE_GPM,2001,6,12.32
MERGE_GPM,2001,7,9.49
MERGE_GPM,2001,8,36.95
MERGE_GPM,2001,9,58.15
MERGE_GPM,2001,10,93.15
MERGE_GPM,2001,11,273.91
MERGE_GPM,2001,12,376.91
MERGE_GPM,2002,1,219.41
MERGE_GPM,2002,2,380.09
MERGE_GPM,2002,3,128.09
MERGE_GPM,2002,4,13.8
MERGE_GPM,2002,5,68.94
MERGE_GPM,2002,6,5.34
MERGE_GPM,2002,7,41.63
MERGE_GPM,2002,8,20.69
MERGE_GPM,2002,9,89.63
MERGE_GPM,2002,10,32.32
MERGE_GPM,2002,11,183.9
MERGE_GPM,2002,12,131.05
MERGE_GPM,2003,1,551.69
MERGE_GPM,2003,2,122.3
MERGE_GPM,2003,3,270.2
MERGE_GPM,2003,4,119.38
MERGE_GPM,2003,5,43.02
MERGE_GPM,2003,6,10.45
MERGE_GPM,2003,7,1.43
MERGE_GPM,2003,8,29.81
MERGE_GPM,2003,9,27.9
MERGE_GPM,2003,10,65.91
MERGE_GPM,2003,11,121.67
MERGE_GPM,2003,12,189.32
MERGE_GPM,2004,1,271.87
MERGE_GPM,2004,2,139.15
MERGE_GPM,2004,3,102.68
MERGE_GPM,2004,4,71.33
MERGE_GPM,2004,5,82.34
MERGE_GPM,2004,6,46.34
MERGE_GPM,2004,7,46.6
MERGE_GPM,2004,8,3.34
MERGE_GPM,2004,9,3.12
MERGE_GPM,2004,10,153.24
MERGE_GPM,2004,11,214.38
MERGE_GPM,2004,12,361.31
MERGE_GPM,2005,1,567.85
MERGE_GPM,2005,2,45.8
MERGE_GPM,2005,3,151.17
MERGE_GPM,2005,4,10.1
MERGE_GPM,2005,5,106.47
MERGE_GPM,2005,6,17.65
MERGE_GPM,2005,7,50.43
MERGE_GPM,2005,8,5.84
MERGE_GPM,2005,9,88.28
MERGE_GPM,2005,10,108.88
MERGE_GPM,2005,11,168.39
MERGE_GPM,2005,12,301.71
MERGE_GPM,2006,1,293.44
MERGE_GPM,2006,2,413
MERGE_GPM,2006,3,171.28
MERGE_GPM,2006,4,105.97
MERGE_GPM,2006,5,43.06
MERGE_GPM,2006,6,5.76
MERGE_GPM,2006,7,1.59
MERGE_GPM,2006,8,19.77
MERGE_GPM,2006,9,41.32
MERGE_GPM,2006,10,120.55
MERGE_GPM,2006,11,120.67
MERGE_GPM,2006,12,296.39
MERGE_GPM,2007,1,551.53
MERGE_GPM,2007,2,145.53
MERGE_GPM,2007,3,194.49
MERGE_GPM,2007,4,38.3
MERGE_GPM,2007,5,86.47
MERGE_GPM,2007,6,2.02
MERGE_GPM,2007,7,39.15
MERGE_GPM,2007,8,0.12
MERGE_GPM,2007,9,4.39
MERGE_GPM,2007,10,51.68
MERGE_GPM,2007,11,88.7
MERGE_GPM,2007,12,165.85
MERGE_GPM,2008,1,413.13
MERGE_GPM,2008,2,235.93
MERGE_GPM,2008,3,136.04
MERGE_GPM,2008,4,92.73
MERGE_GPM,2008,5,33.68
MERGE_GPM,2008,6,1.22
MERGE_GPM,2008,7,0
MERGE_GPM,2008,8,12.49
MERGE_GPM,2008,9,7.15
MERGE_GPM,2008,10,78.53
MERGE_GPM,2008,11,99.13
MERGE_GPM,2008,12,146.99
MERGE_GPM,2009,1,390.83
MERGE_GPM,2009,2,223.4
MERGE_GPM,2009,3,227.45
MERGE_GPM,2009,4,21.02
MERGE_GPM,2009,5,45.28
MERGE_GPM,2009,6,34.76
MERGE_GPM,2009,7,15.46
MERGE_GPM,2009,8,22.56
MERGE_GPM,2009,9,217.84
MERGE_GPM,2009,10,74.78
MERGE_GPM,2009,11,142.53
MERGE_GPM,2009,12,339.79
MERGE_GPM,2010,1,258.37
MERGE_GPM,2010,2,141.32
MERGE_GPM,2010,3,235.27
MERGE_GPM,2010,4,49.22
MERGE_GPM,2010,5,17.24
MERGE_GPM,2010,6,5.76
MERGE_GPM,2010,7,1.28
MERGE_GPM,2010,8,0.83
MERGE_GPM,2010,9,62.31
MERGE_GPM,2010,10,94.77
MERGE_GPM,2010,11,115.84
MERGE_GPM,2010,12,115.58
MERGE_GPM,2011,1,326.08
MERGE_GPM,2011,2,299.42
MERGE_GPM,2011,3,508.52
MERGE_GPM,2011,4,62.4
MERGE_GPM,2011,5,16.77
MERGE_GPM,2011,6,39.53
MERGE_GPM,2011,7,0.37
MERGE_GPM,2011,8,16.23
MERGE_GPM,2011,9,9.51
MERGE_GPM,2011,10,122.88
MERGE_GPM,2011,11,139.81
MERGE_GPM,2011,12,141.73
MERGE_GPM,2012,1,351.36
MERGE_GPM,2012,2,61.08
MERGE_GPM,2012,3,83.76
MERGE_GPM,2012,4,84.09
MERGE_GPM,2012,5,54.96
MERGE_GPM,2012,6,129.06
MERGE_GPM,2012,7,5.52
MERGE_GPM,2012,8,0.02
MERGE_GPM,2012,9,87.36
MERGE_GPM,2012,10,56.98
MERGE_GPM,2012,11,170.36
MERGE_GPM,2012,12,225.7
MERGE_GPM,2013,1,194.04
MERGE_GPM,2013,2,157.58
MERGE_GPM,2013,3,206.91
MERGE_GPM,2013,4,56.26
MERGE_GPM,2013,5,23.16
MERGE_GPM,2013,6,114.09
MERGE_GPM,2013,7,16.47
MERGE_GPM,2013,8,0.56
MERGE_GPM,2013,9,31.92
MERGE_GPM,2013,10,92.83
MERGE_GPM,2013,11,79.28
MERGE_GPM,2013,12,176.37
MERGE_GPM,2014,1,178.26
MERGE_GPM,2014,2,111.3
MERGE_GPM,2014,3,160.52
MERGE_GPM,2014,4,55.35
MERGE_GPM,2014,5,29.72
MERGE_GPM,2014,6,6.25
MERGE_GPM,2014,7,80.46
MERGE_GPM,2014,8,0.15
MERGE_GPM,2014,9,84
MERGE_GPM,2014,10,44.12
MERGE_GPM,2014,11,179.2
MERGE_GPM,2014,12,167.41
MERGE_GPM,2015,1,179.73
MERGE_GPM,2015,2,307.45
MERGE_GPM,2015,3,188.86
MERGE_GPM,2015,4,43.79
MERGE_GPM,2015,5,128.57
MERGE_GPM,2015,6,22.98
MERGE_GPM,2015,7,65.71
MERGE_GPM,2015,8,13.35
MERGE_GPM,2015,9,97.02
MERGE_GPM,2015,10,74.17
MERGE_GPM,2015,11,239.47
MERGE_GPM,2015,12,161.53
MERGE_GPM,2016,1,307.86
MERGE_GPM,2016,2,97.76
MERGE_GPM,2016,3,103.11
MERGE_GPM,2016,4,50.92
MERGE_GPM,2016,5,85.46
MERGE_GPM,2016,6,42.04
MERGE_GPM,2016,7,1.25
MERGE_GPM,2016,8,24.58
MERGE_GPM,2016,9,27.86
MERGE_GPM,2016,10,83
MERGE_GPM,2016,11,87.82
MERGE_GPM,2016,12,271.01
MERGE_GPM,2017,1,367.09
MERGE_GPM,2017,2,116.87
MERGE_GPM,2017,3,167
MERGE_GPM,2017,4,93.85
MERGE_GPM,2017,5,109.01
MERGE_GPM,2017,6,4.14
MERGE_GPM,2017,7,0
MERGE_GPM,2017,8,23.25
MERGE_GPM,2017,9,0.5
MERGE_GPM,2017,10,121.57
MERGE_GPM,2017,11,225.94
MERGE_GPM,2017,12,283.5
MERGE_GPM,2018,1,220.03
MERGE_GPM,2018,2,157.49
MERGE_GPM,2018,3,95.98
MERGE_GPM,2018,4,56.03
MERGE_GPM,2018,5,11.15
MERGE_GPM,2018,6,0.88
MERGE_GPM,2018,7,0
MERGE_GPM,2018,8,29.75
MERGE_GPM,2018,9,104.31
MERGE_GPM,2018,10,148.82
MERGE_GPM,2018,11,248.99
MERGE_GPM,2018,12,122.78
MERGE_GPM,2019,1,148.17
MERGE_GPM,2019,2,213.52
MERGE_GPM,2019,3,98.95
MERGE_GPM,2019,4,110.51
MERGE_GPM,2019,5,23.08
MERGE_GPM,2019,6,12.31
MERGE_GPM,2019,7,6.77
MERGE_GPM,2019,8,50.38
MERGE_GPM,2019,9,51.72
MERGE_GPM,2019,10,62.54
MERGE_GPM,2019,11,190.79
MERGE_GPM,2019,12,196.16
MERGE_GPM,2020,1,165.84
MERGE_GPM,2020,2,233.99
MERGE_GPM,2020,3,71.16
MERGE_GPM,2020,4,33.66
MERGE_GPM,2020,5,21.2
MERGE_GPM,2020,6,6.93
MERGE_GPM,2020,7,5.57
MERGE_GPM,2020,8,3.37
MERGE_GPM,2020,9,4.84
MERGE_GPM,2020,10,74.29
MERGE_GPM,2020,11,54.59
MERGE_GPM,2020,12,126.99
