TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.86
MERGE_GPM,2000,7,41.56
MERGE_GPM,2000,8,48.6
MERGE_GPM,2000,9,110.11
MERGE_GPM,2000,10,51.46
MERGE_GPM,2000,11,193.73
MERGE_GPM,2000,12,237.83
MERGE_GPM,2001,1,175.61
MERGE_GPM,2001,2,123.77
MERGE_GPM,2001,3,131.96
MERGE_GPM,2001,4,44.85
MERGE_GPM,2001,5,99.83
MERGE_GPM,2001,6,14.28
MERGE_GPM,2001,7,7.01
MERGE_GPM,2001,8,37.71
MERGE_GPM,2001,9,71.92
MERGE_GPM,2001,10,148.63
MERGE_GPM,2001,11,226.37
MERGE_GPM,2001,12,241.04
MERGE_GPM,2002,1,329.54
MERGE_GPM,2002,2,309.17
MERGE_GPM,2002,3,122.67
MERGE_GPM,2002,4,15.61
MERGE_GPM,2002,5,66.85
MERGE_GPM,2002,6,5.6
MERGE_GPM,2002,7,16.59
MERGE_GPM,2002,8,26.52
MERGE_GPM,2002,9,74.61
MERGE_GPM,2002,10,74.42
MERGE_GPM,2002,11,188.69
MERGE_GPM,2002,12,234.78
MERGE_GPM,2003,1,431.42
MERGE_GPM,2003,2,144.12
MERGE_GPM,2003,3,108.43
MERGE_GPM,2003,4,110.49
MERGE_GPM,2003,5,59.78
MERGE_GPM,2003,6,8.45
MERGE_GPM,2003,7,14.53
MERGE_GPM,2003,8,21.34
MERGE_GPM,2003,9,23.81
MERGE_GPM,2003,10,66.43
MERGE_GPM,2003,11,175.25
MERGE_GPM,2003,12,208.35
MERGE_GPM,2004,1,263.65
MERGE_GPM,2004,2,372.9
MERGE_GPM,2004,3,84.5
MERGE_GPM,2004,4,134.78
MERGE_GPM,2004,5,113.14
MERGE_GPM,2004,6,53.18
MERGE_GPM,2004,7,43.38
MERGE_GPM,2004,8,0.01
MERGE_GPM,2004,9,12.62
MERGE_GPM,2004,10,185.59
MERGE_GPM,2004,11,134.53
MERGE_GPM,2004,12,315.88
MERGE_GPM,2005,1,365.54
MERGE_GPM,2005,2,63.22
MERGE_GPM,2005,3,171.34
MERGE_GPM,2005,4,37.87
MERGE_GPM,2005,5,121.83
MERGE_GPM,2005,6,26.66
MERGE_GPM,2005,7,34.72
MERGE_GPM,2005,8,2.61
MERGE_GPM,2005,9,79.45
MERGE_GPM,2005,10,93.65
