TIPO,year,month,accumulate
MERGE_GPM,2000,6,2
MERGE_GPM,2000,7,25.38
MERGE_GPM,2000,8,58.55
MERGE_GPM,2000,9,155.4
MERGE_GPM,2000,10,18.68
MERGE_GPM,2000,11,206.17
MERGE_GPM,2000,12,197.87
MERGE_GPM,2001,1,144.97
MERGE_GPM,2001,2,91.54
MERGE_GPM,2001,3,161.22
MERGE_GPM,2001,4,40.41
MERGE_GPM,2001,5,79.82
MERGE_GPM,2001,6,10.51
MERGE_GPM,2001,7,6.04
MERGE_GPM,2001,8,26.85
MERGE_GPM,2001,9,56.44
MERGE_GPM,2001,10,143.65
MERGE_GPM,2001,11,213.88
MERGE_GPM,2001,12,274.95
MERGE_GPM,2002,1,232.26
MERGE_GPM,2002,2,321.63
MERGE_GPM,2002,3,137.64
MERGE_GPM,2002,4,12.27
MERGE_GPM,2002,5,47.73
MERGE_GPM,2002,6,1.42
MERGE_GPM,2002,7,14.2
MERGE_GPM,2002,8,19.18
MERGE_GPM,2002,9,80.08
MERGE_GPM,2002,10,34.81
MERGE_GPM,2002,11,174.95
MERGE_GPM,2002,12,148.93
MERGE_GPM,2003,1,461.06
MERGE_GPM,2003,2,142.37
MERGE_GPM,2003,3,203.23
MERGE_GPM,2003,4,146.49
MERGE_GPM,2003,5,50.33
MERGE_GPM,2003,6,14.05
MERGE_GPM,2003,7,5.33
MERGE_GPM,2003,8,16.99
MERGE_GPM,2003,9,14.58
MERGE_GPM,2003,10,77.71
MERGE_GPM,2003,11,131.73
MERGE_GPM,2003,12,172.48
MERGE_GPM,2004,1,282.64
MERGE_GPM,2004,2,228.45
MERGE_GPM,2004,3,69.31
MERGE_GPM,2004,4,112.83
MERGE_GPM,2004,5,79.16
MERGE_GPM,2004,6,35.69
MERGE_GPM,2004,7,38.29
MERGE_GPM,2004,8,3.12
MERGE_GPM,2004,9,1.35
MERGE_GPM,2004,10,141.53
MERGE_GPM,2004,11,123.94
MERGE_GPM,2004,12,282.71
MERGE_GPM,2005,1,401.65
MERGE_GPM,2005,2,55.65
MERGE_GPM,2005,3,159.16
MERGE_GPM,2005,4,24.68
MERGE_GPM,2005,5,124.81
MERGE_GPM,2005,6,21.68
MERGE_GPM,2005,7,31.21
MERGE_GPM,2005,8,6.51
MERGE_GPM,2005,9,72.12
MERGE_GPM,2005,10,88.94
MERGE_GPM,2005,11,121.56
MERGE_GPM,2005,12,206.98
MERGE_GPM,2006,1,237.13
MERGE_GPM,2006,2,268.48
MERGE_GPM,2006,3,191.44
MERGE_GPM,2006,4,108.14
MERGE_GPM,2006,5,30.26
MERGE_GPM,2006,6,9.01
MERGE_GPM,2006,7,0.53
MERGE_GPM,2006,8,15.33
MERGE_GPM,2006,9,51.04
MERGE_GPM,2006,10,131.26
MERGE_GPM,2006,11,125.64
MERGE_GPM,2006,12,195.77
MERGE_GPM,2007,1,450.13
MERGE_GPM,2007,2,156.88
