TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.37
MERGE_GPM,2000,7,40.68
MERGE_GPM,2000,8,58.67
MERGE_GPM,2000,9,166.21
MERGE_GPM,2000,10,56.5
MERGE_GPM,2000,11,199.22
MERGE_GPM,2000,12,288.5
MERGE_GPM,2001,1,141.08
MERGE_GPM,2001,2,154.6
MERGE_GPM,2001,3,167.66
MERGE_GPM,2001,4,50.28
MERGE_GPM,2001,5,71.65
MERGE_GPM,2001,6,9.57
MERGE_GPM,2001,7,5.84
MERGE_GPM,2001,8,40.76
MERGE_GPM,2001,9,104.67
MERGE_GPM,2001,10,145.19
MERGE_GPM,2001,11,208.49
MERGE_GPM,2001,12,236.94
MERGE_GPM,2002,1,217.57
MERGE_GPM,2002,2,260.56
MERGE_GPM,2002,3,134.83
MERGE_GPM,2002,4,31.21
MERGE_GPM,2002,5,54.68
MERGE_GPM,2002,6,0
MERGE_GPM,2002,7,12.23
MERGE_GPM,2002,8,30.9
MERGE_GPM,2002,9,71.89
MERGE_GPM,2002,10,62.81
MERGE_GPM,2002,11,184.95
MERGE_GPM,2002,12,246.07
MERGE_GPM,2003,1,339.55
MERGE_GPM,2003,2,146.85
MERGE_GPM,2003,3,153.41
MERGE_GPM,2003,4,91.52
MERGE_GPM,2003,5,58.71
MERGE_GPM,2003,6,13.13
MERGE_GPM,2003,7,12.35
MERGE_GPM,2003,8,25.56
MERGE_GPM,2003,9,19.13
MERGE_GPM,2003,10,76.1
MERGE_GPM,2003,11,159.14
MERGE_GPM,2003,12,259.06
MERGE_GPM,2004,1,276.95
MERGE_GPM,2004,2,314.33
MERGE_GPM,2004,3,93.69
MERGE_GPM,2004,4,177.6
MERGE_GPM,2004,5,156.05
MERGE_GPM,2004,6,69.57
MERGE_GPM,2004,7,43.7
MERGE_GPM,2004,8,1.37
MERGE_GPM,2004,9,10.17
MERGE_GPM,2004,10,186.21
MERGE_GPM,2004,11,147.33
MERGE_GPM,2004,12,166.2
MERGE_GPM,2005,1,400.19
MERGE_GPM,2005,2,68.08
MERGE_GPM,2005,3,178.15
MERGE_GPM,2005,4,64.73
MERGE_GPM,2005,5,108.84
MERGE_GPM,2005,6,21.13
MERGE_GPM,2005,7,23.15
MERGE_GPM,2005,8,4.66
MERGE_GPM,2005,9,142.69
MERGE_GPM,2005,10,117.38
MERGE_GPM,2005,11,127.84
MERGE_GPM,2005,12,208.81
MERGE_GPM,2006,1,257.11
MERGE_GPM,2006,2,275.29
MERGE_GPM,2006,3,168.93
MERGE_GPM,2006,4,51.2
MERGE_GPM,2006,5,12.76
MERGE_GPM,2006,6,13.02
MERGE_GPM,2006,7,10.96
MERGE_GPM,2006,8,15.5
MERGE_GPM,2006,9,53.73
MERGE_GPM,2006,10,171.79
MERGE_GPM,2006,11,214.91
MERGE_GPM,2006,12,261.74
MERGE_GPM,2007,1,417.04
MERGE_GPM,2007,2,117.72
MERGE_GPM,2007,3,74.29
MERGE_GPM,2007,4,57.42
MERGE_GPM,2007,5,42.51
MERGE_GPM,2007,6,8.87
MERGE_GPM,2007,7,76.84
MERGE_GPM,2007,8,0.25
MERGE_GPM,2007,9,8.23
MERGE_GPM,2007,10,66.93
MERGE_GPM,2007,11,175.98
MERGE_GPM,2007,12,139.91
MERGE_GPM,2008,1,262.35
MERGE_GPM,2008,2,122.8
MERGE_GPM,2008,3,233.92
MERGE_GPM,2008,4,184.12
MERGE_GPM,2008,5,35.46
MERGE_GPM,2008,6,18.09
MERGE_GPM,2008,7,0.73
MERGE_GPM,2008,8,40.39
MERGE_GPM,2008,9,60.82
MERGE_GPM,2008,10,153.11
MERGE_GPM,2008,11,141.8
MERGE_GPM,2008,12,160.84
MERGE_GPM,2009,1,284.49
MERGE_GPM,2009,2,320.22
MERGE_GPM,2009,3,101.24
MERGE_GPM,2009,4,78.92
MERGE_GPM,2009,5,79.4
MERGE_GPM,2009,6,58.1
MERGE_GPM,2009,7,30.33
MERGE_GPM,2009,8,88.81
MERGE_GPM,2009,9,143.64
MERGE_GPM,2009,10,253.64
MERGE_GPM,2009,11,167.2
MERGE_GPM,2009,12,353.29
MERGE_GPM,2010,1,194.93
MERGE_GPM,2010,2,148.49
MERGE_GPM,2010,3,140.18
MERGE_GPM,2010,4,38.55
MERGE_GPM,2010,5,18.11
MERGE_GPM,2010,6,13.44
MERGE_GPM,2010,7,11.39
MERGE_GPM,2010,8,0.13
MERGE_GPM,2010,9,70.92
MERGE_GPM,2010,10,82.47
MERGE_GPM,2010,11,152.66
MERGE_GPM,2010,12,330.96
MERGE_GPM,2011,1,261.88
MERGE_GPM,2011,2,66.76
MERGE_GPM,2011,3,141.26
MERGE_GPM,2011,4,85.43
MERGE_GPM,2011,5,17.91
MERGE_GPM,2011,6,20.91
MERGE_GPM,2011,7,0.02
MERGE_GPM,2011,8,8.79
MERGE_GPM,2011,9,15.1
MERGE_GPM,2011,10,142.68
MERGE_GPM,2011,11,104.84
MERGE_GPM,2011,12,169.72
MERGE_GPM,2012,1,300.7
MERGE_GPM,2012,2,97.2
MERGE_GPM,2012,3,139.41
MERGE_GPM,2012,4,64.44
MERGE_GPM,2012,5,89.2
MERGE_GPM,2012,6,85.86
MERGE_GPM,2012,7,33.83
MERGE_GPM,2012,8,4.08
MERGE_GPM,2012,9,27.66
MERGE_GPM,2012,10,53.72
MERGE_GPM,2012,11,137.62
MERGE_GPM,2012,12,212.59
MERGE_GPM,2013,1,293.56
MERGE_GPM,2013,2,192.85
MERGE_GPM,2013,3,280.81
MERGE_GPM,2013,4,88.48
MERGE_GPM,2013,5,88.28
MERGE_GPM,2013,6,32.86
MERGE_GPM,2013,7,48.7
MERGE_GPM,2013,8,6.12
MERGE_GPM,2013,9,53.74
MERGE_GPM,2013,10,107.1
MERGE_GPM,2013,11,191.96
MERGE_GPM,2013,12,125.36
MERGE_GPM,2014,1,58.19
MERGE_GPM,2014,2,72.66
MERGE_GPM,2014,3,104.47
MERGE_GPM,2014,4,86.48
MERGE_GPM,2014,5,32.86
MERGE_GPM,2014,6,6.53
MERGE_GPM,2014,7,43.83
MERGE_GPM,2014,8,4.49
MERGE_GPM,2014,9,36.82
MERGE_GPM,2014,10,34.81
MERGE_GPM,2014,11,162.03
MERGE_GPM,2014,12,141
MERGE_GPM,2015,1,47.29
MERGE_GPM,2015,2,102.47
MERGE_GPM,2015,3,125.61
MERGE_GPM,2015,4,24.07
MERGE_GPM,2015,5,52.75
MERGE_GPM,2015,6,28.28
MERGE_GPM,2015,7,10.81
MERGE_GPM,2015,8,10.01
MERGE_GPM,2015,9,90.8
MERGE_GPM,2015,10,85.34
MERGE_GPM,2015,11,143.13
MERGE_GPM,2015,12,231.39
MERGE_GPM,2016,1,229.66
MERGE_GPM,2016,2,149.17
MERGE_GPM,2016,3,174.79
MERGE_GPM,2016,4,3.23
MERGE_GPM,2016,5,23.26
MERGE_GPM,2016,6,39.06
MERGE_GPM,2016,7,1.51
MERGE_GPM,2016,8,27.15
MERGE_GPM,2016,9,9.93
MERGE_GPM,2016,10,164.26
MERGE_GPM,2016,11,141.91
MERGE_GPM,2016,12,117.14
MERGE_GPM,2017,1,143.41
MERGE_GPM,2017,2,83.34
MERGE_GPM,2017,3,165.3
MERGE_GPM,2017,4,68.51
MERGE_GPM,2017,5,88.65
MERGE_GPM,2017,6,23.83
MERGE_GPM,2017,7,1.77
MERGE_GPM,2017,8,29.7
MERGE_GPM,2017,9,1.66
MERGE_GPM,2017,10,134.24
MERGE_GPM,2017,11,154.8
MERGE_GPM,2017,12,152.67
MERGE_GPM,2018,1,197.97
MERGE_GPM,2018,2,142
MERGE_GPM,2018,3,134.32
MERGE_GPM,2018,4,35.76
MERGE_GPM,2018,5,18.44
