TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.29
MERGE_GPM,2000,7,27.65
MERGE_GPM,2000,8,31.37
MERGE_GPM,2000,9,112.16
MERGE_GPM,2000,10,57.99
MERGE_GPM,2000,11,219.02
MERGE_GPM,2000,12,228.24
MERGE_GPM,2001,1,145.93
MERGE_GPM,2001,2,114.72
MERGE_GPM,2001,3,155.73
MERGE_GPM,2001,4,17.65
MERGE_GPM,2001,5,56.17
MERGE_GPM,2001,6,3.93
MERGE_GPM,2001,7,5.28
MERGE_GPM,2001,8,34.45
MERGE_GPM,2001,9,67.87
MERGE_GPM,2001,10,123.45
MERGE_GPM,2001,11,208.34
MERGE_GPM,2001,12,296.66
MERGE_GPM,2002,1,195.09
MERGE_GPM,2002,2,272.95
MERGE_GPM,2002,3,121.27
MERGE_GPM,2002,4,19.25
MERGE_GPM,2002,5,44.62
MERGE_GPM,2002,6,0.23
MERGE_GPM,2002,7,16.41
MERGE_GPM,2002,8,20.92
MERGE_GPM,2002,9,63.1
MERGE_GPM,2002,10,72.18
MERGE_GPM,2002,11,185.84
MERGE_GPM,2002,12,222.19
MERGE_GPM,2003,1,417.6
MERGE_GPM,2003,2,88.24
MERGE_GPM,2003,3,173.93
MERGE_GPM,2003,4,61.01
MERGE_GPM,2003,5,45.76
MERGE_GPM,2003,6,5.16
MERGE_GPM,2003,7,16.31
MERGE_GPM,2003,8,17.46
MERGE_GPM,2003,9,28.58
MERGE_GPM,2003,10,85.38
MERGE_GPM,2003,11,145.47
MERGE_GPM,2003,12,214.52
MERGE_GPM,2004,1,210.83
MERGE_GPM,2004,2,330.58
MERGE_GPM,2004,3,118.27
MERGE_GPM,2004,4,115.14
MERGE_GPM,2004,5,83.64
MERGE_GPM,2004,6,51.72
MERGE_GPM,2004,7,37.79
MERGE_GPM,2004,8,3.03
MERGE_GPM,2004,9,25.33
MERGE_GPM,2004,10,140.62
MERGE_GPM,2004,11,184.32
MERGE_GPM,2004,12,253.06
MERGE_GPM,2005,1,377.15
MERGE_GPM,2005,2,93.48
MERGE_GPM,2005,3,157.74
MERGE_GPM,2005,4,55.65
MERGE_GPM,2005,5,98.66
MERGE_GPM,2005,6,23.89
MERGE_GPM,2005,7,29.43
MERGE_GPM,2005,8,11.37
MERGE_GPM,2005,9,87.84
MERGE_GPM,2005,10,91.45
MERGE_GPM,2005,11,156.61
MERGE_GPM,2005,12,244.43
MERGE_GPM,2006,1,165.02
MERGE_GPM,2006,2,211.43
MERGE_GPM,2006,3,197.22
MERGE_GPM,2006,4,32.82
MERGE_GPM,2006,5,26.96
MERGE_GPM,2006,6,10.54
MERGE_GPM,2006,7,8.38
MERGE_GPM,2006,8,18.7
MERGE_GPM,2006,9,69.05
MERGE_GPM,2006,10,120.98
MERGE_GPM,2006,11,197.92
MERGE_GPM,2006,12,207.69
MERGE_GPM,2007,1,436.44
MERGE_GPM,2007,2,96.42
MERGE_GPM,2007,3,75.24
MERGE_GPM,2007,4,62.68
MERGE_GPM,2007,5,40.32
MERGE_GPM,2007,6,7.9
MERGE_GPM,2007,7,42.73
MERGE_GPM,2007,8,0.26
MERGE_GPM,2007,9,10.99
MERGE_GPM,2007,10,86.52
MERGE_GPM,2007,11,158.72
MERGE_GPM,2007,12,188.09
MERGE_GPM,2008,1,223.85
MERGE_GPM,2008,2,209.86
MERGE_GPM,2008,3,218.92
MERGE_GPM,2008,4,135.03
MERGE_GPM,2008,5,18.7
MERGE_GPM,2008,6,19.74
MERGE_GPM,2008,7,1.07
MERGE_GPM,2008,8,27.08
MERGE_GPM,2008,9,66.62
MERGE_GPM,2008,10,95.41
MERGE_GPM,2008,11,177.89
MERGE_GPM,2008,12,242.44
MERGE_GPM,2009,1,279.4
MERGE_GPM,2009,2,245.81
MERGE_GPM,2009,3,141.75
MERGE_GPM,2009,4,104.19
MERGE_GPM,2009,5,46.59
MERGE_GPM,2009,6,32.75
MERGE_GPM,2009,7,28.32
MERGE_GPM,2009,8,41.27
MERGE_GPM,2009,9,113.57
MERGE_GPM,2009,10,165.52
MERGE_GPM,2009,11,127.73
MERGE_GPM,2009,12,310.72
MERGE_GPM,2010,1,193.47
MERGE_GPM,2010,2,103.41
MERGE_GPM,2010,3,171.97
MERGE_GPM,2010,4,45.98
MERGE_GPM,2010,5,28.47
MERGE_GPM,2010,6,10.46
MERGE_GPM,2010,7,21.73
MERGE_GPM,2010,8,0.58
MERGE_GPM,2010,9,63.88
MERGE_GPM,2010,10,116.03
MERGE_GPM,2010,11,201.78
MERGE_GPM,2010,12,279.95
MERGE_GPM,2011,1,363.16
MERGE_GPM,2011,2,91.46
MERGE_GPM,2011,3,255.67
MERGE_GPM,2011,4,72.27
MERGE_GPM,2011,5,12.23
MERGE_GPM,2011,6,23.69
MERGE_GPM,2011,7,0.77
MERGE_GPM,2011,8,8.79
MERGE_GPM,2011,9,4.94
MERGE_GPM,2011,10,119.74
MERGE_GPM,2011,11,135.78
MERGE_GPM,2011,12,249.02
MERGE_GPM,2012,1,312.23
MERGE_GPM,2012,2,86.67
MERGE_GPM,2012,3,119.31
MERGE_GPM,2012,4,62.87
MERGE_GPM,2012,5,55.26
MERGE_GPM,2012,6,94.96
MERGE_GPM,2012,7,22.51
MERGE_GPM,2012,8,5.36
MERGE_GPM,2012,9,39.35
MERGE_GPM,2012,10,55.65
MERGE_GPM,2012,11,159.54
MERGE_GPM,2012,12,192.07
MERGE_GPM,2013,1,288.94
MERGE_GPM,2013,2,142.15
MERGE_GPM,2013,3,175.57
MERGE_GPM,2013,4,61.27
MERGE_GPM,2013,5,57.83
MERGE_GPM,2013,6,29.07
MERGE_GPM,2013,7,39.79
MERGE_GPM,2013,8,5.69
MERGE_GPM,2013,9,60.24
MERGE_GPM,2013,10,96.31
MERGE_GPM,2013,11,169.75
MERGE_GPM,2013,12,160.15
MERGE_GPM,2014,1,90.79
MERGE_GPM,2014,2,38.87
MERGE_GPM,2014,3,87.77
MERGE_GPM,2014,4,82.07
MERGE_GPM,2014,5,17.76
MERGE_GPM,2014,6,9.94
MERGE_GPM,2014,7,46.36
MERGE_GPM,2014,8,10.33
MERGE_GPM,2014,9,31.02
MERGE_GPM,2014,10,37.21
MERGE_GPM,2014,11,149.25
MERGE_GPM,2014,12,141.58
MERGE_GPM,2015,1,84.98
MERGE_GPM,2015,2,166.4
MERGE_GPM,2015,3,159.52
