TIPO,year,month,accumulate
MERGE_GPM,2000,6,2.45
MERGE_GPM,2000,7,33.8
MERGE_GPM,2000,8,38.27
MERGE_GPM,2000,9,114.11
MERGE_GPM,2000,10,44.25
MERGE_GPM,2000,11,201.46
MERGE_GPM,2000,12,232.78
MERGE_GPM,2001,1,161.73
MERGE_GPM,2001,2,128.59
MERGE_GPM,2001,3,142.14
MERGE_GPM,2001,4,53.17
MERGE_GPM,2001,5,72.54
MERGE_GPM,2001,6,19.28
MERGE_GPM,2001,7,10.68
MERGE_GPM,2001,8,43.41
MERGE_GPM,2001,9,69.3
MERGE_GPM,2001,10,156.52
MERGE_GPM,2001,11,177.11
MERGE_GPM,2001,12,251.71
MERGE_GPM,2002,1,288.81
MERGE_GPM,2002,2,291.75
MERGE_GPM,2002,3,147.73
MERGE_GPM,2002,4,49.02
MERGE_GPM,2002,5,74.55
MERGE_GPM,2002,6,16.95
MERGE_GPM,2002,7,18.33
MERGE_GPM,2002,8,33.87
MERGE_GPM,2002,9,62.38
MERGE_GPM,2002,10,61.04
MERGE_GPM,2002,11,189.73
MERGE_GPM,2002,12,192.68
MERGE_GPM,2003,1,406.84
MERGE_GPM,2003,2,138.78
MERGE_GPM,2003,3,191.28
MERGE_GPM,2003,4,122.19
MERGE_GPM,2003,5,61.85
MERGE_GPM,2003,6,9.79
MERGE_GPM,2003,7,8.95
MERGE_GPM,2003,8,18.79
MERGE_GPM,2003,9,28.15
MERGE_GPM,2003,10,80.11
MERGE_GPM,2003,11,159.64
MERGE_GPM,2003,12,203.25
MERGE_GPM,2004,1,288.33
MERGE_GPM,2004,2,322.5
MERGE_GPM,2004,3,107.15
MERGE_GPM,2004,4,136.1
MERGE_GPM,2004,5,100.67
MERGE_GPM,2004,6,38.66
MERGE_GPM,2004,7,50.83
MERGE_GPM,2004,8,0.25
MERGE_GPM,2004,9,9.36
MERGE_GPM,2004,10,183.97
MERGE_GPM,2004,11,156.31
MERGE_GPM,2004,12,310.54
MERGE_GPM,2005,1,364.16
MERGE_GPM,2005,2,61.34
MERGE_GPM,2005,3,175.26
MERGE_GPM,2005,4,47.14
MERGE_GPM,2005,5,116.08
MERGE_GPM,2005,6,27.68
MERGE_GPM,2005,7,25.18
MERGE_GPM,2005,8,5.96
MERGE_GPM,2005,9,77.44
MERGE_GPM,2005,10,120.18
MERGE_GPM,2005,11,145.54
MERGE_GPM,2005,12,238.39
MERGE_GPM,2006,1,242.92
MERGE_GPM,2006,2,254.83
MERGE_GPM,2006,3,208.3
MERGE_GPM,2006,4,61.68
MERGE_GPM,2006,5,16.84
MERGE_GPM,2006,6,11.38
MERGE_GPM,2006,7,3.89
MERGE_GPM,2006,8,21.12
MERGE_GPM,2006,9,49.71
MERGE_GPM,2006,10,204.58
MERGE_GPM,2006,11,176.85
MERGE_GPM,2006,12,290.1
MERGE_GPM,2007,1,407.43
MERGE_GPM,2007,2,153.83
MERGE_GPM,2007,3,120.77
MERGE_GPM,2007,4,53.36
MERGE_GPM,2007,5,52.07
MERGE_GPM,2007,6,3.3
MERGE_GPM,2007,7,72.11
MERGE_GPM,2007,8,0.63
MERGE_GPM,2007,9,8.89
MERGE_GPM,2007,10,62.39
MERGE_GPM,2007,11,147.63
MERGE_GPM,2007,12,168.42
MERGE_GPM,2008,1,286.72
MERGE_GPM,2008,2,210.21
MERGE_GPM,2008,3,183.69
MERGE_GPM,2008,4,133.42
MERGE_GPM,2008,5,32.59
MERGE_GPM,2008,6,11.89
MERGE_GPM,2008,7,1.8
MERGE_GPM,2008,8,19.36
MERGE_GPM,2008,9,27.38
MERGE_GPM,2008,10,68.9
MERGE_GPM,2008,11,95.1
MERGE_GPM,2008,12,241.36
MERGE_GPM,2009,1,308.57
MERGE_GPM,2009,2,216.1
MERGE_GPM,2009,3,178.71
MERGE_GPM,2009,4,71.09
MERGE_GPM,2009,5,48.94
MERGE_GPM,2009,6,51.35
MERGE_GPM,2009,7,32.87
MERGE_GPM,2009,8,61.06
MERGE_GPM,2009,9,122.08
MERGE_GPM,2009,10,121.78
MERGE_GPM,2009,11,148.34
MERGE_GPM,2009,12,269.55
MERGE_GPM,2010,1,239.39
MERGE_GPM,2010,2,105.19
MERGE_GPM,2010,3,131.2
MERGE_GPM,2010,4,38.94
MERGE_GPM,2010,5,14.05
MERGE_GPM,2010,6,12.43
MERGE_GPM,2010,7,11.65
MERGE_GPM,2010,8,0.75
MERGE_GPM,2010,9,61.15
MERGE_GPM,2010,10,79.19
MERGE_GPM,2010,11,150.07
MERGE_GPM,2010,12,193.93
MERGE_GPM,2011,1,264.01
MERGE_GPM,2011,2,121.66
MERGE_GPM,2011,3,282.46
MERGE_GPM,2011,4,127.76
MERGE_GPM,2011,5,7.34
MERGE_GPM,2011,6,33.18
MERGE_GPM,2011,7,0.27
MERGE_GPM,2011,8,14
MERGE_GPM,2011,9,9.64
MERGE_GPM,2011,10,174.35
MERGE_GPM,2011,11,141.07
MERGE_GPM,2011,12,193.99
MERGE_GPM,2012,1,332.06
MERGE_GPM,2012,2,99.19
MERGE_GPM,2012,3,90.97
MERGE_GPM,2012,4,81.87
MERGE_GPM,2012,5,57.27
MERGE_GPM,2012,6,105.32
MERGE_GPM,2012,7,28.63
MERGE_GPM,2012,8,0.4
MERGE_GPM,2012,9,51.31
MERGE_GPM,2012,10,72.29
MERGE_GPM,2012,11,160.81
MERGE_GPM,2012,12,182.01
MERGE_GPM,2013,1,269.12
MERGE_GPM,2013,2,172.87
MERGE_GPM,2013,3,205.12
MERGE_GPM,2013,4,99.53
MERGE_GPM,2013,5,98.49
MERGE_GPM,2013,6,40.91
MERGE_GPM,2013,7,25.63
MERGE_GPM,2013,8,6.14
MERGE_GPM,2013,9,60.67
MERGE_GPM,2013,10,124.89
MERGE_GPM,2013,11,162.74
MERGE_GPM,2013,12,169.19
MERGE_GPM,2014,1,83.87
MERGE_GPM,2014,2,73.44
MERGE_GPM,2014,3,112.22
MERGE_GPM,2014,4,73.04
MERGE_GPM,2014,5,15.76
MERGE_GPM,2014,6,3.69
MERGE_GPM,2014,7,45.05
MERGE_GPM,2014,8,1.19
MERGE_GPM,2014,9,43.34
MERGE_GPM,2014,10,37.75
MERGE_GPM,2014,11,176.03
MERGE_GPM,2014,12,191.46
MERGE_GPM,2015,1,87.63
MERGE_GPM,2015,2,197.13
MERGE_GPM,2015,3,197.85
MERGE_GPM,2015,4,72.24
MERGE_GPM,2015,5,74.62
MERGE_GPM,2015,6,19.35
MERGE_GPM,2015,7,22.67
MERGE_GPM,2015,8,5.8
MERGE_GPM,2015,9,112.54
MERGE_GPM,2015,10,77.91
MERGE_GPM,2015,11,210.38
MERGE_GPM,2015,12,208.54
MERGE_GPM,2016,1,354.66
MERGE_GPM,2016,2,167.69
MERGE_GPM,2016,3,216.08
MERGE_GPM,2016,4,8.84
MERGE_GPM,2016,5,42.77
MERGE_GPM,2016,6,86.51
MERGE_GPM,2016,7,0.51
MERGE_GPM,2016,8,32.44
MERGE_GPM,2016,9,14.74
MERGE_GPM,2016,10,115.66
MERGE_GPM,2016,11,179.46
MERGE_GPM,2016,12,181.86
MERGE_GPM,2017,1,237.08
MERGE_GPM,2017,2,113.99
MERGE_GPM,2017,3,122.19
MERGE_GPM,2017,4,88.09
MERGE_GPM,2017,5,100.52
MERGE_GPM,2017,6,9.84
MERGE_GPM,2017,7,0.25
MERGE_GPM,2017,8,14.52
MERGE_GPM,2017,9,0.97
MERGE_GPM,2017,10,103.37
MERGE_GPM,2017,11,193.5
MERGE_GPM,2017,12,178.29
MERGE_GPM,2018,1,235.34
MERGE_GPM,2018,2,133.03
MERGE_GPM,2018,3,100
MERGE_GPM,2018,4,34.66
MERGE_GPM,2018,5,20.63
MERGE_GPM,2018,6,5.56
MERGE_GPM,2018,7,0.66
MERGE_GPM,2018,8,48.92
MERGE_GPM,2018,9,65.06
MERGE_GPM,2018,10,166.25
MERGE_GPM,2018,11,246.09
MERGE_GPM,2018,12,135.51
MERGE_GPM,2019,1,108.44
MERGE_GPM,2019,2,211.23
MERGE_GPM,2019,3,177.22
MERGE_GPM,2019,4,147.73
MERGE_GPM,2019,5,28.98
MERGE_GPM,2019,6,7.75
MERGE_GPM,2019,7,14.68
MERGE_GPM,2019,8,16.18
MERGE_GPM,2019,9,61.67
MERGE_GPM,2019,10,70.14
MERGE_GPM,2019,11,161.54
MERGE_GPM,2019,12,202.89
MERGE_GPM,2020,1,270.04
MERGE_GPM,2020,2,274.88
MERGE_GPM,2020,3,96.72
MERGE_GPM,2020,4,20.06
MERGE_GPM,2020,5,22.56
MERGE_GPM,2020,6,13.84
MERGE_GPM,2020,7,0.99
MERGE_GPM,2020,8,7.96
MERGE_GPM,2020,9,13.2
MERGE_GPM,2020,10,60.51
MERGE_GPM,2020,11,94.64
MERGE_GPM,2020,12,261.17
