TIPO,year,month,accumulate
MERGE_GPM,2000,6,0.13
MERGE_GPM,2000,7,19.86
MERGE_GPM,2000,8,17.05
MERGE_GPM,2000,9,111.95
MERGE_GPM,2000,10,50.69
MERGE_GPM,2000,11,165.34
MERGE_GPM,2000,12,217.92
MERGE_GPM,2001,1,154.43
MERGE_GPM,2001,2,96.07
MERGE_GPM,2001,3,138.51
MERGE_GPM,2001,4,42.49
MERGE_GPM,2001,5,45.57
MERGE_GPM,2001,6,3.85
MERGE_GPM,2001,7,14.07
MERGE_GPM,2001,8,38.35
MERGE_GPM,2001,9,80.77
MERGE_GPM,2001,10,135.62
MERGE_GPM,2001,11,222.81
MERGE_GPM,2001,12,307.3
MERGE_GPM,2002,1,253.77
MERGE_GPM,2002,2,351.1
MERGE_GPM,2002,3,101.51
MERGE_GPM,2002,4,10.22
MERGE_GPM,2002,5,38.47
MERGE_GPM,2002,6,0.31
MERGE_GPM,2002,7,37.13
MERGE_GPM,2002,8,7.5
MERGE_GPM,2002,9,58.64
MERGE_GPM,2002,10,72.96
MERGE_GPM,2002,11,186.3
MERGE_GPM,2002,12,245.86
MERGE_GPM,2003,1,374.19
MERGE_GPM,2003,2,130.12
MERGE_GPM,2003,3,141.51
MERGE_GPM,2003,4,90.3
MERGE_GPM,2003,5,40.84
MERGE_GPM,2003,6,10.75
MERGE_GPM,2003,7,5.51
MERGE_GPM,2003,8,17.73
MERGE_GPM,2003,9,30.82
MERGE_GPM,2003,10,78.87
MERGE_GPM,2003,11,192.9
MERGE_GPM,2003,12,179.53
MERGE_GPM,2004,1,312.57
MERGE_GPM,2004,2,340.24
MERGE_GPM,2004,3,145.95
MERGE_GPM,2004,4,121.11
MERGE_GPM,2004,5,70.78
MERGE_GPM,2004,6,69.95
MERGE_GPM,2004,7,32.6
MERGE_GPM,2004,8,0.02
MERGE_GPM,2004,9,12.22
MERGE_GPM,2004,10,251.79
MERGE_GPM,2004,11,142.7
MERGE_GPM,2004,12,287.8
MERGE_GPM,2005,1,302.54
MERGE_GPM,2005,2,79.34
MERGE_GPM,2005,3,194.32
MERGE_GPM,2005,4,38.05
MERGE_GPM,2005,5,109.65
MERGE_GPM,2005,6,16.57
MERGE_GPM,2005,7,12.36
MERGE_GPM,2005,8,6.05
MERGE_GPM,2005,9,53.38
MERGE_GPM,2005,10,88.92
MERGE_GPM,2005,11,215.58
MERGE_GPM,2005,12,232.59
MERGE_GPM,2006,1,140.34
MERGE_GPM,2006,2,181.81
MERGE_GPM,2006,3,251.7
MERGE_GPM,2006,4,56.09
MERGE_GPM,2006,5,20.43
MERGE_GPM,2006,6,7.31
MERGE_GPM,2006,7,5.17
MERGE_GPM,2006,8,16.79
MERGE_GPM,2006,9,58.32
MERGE_GPM,2006,10,140.08
MERGE_GPM,2006,11,169.26
MERGE_GPM,2006,12,286.62
MERGE_GPM,2007,1,329.19
MERGE_GPM,2007,2,146.26
MERGE_GPM,2007,3,53.52
MERGE_GPM,2007,4,82.35
MERGE_GPM,2007,5,22.34
MERGE_GPM,2007,6,1.69
MERGE_GPM,2007,7,23.91
MERGE_GPM,2007,8,2.55
MERGE_GPM,2007,9,4.56
MERGE_GPM,2007,10,35.83
MERGE_GPM,2007,11,136.05
MERGE_GPM,2007,12,191.15
MERGE_GPM,2008,1,317.55
MERGE_GPM,2008,2,167.49
MERGE_GPM,2008,3,167.14
MERGE_GPM,2008,4,113.23
MERGE_GPM,2008,5,14.84
MERGE_GPM,2008,6,13.59
MERGE_GPM,2008,7,0.88
MERGE_GPM,2008,8,11.34
MERGE_GPM,2008,9,64.26
MERGE_GPM,2008,10,62.68
MERGE_GPM,2008,11,175.2
MERGE_GPM,2008,12,265.8
MERGE_GPM,2009,1,270.1
MERGE_GPM,2009,2,261.5
MERGE_GPM,2009,3,168.92
MERGE_GPM,2009,4,96.26
MERGE_GPM,2009,5,40.9
MERGE_GPM,2009,6,21.27
