TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.05
MERGE_GPM,2000,7,28.11
MERGE_GPM,2000,8,26.67
MERGE_GPM,2000,9,116.58
MERGE_GPM,2000,10,82.67
MERGE_GPM,2000,11,217.16
MERGE_GPM,2000,12,265.78
MERGE_GPM,2001,1,148.32
MERGE_GPM,2001,2,124.91
MERGE_GPM,2001,3,179.95
MERGE_GPM,2001,4,18.52
MERGE_GPM,2001,5,53.23
MERGE_GPM,2001,6,0.6
MERGE_GPM,2001,7,5.04
MERGE_GPM,2001,8,24.79
MERGE_GPM,2001,9,40.06
MERGE_GPM,2001,10,93.61
MERGE_GPM,2001,11,150.21
MERGE_GPM,2001,12,262.17
MERGE_GPM,2002,1,236.25
MERGE_GPM,2002,2,151.1
MERGE_GPM,2002,3,101.26
MERGE_GPM,2002,4,13.75
MERGE_GPM,2002,5,51.66
MERGE_GPM,2002,6,0.39
MERGE_GPM,2002,7,13.35
MERGE_GPM,2002,8,18.68
MERGE_GPM,2002,9,65.94
MERGE_GPM,2002,10,77.44
MERGE_GPM,2002,11,160.01
MERGE_GPM,2002,12,244.15
MERGE_GPM,2003,1,402.93
MERGE_GPM,2003,2,54.1
MERGE_GPM,2003,3,140.97
MERGE_GPM,2003,4,31.78
MERGE_GPM,2003,5,38.85
MERGE_GPM,2003,6,18.68
MERGE_GPM,2003,7,23.93
MERGE_GPM,2003,8,19.98
MERGE_GPM,2003,9,18.1
MERGE_GPM,2003,10,96.79
MERGE_GPM,2003,11,115.86
MERGE_GPM,2003,12,197.13
MERGE_GPM,2004,1,141.85
MERGE_GPM,2004,2,323.27
MERGE_GPM,2004,3,122.75
MERGE_GPM,2004,4,112.28
MERGE_GPM,2004,5,41.28
MERGE_GPM,2004,6,29.54
MERGE_GPM,2004,7,25.69
MERGE_GPM,2004,8,2
MERGE_GPM,2004,9,29.26
MERGE_GPM,2004,10,126.77
MERGE_GPM,2004,11,196.56
MERGE_GPM,2004,12,236.63
MERGE_GPM,2005,1,324.75
MERGE_GPM,2005,2,96.24
MERGE_GPM,2005,3,132.56
MERGE_GPM,2005,4,64.03
MERGE_GPM,2005,5,75.52
MERGE_GPM,2005,6,18.43
MERGE_GPM,2005,7,37.23
MERGE_GPM,2005,8,12.35
MERGE_GPM,2005,9,45.79
MERGE_GPM,2005,10,78.36
MERGE_GPM,2005,11,169.12
MERGE_GPM,2005,12,270.25
MERGE_GPM,2006,1,124.15
MERGE_GPM,2006,2,167.12
MERGE_GPM,2006,3,136.71
MERGE_GPM,2006,4,22.53
MERGE_GPM,2006,5,30.14
MERGE_GPM,2006,6,10.85
MERGE_GPM,2006,7,6.95
MERGE_GPM,2006,8,17.07
MERGE_GPM,2006,9,79.72
MERGE_GPM,2006,10,112.51
MERGE_GPM,2006,11,187.09
MERGE_GPM,2006,12,170.98
MERGE_GPM,2007,1,360.14
MERGE_GPM,2007,2,82.74
MERGE_GPM,2007,3,94.65
MERGE_GPM,2007,4,61.36
MERGE_GPM,2007,5,26.28
MERGE_GPM,2007,6,3.62
MERGE_GPM,2007,7,15.29
MERGE_GPM,2007,8,0.11
MERGE_GPM,2007,9,13.53
MERGE_GPM,2007,10,67.77
MERGE_GPM,2007,11,124.57
MERGE_GPM,2007,12,145.88
MERGE_GPM,2008,1,218.67
MERGE_GPM,2008,2,223.25
MERGE_GPM,2008,3,215.59
MERGE_GPM,2008,4,100.82
MERGE_GPM,2008,5,12.83
MERGE_GPM,2008,6,15.89
MERGE_GPM,2008,7,1.65
MERGE_GPM,2008,8,29.68
MERGE_GPM,2008,9,72.14
MERGE_GPM,2008,10,111.76
MERGE_GPM,2008,11,142.95
MERGE_GPM,2008,12,279.57
MERGE_GPM,2009,1,223.63
MERGE_GPM,2009,2,182
MERGE_GPM,2009,3,130.28
MERGE_GPM,2009,4,61.27
MERGE_GPM,2009,5,16.98
MERGE_GPM,2009,6,19.14
MERGE_GPM,2009,7,30.42
MERGE_GPM,2009,8,23.34
MERGE_GPM,2009,9,129.4
MERGE_GPM,2009,10,195.39
MERGE_GPM,2009,11,175.76
MERGE_GPM,2009,12,337.23
MERGE_GPM,2010,1,239.92
MERGE_GPM,2010,2,97.1
MERGE_GPM,2010,3,232.71
MERGE_GPM,2010,4,67.67
MERGE_GPM,2010,5,23.35
MERGE_GPM,2010,6,7.73
MERGE_GPM,2010,7,30.87
MERGE_GPM,2010,8,1.69
MERGE_GPM,2010,9,66.41
MERGE_GPM,2010,10,132.86
MERGE_GPM,2010,11,283.61
MERGE_GPM,2010,12,375.34
MERGE_GPM,2011,1,388.36
MERGE_GPM,2011,2,79.06
MERGE_GPM,2011,3,194.95
MERGE_GPM,2011,4,55.02
MERGE_GPM,2011,5,12.7
MERGE_GPM,2011,6,32.3
MERGE_GPM,2011,7,1.41
MERGE_GPM,2011,8,7.53
MERGE_GPM,2011,9,2.69
MERGE_GPM,2011,10,97.98
MERGE_GPM,2011,11,134.03
MERGE_GPM,2011,12,325.48
MERGE_GPM,2012,1,273.45
MERGE_GPM,2012,2,119.29
MERGE_GPM,2012,3,171.24
MERGE_GPM,2012,4,35.16
MERGE_GPM,2012,5,45.81
MERGE_GPM,2012,6,58.19
MERGE_GPM,2012,7,12.68
MERGE_GPM,2012,8,1.99
MERGE_GPM,2012,9,15.27
MERGE_GPM,2012,10,36.02
MERGE_GPM,2012,11,157.59
MERGE_GPM,2012,12,172.73
MERGE_GPM,2013,1,264.68
MERGE_GPM,2013,2,79.29
MERGE_GPM,2013,3,112.97
MERGE_GPM,2013,4,41.24
MERGE_GPM,2013,5,32.41
MERGE_GPM,2013,6,22.39
MERGE_GPM,2013,7,33.5
MERGE_GPM,2013,8,2.09
MERGE_GPM,2013,9,61.39
MERGE_GPM,2013,10,98.01
MERGE_GPM,2013,11,146.41
MERGE_GPM,2013,12,162.5
MERGE_GPM,2014,1,69.22
MERGE_GPM,2014,2,55.29
MERGE_GPM,2014,3,96.4
MERGE_GPM,2014,4,55.11
MERGE_GPM,2014,5,14.19
MERGE_GPM,2014,6,8.37
MERGE_GPM,2014,7,23.69
MERGE_GPM,2014,8,13.53
MERGE_GPM,2014,9,19.67
MERGE_GPM,2014,10,22.33
MERGE_GPM,2014,11,153.69
MERGE_GPM,2014,12,129.48
MERGE_GPM,2015,1,107.07
MERGE_GPM,2015,2,184.54
MERGE_GPM,2015,3,168.52
MERGE_GPM,2015,4,44.48
MERGE_GPM,2015,5,39.64
MERGE_GPM,2015,6,27.26
MERGE_GPM,2015,7,4.48
MERGE_GPM,2015,8,32.36
MERGE_GPM,2015,9,127.78
MERGE_GPM,2015,10,72.86
MERGE_GPM,2015,11,180.65
MERGE_GPM,2015,12,160.56
MERGE_GPM,2016,1,326.78
MERGE_GPM,2016,2,115.23
MERGE_GPM,2016,3,171.57
MERGE_GPM,2016,4,24.61
MERGE_GPM,2016,5,11.25
MERGE_GPM,2016,6,57.64
MERGE_GPM,2016,7,0.26
MERGE_GPM,2016,8,15.58
MERGE_GPM,2016,9,38.52
MERGE_GPM,2016,10,101.7
MERGE_GPM,2016,11,265.21
MERGE_GPM,2016,12,175.16
MERGE_GPM,2017,1,198.24
MERGE_GPM,2017,2,81.36
MERGE_GPM,2017,3,113.1
MERGE_GPM,2017,4,52.42
MERGE_GPM,2017,5,33.24
MERGE_GPM,2017,6,18.59
MERGE_GPM,2017,7,3.13
MERGE_GPM,2017,8,11.25
MERGE_GPM,2017,9,1.66
MERGE_GPM,2017,10,64.1
MERGE_GPM,2017,11,116.72
MERGE_GPM,2017,12,162.58
MERGE_GPM,2018,1,163.87
MERGE_GPM,2018,2,125.8
MERGE_GPM,2018,3,113.36
MERGE_GPM,2018,4,40.17
MERGE_GPM,2018,5,16.2
MERGE_GPM,2018,6,20.82
MERGE_GPM,2018,7,3.72
MERGE_GPM,2018,8,52.04
MERGE_GPM,2018,9,60.98
MERGE_GPM,2018,10,117.81
MERGE_GPM,2018,11,193.88
MERGE_GPM,2018,12,184.52
MERGE_GPM,2019,1,78.2
MERGE_GPM,2019,2,132.37
MERGE_GPM,2019,3,131.02
MERGE_GPM,2019,4,60.95
MERGE_GPM,2019,5,29.5
MERGE_GPM,2019,6,13.72
MERGE_GPM,2019,7,14.53
MERGE_GPM,2019,8,13.41
MERGE_GPM,2019,9,51.86
MERGE_GPM,2019,10,88.41
MERGE_GPM,2019,11,134.17
MERGE_GPM,2019,12,161.15
MERGE_GPM,2020,1,181.19
MERGE_GPM,2020,2,332.75
MERGE_GPM,2020,3,141.74
MERGE_GPM,2020,4,24.49
MERGE_GPM,2020,5,18.19
MERGE_GPM,2020,6,17.73
MERGE_GPM,2020,7,2.9
MERGE_GPM,2020,8,17.49
MERGE_GPM,2020,9,42.86
MERGE_GPM,2020,10,62.15
MERGE_GPM,2020,11,177.07
MERGE_GPM,2020,12,343.01
