,year_month,accumulate_cecilia,accumulate_rioparaiba,accumulate_funil,accumulate_branca,accumulate_jaguari,accumulate_paraibuna,Paraiba_do_sul_total
0,200006,2.15,1.95,2.08,6.0,5.44,4.99,22.61
1,200007,53.34,19.88,55.24,50.63,54.25,65.4,298.74
2,200008,48.95,37.73,68.39,69.62,59.28,72.96,356.93
3,200009,95.07,96.04,87.14,118.12,85.49,106.99,588.85
4,200010,71.01,76.34,58.67,54.07,40.94,77.22,378.25
5,200011,197.68,192.3,168.04,204.92,159.42,204.39,1126.75
6,200012,262.64,233.21,240.19,226.85,239.35,243.64,1445.88
7,200101,142.19,166.65,127.45,106.35,158.39,141.82,842.8499999999999
8,200102,203.76,128.76,148.04,123.23,209.69,158.37,971.85
9,200103,187.21,155.78,120.09,111.45,151.71,166.3,892.5400000000002
10,200104,40.66,32.78,42.76,26.23,54.54,34.25,231.21999999999997
11,200105,55.0,62.62,62.83,78.28,71.62,66.33,396.68
12,200106,7.53,4.57,8.16,8.31,14.46,9.13,52.160000000000004
13,200107,24.38,6.46,20.65,53.84,22.45,48.8,176.57999999999998
14,200108,66.3,14.29,50.94,126.18,56.35,93.56,407.62000000000006
15,200109,41.83,46.73,54.34,54.94,70.0,66.14,333.98
16,200110,100.3,76.07,130.98,113.17,180.88,108.21,709.6100000000001
17,200111,113.32,198.93,158.14,129.22,194.04,137.07,930.72
18,200112,261.24,247.03,203.56,183.67,270.24,181.88,1347.62
19,200201,236.26,180.1,226.82,308.43,320.86,236.26,1508.7300000000002
20,200202,180.98,141.29,186.02,216.57,201.41,215.53,1141.8
21,200203,91.66,75.22,126.27,146.4,210.04,134.23,783.8199999999999
22,200204,27.57,12.45,42.61,50.91,99.06,56.81,289.40999999999997
23,200205,102.5,57.78,62.91,54.28,73.28,75.0,425.75
24,200206,5.4,3.01,3.92,11.97,2.16,30.01,56.47
25,200207,40.26,18.4,17.42,20.72,18.71,25.65,141.16
26,200208,35.84,17.56,60.14,50.77,66.08,48.17,278.56
27,200209,151.86,108.32,115.51,87.87,69.52,118.49,651.57
28,200210,83.09,57.82,94.3,97.87,113.84,120.49,567.41
29,200211,192.14,199.53,201.65,216.39,187.63,241.11,1238.4499999999998
30,200212,248.07,271.98,181.61,167.02,203.29,256.04,1328.01
31,200301,303.1,359.24,306.24,280.26,417.8,279.14,1945.7800000000002
32,200302,81.51,46.82,66.5,85.45,93.47,53.85,427.6
33,200303,166.7,145.65,157.92,137.06,138.48,172.37,918.18
34,200304,69.02,51.45,40.49,45.97,43.04,37.77,287.74
35,200305,29.0,33.77,29.23,16.09,27.35,31.96,167.4
36,200306,15.09,3.04,10.49,6.62,14.53,6.22,55.989999999999995
37,200307,32.17,20.15,17.4,32.56,32.77,22.01,157.06
38,200308,43.25,54.83,25.64,19.91,28.5,28.14,200.26999999999998
39,200309,41.17,42.53,25.68,20.53,27.78,33.27,190.96
40,200310,154.82,101.97,171.39,176.35,177.76,172.54,954.8299999999999
41,200311,190.15,166.44,135.76,122.76,126.49,137.62,879.22
42,200312,147.84,198.72,133.44,127.26,169.4,141.18,917.8399999999999
43,200401,197.26,260.19,179.71,170.13,219.8,194.15,1221.24
44,200402,211.32,251.57,281.18,288.49,331.6,257.1,1621.2599999999998
45,200403,102.04,156.5,134.86,94.16,108.53,105.71,701.8000000000001
46,200404,156.41,140.63,154.94,112.41,195.07,163.13,922.59
47,200405,88.33,44.2,75.44,103.84,88.97,94.28,495.05999999999995
48,200406,48.2,36.33,67.95,69.72,116.95,58.63,397.78000000000003
49,200407,65.66,37.25,79.58,80.81,95.7,99.11,458.11
50,200408,12.02,7.34,4.53,1.7,1.24,6.62,33.449999999999996
51,200409,16.47,6.0,23.92,33.69,45.25,31.72,157.05
52,200410,132.02,105.22,135.44,152.5,177.51,118.44,821.1300000000001
53,200411,138.91,171.5,188.17,175.05,243.21,165.84,1082.6799999999998
54,200412,84.83,252.14,159.79,184.81,226.75,149.04,1057.36
55,200501,269.17,255.35,311.48,220.25,345.31,273.29,1674.85
56,200502,73.06,131.61,62.13,39.91,101.47,50.53,458.71000000000004
57,200503,47.14,144.9,67.46,42.12,221.86,26.29,549.77
58,200504,95.0,55.16,105.48,48.83,93.02,131.85,529.3399999999999
59,200505,66.61,55.0,95.99,110.34,127.3,102.93,558.1700000000001
60,200506,10.93,38.75,21.47,26.03,43.91,37.36,178.45
61,200507,29.92,35.27,38.63,36.0,44.95,57.52,242.29
62,200508,2.52,15.89,7.29,10.84,12.04,11.93,60.51
63,200509,52.94,60.52,95.52,106.97,114.27,91.55,521.77
64,200510,41.2,49.75,130.15,175.62,162.33,131.37,690.4200000000001
65,200511,117.44,185.1,120.5,88.04,149.96,84.55,745.5899999999999
66,200512,165.19,250.71,195.18,163.38,178.06,161.84,1114.36
67,200601,120.84,114.86,189.24,174.94,226.2,198.56,1024.6399999999999
68,200602,241.43,163.01,269.41,288.44,266.12,293.11,1521.52
69,200603,87.81,134.95,199.41,233.12,308.75,170.45,1134.49
70,200604,46.2,67.04,71.23,46.16,62.93,63.84,357.4
71,200605,29.01,29.33,41.09,42.85,32.33,40.33,214.94
