TIPO,year,month,accumulate
MERGE_GPM,2000,6,2.15
MERGE_GPM,2000,7,53.34
MERGE_GPM,2000,8,48.95
MERGE_GPM,2000,9,95.07
MERGE_GPM,2000,10,71.01
MERGE_GPM,2000,11,197.68
MERGE_GPM,2000,12,262.64
MERGE_GPM,2001,1,142.19
MERGE_GPM,2001,2,203.76
MERGE_GPM,2001,3,187.21
MERGE_GPM,2001,4,40.66
MERGE_GPM,2001,5,55
MERGE_GPM,2001,6,7.53
MERGE_GPM,2001,7,24.38
MERGE_GPM,2001,8,66.3
MERGE_GPM,2001,9,41.83
MERGE_GPM,2001,10,100.3
MERGE_GPM,2001,11,113.32
MERGE_GPM,2001,12,261.24
MERGE_GPM,2002,1,236.26
MERGE_GPM,2002,2,180.98
MERGE_GPM,2002,3,91.66
MERGE_GPM,2002,4,27.57
MERGE_GPM,2002,5,102.5
MERGE_GPM,2002,6,5.4
MERGE_GPM,2002,7,40.26
MERGE_GPM,2002,8,35.84
MERGE_GPM,2002,9,151.86
MERGE_GPM,2002,10,83.09
MERGE_GPM,2002,11,192.14
MERGE_GPM,2002,12,248.07
MERGE_GPM,2003,1,303.1
MERGE_GPM,2003,2,81.51
MERGE_GPM,2003,3,166.7
MERGE_GPM,2003,4,69.02
MERGE_GPM,2003,5,29
MERGE_GPM,2003,6,15.09
MERGE_GPM,2003,7,32.17
MERGE_GPM,2003,8,43.25
MERGE_GPM,2003,9,41.17
MERGE_GPM,2003,10,154.82
MERGE_GPM,2003,11,190.15
MERGE_GPM,2003,12,147.84
MERGE_GPM,2004,1,197.26
MERGE_GPM,2004,2,211.32
MERGE_GPM,2004,3,102.04
MERGE_GPM,2004,4,156.41
MERGE_GPM,2004,5,88.33
MERGE_GPM,2004,6,48.2
MERGE_GPM,2004,7,65.66
MERGE_GPM,2004,8,12.02
MERGE_GPM,2004,9,16.47
MERGE_GPM,2004,10,132.02
MERGE_GPM,2004,11,138.91
MERGE_GPM,2004,12,84.83
MERGE_GPM,2005,1,269.17
MERGE_GPM,2005,2,73.06
MERGE_GPM,2005,3,47.14
MERGE_GPM,2005,4,95
MERGE_GPM,2005,5,66.61
MERGE_GPM,2005,6,10.93
MERGE_GPM,2005,7,29.92
MERGE_GPM,2005,8,2.52
MERGE_GPM,2005,9,52.94
MERGE_GPM,2005,10,41.2
MERGE_GPM,2005,11,117.44
MERGE_GPM,2005,12,165.19
MERGE_GPM,2006,1,120.84
MERGE_GPM,2006,2,241.43
MERGE_GPM,2006,3,87.81
MERGE_GPM,2006,4,46.2
MERGE_GPM,2006,5,29.01
MERGE_GPM,2006,6,11.47
MERGE_GPM,2006,7,21.6
MERGE_GPM,2006,8,21.98
MERGE_GPM,2006,9,54.38
MERGE_GPM,2006,10,117.03
MERGE_GPM,2006,11,174.6
MERGE_GPM,2006,12,182.2
MERGE_GPM,2007,1,262.14
MERGE_GPM,2007,2,107.55
MERGE_GPM,2007,3,85.6
MERGE_GPM,2007,4,70.35
MERGE_GPM,2007,5,39.99
MERGE_GPM,2007,6,7.44
MERGE_GPM,2007,7,35.27
MERGE_GPM,2007,8,1.94
MERGE_GPM,2007,9,18.58
MERGE_GPM,2007,10,72.19
MERGE_GPM,2007,11,134.63
MERGE_GPM,2007,12,117.77
MERGE_GPM,2008,1,165.49
