TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.95
MERGE_GPM,2000,7,19.88
MERGE_GPM,2000,8,37.73
MERGE_GPM,2000,9,96.04
MERGE_GPM,2000,10,76.34
MERGE_GPM,2000,11,192.3
MERGE_GPM,2000,12,233.21
MERGE_GPM,2001,1,166.65
MERGE_GPM,2001,2,128.76
MERGE_GPM,2001,3,155.78
MERGE_GPM,2001,4,32.78
MERGE_GPM,2001,5,62.62
MERGE_GPM,2001,6,4.57
MERGE_GPM,2001,7,6.46
MERGE_GPM,2001,8,14.29
MERGE_GPM,2001,9,46.73
MERGE_GPM,2001,10,76.07
MERGE_GPM,2001,11,198.93
MERGE_GPM,2001,12,247.03
MERGE_GPM,2002,1,180.1
MERGE_GPM,2002,2,141.29
MERGE_GPM,2002,3,75.22
MERGE_GPM,2002,4,12.45
MERGE_GPM,2002,5,57.78
MERGE_GPM,2002,6,3.01
MERGE_GPM,2002,7,18.4
MERGE_GPM,2002,8,17.56
MERGE_GPM,2002,9,108.32
MERGE_GPM,2002,10,57.82
MERGE_GPM,2002,11,199.53
MERGE_GPM,2002,12,271.98
MERGE_GPM,2003,1,359.24
MERGE_GPM,2003,2,46.82
MERGE_GPM,2003,3,145.65
MERGE_GPM,2003,4,51.45
MERGE_GPM,2003,5,33.77
MERGE_GPM,2003,6,3.04
MERGE_GPM,2003,7,20.15
MERGE_GPM,2003,8,54.83
MERGE_GPM,2003,9,42.53
MERGE_GPM,2003,10,101.97
MERGE_GPM,2003,11,166.44
MERGE_GPM,2003,12,198.72
MERGE_GPM,2004,1,260.19
MERGE_GPM,2004,2,251.57
MERGE_GPM,2004,3,156.5
MERGE_GPM,2004,4,140.63
MERGE_GPM,2004,5,44.2
MERGE_GPM,2004,6,36.33
MERGE_GPM,2004,7,37.25
MERGE_GPM,2004,8,7.34
MERGE_GPM,2004,9,6
MERGE_GPM,2004,10,105.22
MERGE_GPM,2004,11,171.5
MERGE_GPM,2004,12,252.14
MERGE_GPM,2005,1,255.35
MERGE_GPM,2005,2,131.61
MERGE_GPM,2005,3,144.9
MERGE_GPM,2005,4,55.16
MERGE_GPM,2005,5,55
MERGE_GPM,2005,6,38.75
MERGE_GPM,2005,7,35.27
MERGE_GPM,2005,8,15.89
MERGE_GPM,2005,9,60.52
MERGE_GPM,2005,10,49.75
