TIPO,year,month,accumulate
MERGE_GPM,2000,6,2.08
MERGE_GPM,2000,7,55.24
MERGE_GPM,2000,8,68.39
MERGE_GPM,2000,9,87.14
MERGE_GPM,2000,10,58.67
MERGE_GPM,2000,11,168.04
MERGE_GPM,2000,12,240.19
MERGE_GPM,2001,1,127.45
MERGE_GPM,2001,2,148.04
MERGE_GPM,2001,3,120.09
MERGE_GPM,2001,4,42.76
MERGE_GPM,2001,5,62.83
MERGE_GPM,2001,6,8.16
MERGE_GPM,2001,7,20.65
MERGE_GPM,2001,8,50.94
MERGE_GPM,2001,9,54.34
MERGE_GPM,2001,10,130.98
MERGE_GPM,2001,11,158.14
MERGE_GPM,2001,12,203.56
MERGE_GPM,2002,1,226.82
MERGE_GPM,2002,2,186.02
MERGE_GPM,2002,3,126.27
MERGE_GPM,2002,4,42.61
MERGE_GPM,2002,5,62.91
MERGE_GPM,2002,6,3.92
MERGE_GPM,2002,7,17.42
MERGE_GPM,2002,8,60.14
MERGE_GPM,2002,9,115.51
MERGE_GPM,2002,10,94.3
MERGE_GPM,2002,11,201.65
MERGE_GPM,2002,12,181.61
MERGE_GPM,2003,1,306.24
MERGE_GPM,2003,2,66.5
MERGE_GPM,2003,3,157.92
MERGE_GPM,2003,4,40.49
MERGE_GPM,2003,5,29.23
MERGE_GPM,2003,6,10.49
MERGE_GPM,2003,7,17.4
MERGE_GPM,2003,8,25.64
MERGE_GPM,2003,9,25.68
MERGE_GPM,2003,10,171.39
MERGE_GPM,2003,11,135.76
MERGE_GPM,2003,12,133.44
MERGE_GPM,2004,1,179.71
MERGE_GPM,2004,2,281.18
MERGE_GPM,2004,3,134.86
MERGE_GPM,2004,4,154.94
MERGE_GPM,2004,5,75.44
MERGE_GPM,2004,6,67.95
MERGE_GPM,2004,7,79.58
MERGE_GPM,2004,8,4.53
MERGE_GPM,2004,9,23.92
MERGE_GPM,2004,10,135.44
MERGE_GPM,2004,11,188.17
MERGE_GPM,2004,12,159.79
MERGE_GPM,2005,1,311.48
MERGE_GPM,2005,2,62.13
MERGE_GPM,2005,3,67.46
MERGE_GPM,2005,4,105.48
MERGE_GPM,2005,5,95.99
MERGE_GPM,2005,6,21.47
MERGE_GPM,2005,7,38.63
MERGE_GPM,2005,8,7.29
MERGE_GPM,2005,9,95.52
MERGE_GPM,2005,10,130.15
MERGE_GPM,2005,11,120.5
MERGE_GPM,2005,12,195.18
MERGE_GPM,2006,1,189.24
MERGE_GPM,2006,2,269.41
MERGE_GPM,2006,3,199.41
MERGE_GPM,2006,4,71.23
MERGE_GPM,2006,5,41.09
MERGE_GPM,2006,6,9.72
MERGE_GPM,2006,7,43.75
MERGE_GPM,2006,8,17.73
MERGE_GPM,2006,9,70.99
MERGE_GPM,2006,10,123.28
MERGE_GPM,2006,11,220.95
MERGE_GPM,2006,12,176.51
MERGE_GPM,2007,1,238.12
MERGE_GPM,2007,2,111.16
MERGE_GPM,2007,3,89.75
MERGE_GPM,2007,4,87.85
MERGE_GPM,2007,5,50.61
MERGE_GPM,2007,6,23.62
MERGE_GPM,2007,7,121.87
MERGE_GPM,2007,8,0.84
MERGE_GPM,2007,9,35.51
MERGE_GPM,2007,10,113.94
MERGE_GPM,2007,11,183.48
MERGE_GPM,2007,12,134.87
