TIPO,year,month,accumulate
MERGE_GPM,2000,6,6
MERGE_GPM,2000,7,50.63
MERGE_GPM,2000,8,69.62
MERGE_GPM,2000,9,118.12
MERGE_GPM,2000,10,54.07
MERGE_GPM,2000,11,204.92
MERGE_GPM,2000,12,226.85
MERGE_GPM,2001,1,106.35
MERGE_GPM,2001,2,123.23
MERGE_GPM,2001,3,111.45
MERGE_GPM,2001,4,26.23
MERGE_GPM,2001,5,78.28
MERGE_GPM,2001,6,8.31
MERGE_GPM,2001,7,53.84
MERGE_GPM,2001,8,126.18
MERGE_GPM,2001,9,54.94
MERGE_GPM,2001,10,113.17
MERGE_GPM,2001,11,129.22
MERGE_GPM,2001,12,183.67
MERGE_GPM,2002,1,308.43
MERGE_GPM,2002,2,216.57
MERGE_GPM,2002,3,146.4
MERGE_GPM,2002,4,50.91
MERGE_GPM,2002,5,54.28
MERGE_GPM,2002,6,11.97
MERGE_GPM,2002,7,20.72
MERGE_GPM,2002,8,50.77
MERGE_GPM,2002,9,87.87
MERGE_GPM,2002,10,97.87
MERGE_GPM,2002,11,216.39
MERGE_GPM,2002,12,167.02
MERGE_GPM,2003,1,280.26
MERGE_GPM,2003,2,85.45
MERGE_GPM,2003,3,137.06
MERGE_GPM,2003,4,45.97
MERGE_GPM,2003,5,16.09
MERGE_GPM,2003,6,6.62
MERGE_GPM,2003,7,32.56
MERGE_GPM,2003,8,19.91
MERGE_GPM,2003,9,20.53
MERGE_GPM,2003,10,176.35
MERGE_GPM,2003,11,122.76
MERGE_GPM,2003,12,127.26
MERGE_GPM,2004,1,170.13
MERGE_GPM,2004,2,288.49
MERGE_GPM,2004,3,94.16
MERGE_GPM,2004,4,112.41
MERGE_GPM,2004,5,103.84
MERGE_GPM,2004,6,69.72
MERGE_GPM,2004,7,80.81
MERGE_GPM,2004,8,1.7
MERGE_GPM,2004,9,33.69
MERGE_GPM,2004,10,152.5
MERGE_GPM,2004,11,175.05
MERGE_GPM,2004,12,184.81
MERGE_GPM,2005,1,220.25
MERGE_GPM,2005,2,39.91
MERGE_GPM,2005,3,42.12
MERGE_GPM,2005,4,48.83
MERGE_GPM,2005,5,110.34
MERGE_GPM,2005,6,26.03
MERGE_GPM,2005,7,36
MERGE_GPM,2005,8,10.84
MERGE_GPM,2005,9,106.97
MERGE_GPM,2005,10,175.62
MERGE_GPM,2005,11,88.04
MERGE_GPM,2005,12,163.38
MERGE_GPM,2006,1,174.94
MERGE_GPM,2006,2,288.44
MERGE_GPM,2006,3,233.12
MERGE_GPM,2006,4,46.16
MERGE_GPM,2006,5,42.85
MERGE_GPM,2006,6,8.97
MERGE_GPM,2006,7,142.74
MERGE_GPM,2006,8,17.63
MERGE_GPM,2006,9,70.38
MERGE_GPM,2006,10,132.29
MERGE_GPM,2006,11,182.94
MERGE_GPM,2006,12,180.32
MERGE_GPM,2007,1,245.49
