TIPO,year,month,accumulate
MERGE_GPM,2000,6,5.44
MERGE_GPM,2000,7,54.25
MERGE_GPM,2000,8,59.28
MERGE_GPM,2000,9,85.49
MERGE_GPM,2000,10,40.94
MERGE_GPM,2000,11,159.42
MERGE_GPM,2000,12,239.35
MERGE_GPM,2001,1,158.39
MERGE_GPM,2001,2,209.69
MERGE_GPM,2001,3,151.71
MERGE_GPM,2001,4,54.54
MERGE_GPM,2001,5,71.62
MERGE_GPM,2001,6,14.46
MERGE_GPM,2001,7,22.45
MERGE_GPM,2001,8,56.35
MERGE_GPM,2001,9,70
MERGE_GPM,2001,10,180.88
MERGE_GPM,2001,11,194.04
MERGE_GPM,2001,12,270.24
MERGE_GPM,2002,1,320.86
MERGE_GPM,2002,2,201.41
MERGE_GPM,2002,3,210.04
MERGE_GPM,2002,4,99.06
MERGE_GPM,2002,5,73.28
MERGE_GPM,2002,6,2.16
MERGE_GPM,2002,7,18.71
MERGE_GPM,2002,8,66.08
MERGE_GPM,2002,9,69.52
MERGE_GPM,2002,10,113.84
MERGE_GPM,2002,11,187.63
MERGE_GPM,2002,12,203.29
MERGE_GPM,2003,1,417.8
MERGE_GPM,2003,2,93.47
MERGE_GPM,2003,3,138.48
MERGE_GPM,2003,4,43.04
MERGE_GPM,2003,5,27.35
MERGE_GPM,2003,6,14.53
MERGE_GPM,2003,7,32.77
MERGE_GPM,2003,8,28.5
MERGE_GPM,2003,9,27.78
MERGE_GPM,2003,10,177.76
MERGE_GPM,2003,11,126.49
MERGE_GPM,2003,12,169.4
MERGE_GPM,2004,1,219.8
MERGE_GPM,2004,2,331.6
MERGE_GPM,2004,3,108.53
MERGE_GPM,2004,4,195.07
MERGE_GPM,2004,5,88.97
MERGE_GPM,2004,6,116.95
MERGE_GPM,2004,7,95.7
MERGE_GPM,2004,8,1.24
MERGE_GPM,2004,9,45.25
MERGE_GPM,2004,10,177.51
MERGE_GPM,2004,11,243.21
MERGE_GPM,2004,12,226.75
MERGE_GPM,2005,1,345.31
MERGE_GPM,2005,2,101.47
MERGE_GPM,2005,3,221.86
MERGE_GPM,2005,4,93.02
MERGE_GPM,2005,5,127.3
MERGE_GPM,2005,6,43.91
MERGE_GPM,2005,7,44.95
MERGE_GPM,2005,8,12.04
MERGE_GPM,2005,9,114.27
MERGE_GPM,2005,10,162.33
MERGE_GPM,2005,11,149.96
MERGE_GPM,2005,12,178.06
MERGE_GPM,2006,1,226.2
MERGE_GPM,2006,2,266.12
MERGE_GPM,2006,3,308.75
MERGE_GPM,2006,4,62.93
MERGE_GPM,2006,5,32.33
MERGE_GPM,2006,6,10.87
MERGE_GPM,2006,7,49.32
MERGE_GPM,2006,8,14.91
MERGE_GPM,2006,9,57.78
MERGE_GPM,2006,10,75.52
MERGE_GPM,2006,11,154.88
MERGE_GPM,2006,12,201.63
MERGE_GPM,2007,1,222.34
MERGE_GPM,2007,2,101.83
MERGE_GPM,2007,3,126.84
MERGE_GPM,2007,4,92.65
MERGE_GPM,2007,5,39.05
MERGE_GPM,2007,6,20.52
MERGE_GPM,2007,7,165.71
MERGE_GPM,2007,8,0.66
MERGE_GPM,2007,9,21.32
MERGE_GPM,2007,10,104.04
MERGE_GPM,2007,11,232
MERGE_GPM,2007,12,141.34
MERGE_GPM,2008,1,244.96
MERGE_GPM,2008,2,173.46
MERGE_GPM,2008,3,176.06
MERGE_GPM,2008,4,122.09
MERGE_GPM,2008,5,32.44
MERGE_GPM,2008,6,54.53
MERGE_GPM,2008,7,0.55
MERGE_GPM,2008,8,69.47
MERGE_GPM,2008,9,30.87
MERGE_GPM,2008,10,84.68
MERGE_GPM,2008,11,103.74
MERGE_GPM,2008,12,106.47
MERGE_GPM,2009,1,311.62
MERGE_GPM,2009,2,198.65
MERGE_GPM,2009,3,118.05
MERGE_GPM,2009,4,46.68
MERGE_GPM,2009,5,38.57
MERGE_GPM,2009,6,32.76
MERGE_GPM,2009,7,106.04
MERGE_GPM,2009,8,75.36
MERGE_GPM,2009,9,152.03
MERGE_GPM,2009,10,149.69
MERGE_GPM,2009,11,184.38
MERGE_GPM,2009,12,266.37
MERGE_GPM,2010,1,238.96
MERGE_GPM,2010,2,143.95
MERGE_GPM,2010,3,123.09
MERGE_GPM,2010,4,53.71
MERGE_GPM,2010,5,25.51
MERGE_GPM,2010,6,9.02
MERGE_GPM,2010,7,86.44
MERGE_GPM,2010,8,2.2
MERGE_GPM,2010,9,75.04
MERGE_GPM,2010,10,52.74
MERGE_GPM,2010,11,95.09
MERGE_GPM,2010,12,191.47
MERGE_GPM,2011,1,287.84
MERGE_GPM,2011,2,107.46
MERGE_GPM,2011,3,128.89
MERGE_GPM,2011,4,65.83
MERGE_GPM,2011,5,11.19
MERGE_GPM,2011,6,46.5
MERGE_GPM,2011,7,0.57
MERGE_GPM,2011,8,18.09
MERGE_GPM,2011,9,16.93
MERGE_GPM,2011,10,98.36
MERGE_GPM,2011,11,190.44
MERGE_GPM,2011,12,98.54
MERGE_GPM,2012,1,302.95
MERGE_GPM,2012,2,197.88
MERGE_GPM,2012,3,122.62
MERGE_GPM,2012,4,138.25
MERGE_GPM,2012,5,68.2
MERGE_GPM,2012,6,186.5
MERGE_GPM,2012,7,69.77
MERGE_GPM,2012,8,2.68
MERGE_GPM,2012,9,18.88
MERGE_GPM,2012,10,140.01
MERGE_GPM,2012,11,98.4
MERGE_GPM,2012,12,328.66
MERGE_GPM,2013,1,191.94
MERGE_GPM,2013,2,221.38
MERGE_GPM,2013,3,188.59
MERGE_GPM,2013,4,74.58
MERGE_GPM,2013,5,43.08
MERGE_GPM,2013,6,55.14
MERGE_GPM,2013,7,69.11
MERGE_GPM,2013,8,8.22
MERGE_GPM,2013,9,37.93
MERGE_GPM,2013,10,116.15
MERGE_GPM,2013,11,128.78
MERGE_GPM,2013,12,126.68
MERGE_GPM,2014,1,121.29
MERGE_GPM,2014,2,121.21
MERGE_GPM,2014,3,124.03
MERGE_GPM,2014,4,102.53
MERGE_GPM,2014,5,47.97
MERGE_GPM,2014,6,9.33
MERGE_GPM,2014,7,40.22
MERGE_GPM,2014,8,45.69
MERGE_GPM,2014,9,49.07
MERGE_GPM,2014,10,26.77
MERGE_GPM,2014,11,140.34
MERGE_GPM,2014,12,171.71
MERGE_GPM,2015,1,135.34
MERGE_GPM,2015,2,297.38
MERGE_GPM,2015,3,223.1
MERGE_GPM,2015,4,42.5
MERGE_GPM,2015,5,46.62
MERGE_GPM,2015,6,105.81
MERGE_GPM,2015,7,35.36
MERGE_GPM,2015,8,23.99
MERGE_GPM,2015,9,121.98
MERGE_GPM,2015,10,78.83
MERGE_GPM,2015,11,163.67
MERGE_GPM,2015,12,260.06
MERGE_GPM,2016,1,190.66
MERGE_GPM,2016,2,204.65
MERGE_GPM,2016,3,224.87
MERGE_GPM,2016,4,18.26
MERGE_GPM,2016,5,88.99
MERGE_GPM,2016,6,187.82
MERGE_GPM,2016,7,3.13
MERGE_GPM,2016,8,42.72
MERGE_GPM,2016,9,28.34
MERGE_GPM,2016,10,145.68
MERGE_GPM,2016,11,180.67
MERGE_GPM,2016,12,121.25
MERGE_GPM,2017,1,236.86
MERGE_GPM,2017,2,92.41
MERGE_GPM,2017,3,125.91
MERGE_GPM,2017,4,65.3
MERGE_GPM,2017,5,124.98
MERGE_GPM,2017,6,61.56
MERGE_GPM,2017,7,2.25
MERGE_GPM,2017,8,49.55
MERGE_GPM,2017,9,0.23
MERGE_GPM,2017,10,97.79
MERGE_GPM,2017,11,150.84
MERGE_GPM,2017,12,135.4
MERGE_GPM,2018,1,262.24
MERGE_GPM,2018,2,90.13
MERGE_GPM,2018,3,164.66
MERGE_GPM,2018,4,27.11
MERGE_GPM,2018,5,12.79
MERGE_GPM,2018,6,24.57
MERGE_GPM,2018,7,1.45
MERGE_GPM,2018,8,68.24
MERGE_GPM,2018,9,67.4
MERGE_GPM,2018,10,143.36
MERGE_GPM,2018,11,108.58
MERGE_GPM,2018,12,159.62
MERGE_GPM,2019,1,247.58
MERGE_GPM,2019,2,248.59
MERGE_GPM,2019,3,209.55
MERGE_GPM,2019,4,110.95
MERGE_GPM,2019,5,42.63
MERGE_GPM,2019,6,28.51
MERGE_GPM,2019,7,90.09
MERGE_GPM,2019,8,15.53
MERGE_GPM,2019,9,65.78
MERGE_GPM,2019,10,50.73
MERGE_GPM,2019,11,143.87
MERGE_GPM,2019,12,190.16
MERGE_GPM,2020,1,235.61
MERGE_GPM,2020,2,378.58
MERGE_GPM,2020,3,57.74
MERGE_GPM,2020,4,4.67
MERGE_GPM,2020,5,28.8
MERGE_GPM,2020,6,72.58
MERGE_GPM,2020,7,8.64
MERGE_GPM,2020,8,53.51
MERGE_GPM,2020,9,22.03
MERGE_GPM,2020,10,89.54
MERGE_GPM,2020,11,145.69
MERGE_GPM,2020,12,343.46
