TIPO,year,month,accumulate
MERGE_GPM,2000,6,4.99
MERGE_GPM,2000,7,65.4
MERGE_GPM,2000,8,72.96
MERGE_GPM,2000,9,106.99
MERGE_GPM,2000,10,77.22
MERGE_GPM,2000,11,204.39
MERGE_GPM,2000,12,243.64
MERGE_GPM,2001,1,141.82
MERGE_GPM,2001,2,158.37
MERGE_GPM,2001,3,166.3
MERGE_GPM,2001,4,34.25
MERGE_GPM,2001,5,66.33
MERGE_GPM,2001,6,9.13
MERGE_GPM,2001,7,48.8
MERGE_GPM,2001,8,93.56
MERGE_GPM,2001,9,66.14
MERGE_GPM,2001,10,108.21
MERGE_GPM,2001,11,137.07
MERGE_GPM,2001,12,181.88
MERGE_GPM,2002,1,236.26
MERGE_GPM,2002,2,215.53
MERGE_GPM,2002,3,134.23
MERGE_GPM,2002,4,56.81
MERGE_GPM,2002,5,75
MERGE_GPM,2002,6,30.01
MERGE_GPM,2002,7,25.65
MERGE_GPM,2002,8,48.17
MERGE_GPM,2002,9,118.49
MERGE_GPM,2002,10,120.49
MERGE_GPM,2002,11,241.11
MERGE_GPM,2002,12,256.04
MERGE_GPM,2003,1,279.14
MERGE_GPM,2003,2,53.85
MERGE_GPM,2003,3,172.37
MERGE_GPM,2003,4,37.77
MERGE_GPM,2003,5,31.96
MERGE_GPM,2003,6,6.22
MERGE_GPM,2003,7,22.01
MERGE_GPM,2003,8,28.14
MERGE_GPM,2003,9,33.27
MERGE_GPM,2003,10,172.54
MERGE_GPM,2003,11,137.62
MERGE_GPM,2003,12,141.18
MERGE_GPM,2004,1,194.15
MERGE_GPM,2004,2,257.1
MERGE_GPM,2004,3,105.71
MERGE_GPM,2004,4,163.13
MERGE_GPM,2004,5,94.28
MERGE_GPM,2004,6,58.63
MERGE_GPM,2004,7,99.11
MERGE_GPM,2004,8,6.62
MERGE_GPM,2004,9,31.72
MERGE_GPM,2004,10,118.44
MERGE_GPM,2004,11,165.84
MERGE_GPM,2004,12,149.04
MERGE_GPM,2005,1,273.29
MERGE_GPM,2005,2,50.53
MERGE_GPM,2005,3,26.29
MERGE_GPM,2005,4,131.85
MERGE_GPM,2005,5,102.93
MERGE_GPM,2005,6,37.36
MERGE_GPM,2005,7,57.52
MERGE_GPM,2005,8,11.93
MERGE_GPM,2005,9,91.55
MERGE_GPM,2005,10,131.37
MERGE_GPM,2005,11,84.55
MERGE_GPM,2005,12,161.84
MERGE_GPM,2006,1,198.56
MERGE_GPM,2006,2,293.11
MERGE_GPM,2006,3,170.45
MERGE_GPM,2006,4,63.84
MERGE_GPM,2006,5,40.33
MERGE_GPM,2006,6,15.15
MERGE_GPM,2006,7,63.62
MERGE_GPM,2006,8,50.61
MERGE_GPM,2006,9,100.58
MERGE_GPM,2006,10,179.86
MERGE_GPM,2006,11,216.78
MERGE_GPM,2006,12,208.21
MERGE_GPM,2007,1,225.19
MERGE_GPM,2007,2,140.34
MERGE_GPM,2007,3,87.22
MERGE_GPM,2007,4,133.69
MERGE_GPM,2007,5,73.08
MERGE_GPM,2007,6,45.69
MERGE_GPM,2007,7,132.65
MERGE_GPM,2007,8,16.93
MERGE_GPM,2007,9,53.68
MERGE_GPM,2007,10,149.21
MERGE_GPM,2007,11,176.13
MERGE_GPM,2007,12,137.15
MERGE_GPM,2008,1,194.98
MERGE_GPM,2008,2,219.47
MERGE_GPM,2008,3,170.22
MERGE_GPM,2008,4,132.04
MERGE_GPM,2008,5,22.29
MERGE_GPM,2008,6,41.36
MERGE_GPM,2008,7,1.81
MERGE_GPM,2008,8,75.74
MERGE_GPM,2008,9,56.77
MERGE_GPM,2008,10,117.54
MERGE_GPM,2008,11,195.34
MERGE_GPM,2008,12,192.01
MERGE_GPM,2009,1,251.06
MERGE_GPM,2009,2,261.52
MERGE_GPM,2009,3,140.76
MERGE_GPM,2009,4,93.47
MERGE_GPM,2009,5,47.57
MERGE_GPM,2009,6,53.29
