,year_month,accumulate_rioparaiba,accumulate_paraibuna,Paraiba_do_sul_total
0,200006,1.95,4.99,6.94
1,200007,19.88,65.4,85.28
2,200008,37.73,72.96,110.69
3,200009,96.04,106.99,203.03
4,200010,76.34,77.22,153.56
5,200011,192.3,204.39,396.69
6,200012,233.21,243.64,476.85
7,200101,166.65,141.82,308.47
8,200102,128.76,158.37,287.13
9,200103,155.78,166.3,322.08000000000004
10,200104,32.78,34.25,67.03
11,200105,62.62,66.33,128.95
12,200106,4.57,9.13,13.700000000000001
13,200107,6.46,48.8,55.26
14,200108,14.29,93.56,107.85
15,200109,46.73,66.14,112.87
16,200110,76.07,108.21,184.27999999999997
17,200111,198.93,137.07,336.0
18,200112,247.03,181.88,428.90999999999997
19,200201,180.1,236.26,416.36
20,200202,141.29,215.53,356.82
21,200203,75.22,134.23,209.45
22,200204,12.45,56.81,69.26
23,200205,57.78,75.0,132.78
24,200206,3.01,30.01,33.02
25,200207,18.4,25.65,44.05
26,200208,17.56,48.17,65.73
27,200209,108.32,118.49,226.81
28,200210,57.82,120.49,178.31
29,200211,199.53,241.11,440.64
30,200212,271.98,256.04,528.02
31,200301,359.24,279.14,638.38
32,200302,46.82,53.85,100.67
33,200303,145.65,172.37,318.02
34,200304,51.45,37.77,89.22
35,200305,33.77,31.96,65.73
36,200306,3.04,6.22,9.26
37,200307,20.15,22.01,42.16
38,200308,54.83,28.14,82.97
39,200309,42.53,33.27,75.80000000000001
40,200310,101.97,172.54,274.51
41,200311,166.44,137.62,304.06
42,200312,198.72,141.18,339.9
43,200401,260.19,194.15,454.34000000000003
44,200402,251.57,257.1,508.67
45,200403,156.5,105.71,262.21
46,200404,140.63,163.13,303.76
47,200405,44.2,94.28,138.48000000000002
48,200406,36.33,58.63,94.96000000000001
49,200407,37.25,99.11,136.36
50,200408,7.34,6.62,13.96
51,200409,6.0,31.72,37.72
52,200410,105.22,118.44,223.66
53,200411,171.5,165.84,337.34000000000003
54,200412,252.14,149.04,401.17999999999995
55,200501,255.35,273.29,528.64
56,200502,131.61,50.53,182.14000000000001
57,200503,144.9,26.29,171.19
58,200504,55.16,131.85,187.01
59,200505,55.0,102.93,157.93
60,200506,38.75,37.36,76.11
61,200507,35.27,57.52,92.79
62,200508,15.89,11.93,27.82
63,200509,60.52,91.55,152.07
64,200510,49.75,131.37,181.12
65,200511,185.1,84.55,269.65
66,200512,250.71,161.84,412.55
