TIPO,year,month,accumulate
MERGE_GPM,2000,6,33.49
MERGE_GPM,2000,7,37.72
MERGE_GPM,2000,8,48.67
MERGE_GPM,2000,9,131.92
MERGE_GPM,2000,10,36.48
MERGE_GPM,2000,11,142.59
MERGE_GPM,2000,12,198.12
MERGE_GPM,2001,1,142.71
MERGE_GPM,2001,2,145.4
MERGE_GPM,2001,3,161.51
MERGE_GPM,2001,4,63.26
MERGE_GPM,2001,5,112.42
MERGE_GPM,2001,6,27.74
MERGE_GPM,2001,7,21.86
MERGE_GPM,2001,8,43.23
MERGE_GPM,2001,9,64.4
MERGE_GPM,2001,10,85.1
MERGE_GPM,2001,11,159.66
MERGE_GPM,2001,12,244.01
MERGE_GPM,2002,1,190.83
MERGE_GPM,2002,2,227.52
MERGE_GPM,2002,3,131.3
MERGE_GPM,2002,4,61.31
MERGE_GPM,2002,5,96.78
MERGE_GPM,2002,6,30.97
MERGE_GPM,2002,7,52.98
MERGE_GPM,2002,8,27.6
MERGE_GPM,2002,9,72.38
MERGE_GPM,2002,10,29.07
MERGE_GPM,2002,11,150.16
MERGE_GPM,2002,12,130.3
MERGE_GPM,2003,1,363.25
MERGE_GPM,2003,2,121.35
MERGE_GPM,2003,3,180.49
MERGE_GPM,2003,4,98.59
MERGE_GPM,2003,5,45.18
MERGE_GPM,2003,6,13.27
MERGE_GPM,2003,7,3.09
MERGE_GPM,2003,8,25.6
MERGE_GPM,2003,9,18.35
MERGE_GPM,2003,10,101.77
MERGE_GPM,2003,11,116.94
MERGE_GPM,2003,12,147.72
MERGE_GPM,2004,1,257.28
MERGE_GPM,2004,2,153.02
MERGE_GPM,2004,3,60.67
MERGE_GPM,2004,4,71.8
MERGE_GPM,2004,5,101.18
MERGE_GPM,2004,6,41.58
MERGE_GPM,2004,7,33.2
MERGE_GPM,2004,8,2.52
MERGE_GPM,2004,9,6.75
MERGE_GPM,2004,10,163
MERGE_GPM,2004,11,179.06
MERGE_GPM,2004,12,247.12
MERGE_GPM,2005,1,412.38
MERGE_GPM,2005,2,42.97
MERGE_GPM,2005,3,105.42
MERGE_GPM,2005,4,36.58
MERGE_GPM,2005,5,90.11
MERGE_GPM,2005,6,26.61
MERGE_GPM,2005,7,54.27
MERGE_GPM,2005,8,7.84
MERGE_GPM,2005,9,71.48
MERGE_GPM,2005,10,126.11
MERGE_GPM,2005,11,158.11
MERGE_GPM,2005,12,300.44
MERGE_GPM,2006,1,235.07
MERGE_GPM,2006,2,391.06
MERGE_GPM,2006,3,150.29
MERGE_GPM,2006,4,61.94
MERGE_GPM,2006,5,53.97
MERGE_GPM,2006,6,6.83
MERGE_GPM,2006,7,3.21
MERGE_GPM,2006,8,25.05
MERGE_GPM,2006,9,59.77
MERGE_GPM,2006,10,146.2
MERGE_GPM,2006,11,145.56
MERGE_GPM,2006,12,308.07
MERGE_GPM,2007,1,551.1
MERGE_GPM,2007,2,156.4
MERGE_GPM,2007,3,147.44
MERGE_GPM,2007,4,34.65
MERGE_GPM,2007,5,86.45
MERGE_GPM,2007,6,1.78
MERGE_GPM,2007,7,45.56
MERGE_GPM,2007,8,0.48
MERGE_GPM,2007,9,8.93
MERGE_GPM,2007,10,50.56
MERGE_GPM,2007,11,102.82
MERGE_GPM,2007,12,165.15
MERGE_GPM,2008,1,335.43
MERGE_GPM,2008,2,179.08
MERGE_GPM,2008,3,164.27
MERGE_GPM,2008,4,113.16
MERGE_GPM,2008,5,47.16
MERGE_GPM,2008,6,2.35
MERGE_GPM,2008,7,0.11
MERGE_GPM,2008,8,22.31
MERGE_GPM,2008,9,11.48
MERGE_GPM,2008,10,101.63
MERGE_GPM,2008,11,102.67
MERGE_GPM,2008,12,153.53
MERGE_GPM,2009,1,292.07
MERGE_GPM,2009,2,240.61
MERGE_GPM,2009,3,203.75
MERGE_GPM,2009,4,30.15
MERGE_GPM,2009,5,44.75
MERGE_GPM,2009,6,27.89
MERGE_GPM,2009,7,29.02
MERGE_GPM,2009,8,52.79
MERGE_GPM,2009,9,176.13
MERGE_GPM,2009,10,105.32
MERGE_GPM,2009,11,159.99
MERGE_GPM,2009,12,286.9
MERGE_GPM,2010,1,249.85
MERGE_GPM,2010,2,152.03
MERGE_GPM,2010,3,147.25
MERGE_GPM,2010,4,43.45
MERGE_GPM,2010,5,16.16
MERGE_GPM,2010,6,7.86
MERGE_GPM,2010,7,1.3
MERGE_GPM,2010,8,1.89
MERGE_GPM,2010,9,73.95
MERGE_GPM,2010,10,86.49
MERGE_GPM,2010,11,98.96
MERGE_GPM,2010,12,130.04
MERGE_GPM,2011,1,327.18
MERGE_GPM,2011,2,260.15
MERGE_GPM,2011,3,374.87
MERGE_GPM,2011,4,107.77
MERGE_GPM,2011,5,16.36
MERGE_GPM,2011,6,45.63
MERGE_GPM,2011,7,1.18
MERGE_GPM,2011,8,13.39
MERGE_GPM,2011,9,11.69
MERGE_GPM,2011,10,104.84
MERGE_GPM,2011,11,119.17
MERGE_GPM,2011,12,129.01
MERGE_GPM,2012,1,306.08
MERGE_GPM,2012,2,69.33
MERGE_GPM,2012,3,86.35
MERGE_GPM,2012,4,78.88
MERGE_GPM,2012,5,59.29
MERGE_GPM,2012,6,139.09
MERGE_GPM,2012,7,8.6
MERGE_GPM,2012,8,0
MERGE_GPM,2012,9,73.44
MERGE_GPM,2012,10,37.64
MERGE_GPM,2012,11,136.97
MERGE_GPM,2012,12,204.89
MERGE_GPM,2013,1,206.03
MERGE_GPM,2013,2,211.74
MERGE_GPM,2013,3,203.63
MERGE_GPM,2013,4,53.87
MERGE_GPM,2013,5,34.29
MERGE_GPM,2013,6,105.48
MERGE_GPM,2013,7,23.31
MERGE_GPM,2013,8,0.33
MERGE_GPM,2013,9,48.81
MERGE_GPM,2013,10,92.36
MERGE_GPM,2013,11,99.8
MERGE_GPM,2013,12,169.34
MERGE_GPM,2014,1,165.77
MERGE_GPM,2014,2,113.74
MERGE_GPM,2014,3,257.91
MERGE_GPM,2014,4,43.96
MERGE_GPM,2014,5,26.76
MERGE_GPM,2014,6,7.79
MERGE_GPM,2014,7,84.34
MERGE_GPM,2014,8,0.47
MERGE_GPM,2014,9,81.76
MERGE_GPM,2014,10,76.59
MERGE_GPM,2014,11,227.91
MERGE_GPM,2014,12,160.98
MERGE_GPM,2015,1,138.62
MERGE_GPM,2015,2,239.17
MERGE_GPM,2015,3,188.7
