TIPO,year,month,accumulate
MERGE_GPM,2000,6,60.73
MERGE_GPM,2000,7,56.22
MERGE_GPM,2000,8,108.89
MERGE_GPM,2000,9,177.23
MERGE_GPM,2000,10,113.33
MERGE_GPM,2000,11,151.04
MERGE_GPM,2000,12,189.53
MERGE_GPM,2001,1,177.99
MERGE_GPM,2001,2,247.22
MERGE_GPM,2001,3,155.05
MERGE_GPM,2001,4,101.64
MERGE_GPM,2001,5,111.27
MERGE_GPM,2001,6,71.09
MERGE_GPM,2001,7,43.76
MERGE_GPM,2001,8,63.46
MERGE_GPM,2001,9,111.73
MERGE_GPM,2001,10,95.31
MERGE_GPM,2001,11,189.25
MERGE_GPM,2001,12,183.62
MERGE_GPM,2002,1,190.09
MERGE_GPM,2002,2,170.12
MERGE_GPM,2002,3,77.39
MERGE_GPM,2002,4,23.27
MERGE_GPM,2002,5,205.05
MERGE_GPM,2002,6,8.32
MERGE_GPM,2002,7,61.72
MERGE_GPM,2002,8,56.53
MERGE_GPM,2002,9,100.29
MERGE_GPM,2002,10,109.43
MERGE_GPM,2002,11,169.65
MERGE_GPM,2002,12,130.28
MERGE_GPM,2003,1,287.19
MERGE_GPM,2003,2,194.47
MERGE_GPM,2003,3,116.64
MERGE_GPM,2003,4,134.34
MERGE_GPM,2003,5,50.03
MERGE_GPM,2003,6,61.15
MERGE_GPM,2003,7,42.82
MERGE_GPM,2003,8,45.83
MERGE_GPM,2003,9,104.96
MERGE_GPM,2003,10,149.37
MERGE_GPM,2003,11,150.57
MERGE_GPM,2003,12,171.97
MERGE_GPM,2004,1,127.33
MERGE_GPM,2004,2,107.98
MERGE_GPM,2004,3,105
MERGE_GPM,2004,4,117.07
MERGE_GPM,2004,5,227.01
MERGE_GPM,2004,6,94.73
MERGE_GPM,2004,7,77.1
MERGE_GPM,2004,8,5.44
MERGE_GPM,2004,9,35.2
MERGE_GPM,2004,10,217.83
MERGE_GPM,2004,11,200.76
MERGE_GPM,2004,12,138.45
MERGE_GPM,2005,1,270.26
MERGE_GPM,2005,2,43.77
MERGE_GPM,2005,3,42.7
MERGE_GPM,2005,4,105.21
MERGE_GPM,2005,5,88.17
MERGE_GPM,2005,6,99.26
MERGE_GPM,2005,7,31.21
MERGE_GPM,2005,8,16.59
MERGE_GPM,2005,9,139.83
MERGE_GPM,2005,10,273.7
MERGE_GPM,2005,11,99.76
MERGE_GPM,2005,12,160.04
MERGE_GPM,2006,1,178.42
MERGE_GPM,2006,2,183.16
MERGE_GPM,2006,3,157.51
MERGE_GPM,2006,4,76.37
MERGE_GPM,2006,5,28.27
MERGE_GPM,2006,6,32.97
MERGE_GPM,2006,7,27.48
MERGE_GPM,2006,8,36.84
MERGE_GPM,2006,9,118.39
MERGE_GPM,2006,10,107.92
MERGE_GPM,2006,11,121.06
MERGE_GPM,2006,12,221.32
MERGE_GPM,2007,1,244.68
MERGE_GPM,2007,2,147
MERGE_GPM,2007,3,91.36
MERGE_GPM,2007,4,90.12
MERGE_GPM,2007,5,66.98
MERGE_GPM,2007,6,3.26
MERGE_GPM,2007,7,78.97
MERGE_GPM,2007,8,8.11
MERGE_GPM,2007,9,13.32
MERGE_GPM,2007,10,63.68
MERGE_GPM,2007,11,146.89
MERGE_GPM,2007,12,121.29
MERGE_GPM,2008,1,149.42
MERGE_GPM,2008,2,130.55
MERGE_GPM,2008,3,87.16
MERGE_GPM,2008,4,80.46
MERGE_GPM,2008,5,47.67
MERGE_GPM,2008,6,36.81
MERGE_GPM,2008,7,16.05
MERGE_GPM,2008,8,88.02
MERGE_GPM,2008,9,36.79
MERGE_GPM,2008,10,115.41
MERGE_GPM,2008,11,114.58
MERGE_GPM,2008,12,77.89
MERGE_GPM,2009,1,259.24
MERGE_GPM,2009,2,157.79
MERGE_GPM,2009,3,118.28
MERGE_GPM,2009,4,21.81
MERGE_GPM,2009,5,123.34
MERGE_GPM,2009,6,71.94
MERGE_GPM,2009,7,119.32
MERGE_GPM,2009,8,115.3
MERGE_GPM,2009,9,135.2
MERGE_GPM,2009,10,205.26
MERGE_GPM,2009,11,171.69
MERGE_GPM,2009,12,211.99
MERGE_GPM,2010,1,235.66
MERGE_GPM,2010,2,164.93
MERGE_GPM,2010,3,117.6
MERGE_GPM,2010,4,69.98
MERGE_GPM,2010,5,81.83
MERGE_GPM,2010,6,16.62
MERGE_GPM,2010,7,48.86
MERGE_GPM,2010,8,8.31
MERGE_GPM,2010,9,170.62
MERGE_GPM,2010,10,121.07
MERGE_GPM,2010,11,128.09
MERGE_GPM,2010,12,197.72
MERGE_GPM,2011,1,192.04
MERGE_GPM,2011,2,208.1
MERGE_GPM,2011,3,184.86
MERGE_GPM,2011,4,99.98
MERGE_GPM,2011,5,11.91
MERGE_GPM,2011,6,50.65
MERGE_GPM,2011,7,61.18
MERGE_GPM,2011,8,78.88
MERGE_GPM,2011,9,36.2
MERGE_GPM,2011,10,174.26
MERGE_GPM,2011,11,125.83
MERGE_GPM,2011,12,77.69
MERGE_GPM,2012,1,179.26
MERGE_GPM,2012,2,99.08
MERGE_GPM,2012,3,83.48
MERGE_GPM,2012,4,133.6
MERGE_GPM,2012,5,87.41
MERGE_GPM,2012,6,198.4
MERGE_GPM,2012,7,28.24
MERGE_GPM,2012,8,4.79
MERGE_GPM,2012,9,75.37
MERGE_GPM,2012,10,111.46
MERGE_GPM,2012,11,100.14
MERGE_GPM,2012,12,149.66
MERGE_GPM,2013,1,119.77
MERGE_GPM,2013,2,183.38
MERGE_GPM,2013,3,171.64
MERGE_GPM,2013,4,116.74
MERGE_GPM,2013,5,92.89
MERGE_GPM,2013,6,194.95
MERGE_GPM,2013,7,41.14
MERGE_GPM,2013,8,6.51
MERGE_GPM,2013,9,76.54
MERGE_GPM,2013,10,148.65
MERGE_GPM,2013,11,102.54
MERGE_GPM,2013,12,109.99
MERGE_GPM,2014,1,155.01
MERGE_GPM,2014,2,120.49
MERGE_GPM,2014,3,166.02
MERGE_GPM,2014,4,109.26
MERGE_GPM,2014,5,115.15
MERGE_GPM,2014,6,112.01
MERGE_GPM,2014,7,120.23
MERGE_GPM,2014,8,15.78
MERGE_GPM,2014,9,176.44
MERGE_GPM,2014,10,54.23
MERGE_GPM,2014,11,158.28
MERGE_GPM,2014,12,161.91
MERGE_GPM,2015,1,144.19
MERGE_GPM,2015,2,157.07
MERGE_GPM,2015,3,113.88
MERGE_GPM,2015,4,71.01
MERGE_GPM,2015,5,128.52
MERGE_GPM,2015,6,50.35
MERGE_GPM,2015,7,194.89
MERGE_GPM,2015,8,27.12
MERGE_GPM,2015,9,134.34
MERGE_GPM,2015,10,133.58
MERGE_GPM,2015,11,260.08
MERGE_GPM,2015,12,222.97
MERGE_GPM,2016,1,162.36
MERGE_GPM,2016,2,183.29
MERGE_GPM,2016,3,94.64
MERGE_GPM,2016,4,60.16
MERGE_GPM,2016,5,168.92
MERGE_GPM,2016,6,62.5
MERGE_GPM,2016,7,31.25
MERGE_GPM,2016,8,110.48
MERGE_GPM,2016,9,41.16
MERGE_GPM,2016,10,144.63
MERGE_GPM,2016,11,72.41
MERGE_GPM,2016,12,181.32
MERGE_GPM,2017,1,201.18
MERGE_GPM,2017,2,140.46
MERGE_GPM,2017,3,139.79
MERGE_GPM,2017,4,143.19
MERGE_GPM,2017,5,150.54
MERGE_GPM,2017,6,63.54
MERGE_GPM,2017,7,0.91
MERGE_GPM,2017,8,93
MERGE_GPM,2017,9,15.66
MERGE_GPM,2017,10,207.03
MERGE_GPM,2017,11,176.9
MERGE_GPM,2017,12,220.89
MERGE_GPM,2018,1,200.31
MERGE_GPM,2018,2,128.97
MERGE_GPM,2018,3,169.34
MERGE_GPM,2018,4,28.25
MERGE_GPM,2018,5,43.92
MERGE_GPM,2018,6,36.35
MERGE_GPM,2018,7,0.85
MERGE_GPM,2018,8,79.5
MERGE_GPM,2018,9,135.5
MERGE_GPM,2018,10,228.18
MERGE_GPM,2018,11,144.45
MERGE_GPM,2018,12,89.56
MERGE_GPM,2019,1,141.03
MERGE_GPM,2019,2,169.13
MERGE_GPM,2019,3,151.49
MERGE_GPM,2019,4,85.99
MERGE_GPM,2019,5,93.98
MERGE_GPM,2019,6,32.92
MERGE_GPM,2019,7,34.66
MERGE_GPM,2019,8,9.31
MERGE_GPM,2019,9,44.8
MERGE_GPM,2019,10,78.92
MERGE_GPM,2019,11,131.74
MERGE_GPM,2019,12,240.64
MERGE_GPM,2020,1,153.05
MERGE_GPM,2020,2,157.25
MERGE_GPM,2020,3,62.24
MERGE_GPM,2020,4,70.1
MERGE_GPM,2020,5,76.08
MERGE_GPM,2020,6,80.11
MERGE_GPM,2020,7,15.47
MERGE_GPM,2020,8,110.41
MERGE_GPM,2020,9,14.99
MERGE_GPM,2020,10,86.27
MERGE_GPM,2020,11,57.99
MERGE_GPM,2020,12,159.88
