,year_month,year,month,Parana_total
0,200006,2000,6,33.49
1,200007,2000,7,37.72
2,200008,2000,8,48.67
3,200009,2000,9,131.92
4,200010,2000,10,36.48
5,200011,2000,11,142.59
6,200012,2000,12,198.12
7,200101,2001,1,142.71
8,200102,2001,2,145.4
9,200103,2001,3,161.51
10,200104,2001,4,63.26
11,200105,2001,5,112.42
12,200106,2001,6,27.74
13,200107,2001,7,21.86
14,200108,2001,8,43.23
15,200109,2001,9,64.4
16,200110,2001,10,85.1
17,200111,2001,11,159.66
18,200112,2001,12,244.01
19,200201,2002,1,190.83
20,200202,2002,2,227.52
21,200203,2002,3,131.3
22,200204,2002,4,61.31
23,200205,2002,5,96.78
24,200206,2002,6,30.97
25,200207,2002,7,52.98
26,200208,2002,8,27.6
27,200209,2002,9,72.38
28,200210,2002,10,29.07
29,200211,2002,11,150.16
30,200212,2002,12,130.3
31,200301,2003,1,363.25
32,200302,2003,2,121.35
33,200303,2003,3,180.49
34,200304,2003,4,98.59
35,200305,2003,5,45.18
36,200306,2003,6,13.27
37,200307,2003,7,3.09
38,200308,2003,8,25.6
39,200309,2003,9,18.35
40,200310,2003,10,101.77
41,200311,2003,11,116.94
42,200312,2003,12,147.72
43,200401,2004,1,257.28
44,200402,2004,2,153.02
45,200403,2004,3,60.67
46,200404,2004,4,71.8
47,200405,2004,5,101.18
48,200406,2004,6,41.58
49,200407,2004,7,33.2
50,200408,2004,8,2.52
51,200409,2004,9,6.75
52,200410,2004,10,163.0
53,200411,2004,11,179.06
54,200412,2004,12,247.12
55,200501,2005,1,412.38
56,200502,2005,2,42.97
57,200503,2005,3,105.42
58,200504,2005,4,36.58
59,200505,2005,5,90.11
60,200506,2005,6,26.61
61,200507,2005,7,54.27
62,200508,2005,8,7.84
63,200509,2005,9,71.48
64,200510,2005,10,126.11
65,200511,2005,11,158.11
66,200512,2005,12,300.44
67,200601,2006,1,235.07
68,200602,2006,2,391.06
69,200603,2006,3,150.29
70,200604,2006,4,61.94
71,200605,2006,5,53.97
72,200606,2006,6,6.83
73,200607,2006,7,3.21
74,200608,2006,8,25.05
75,200609,2006,9,59.77
76,200610,2006,10,146.2
77,200611,2006,11,145.56
78,200612,2006,12,308.07
79,200701,2007,1,551.1
80,200702,2007,2,156.4
81,200703,2007,3,147.44
82,200704,2007,4,34.65
83,200705,2007,5,86.45
84,200706,2007,6,1.78
85,200707,2007,7,45.56
86,200708,2007,8,0.48
87,200709,2007,9,8.93
88,200710,2007,10,50.56
89,200711,2007,11,102.82
90,200712,2007,12,165.15
91,200801,2008,1,335.43
92,200802,2008,2,179.08
93,200803,2008,3,164.27
94,200804,2008,4,113.16
95,200805,2008,5,47.16
96,200806,2008,6,2.35
97,200807,2008,7,0.11
98,200808,2008,8,22.31
99,200809,2008,9,11.48
100,200810,2008,10,101.63
101,200811,2008,11,102.67
102,200812,2008,12,153.53
103,200901,2009,1,292.07
104,200902,2009,2,240.61
105,200903,2009,3,203.75
106,200904,2009,4,30.15
107,200905,2009,5,44.75
108,200906,2009,6,27.89
109,200907,2009,7,29.02
110,200908,2009,8,52.79
111,200909,2009,9,176.13
112,200910,2009,10,105.32
113,200911,2009,11,159.99
114,200912,2009,12,286.9
115,201001,2010,1,249.85
116,201002,2010,2,152.03
117,201003,2010,3,147.25
118,201004,2010,4,43.45
119,201005,2010,5,16.16
120,201006,2010,6,7.86
121,201007,2010,7,1.3
122,201008,2010,8,1.89
123,201009,2010,9,73.95
124,201010,2010,10,86.49
125,201011,2010,11,98.96
126,201012,2010,12,130.04
127,201101,2011,1,327.18
128,201102,2011,2,260.15
129,201103,2011,3,374.87
130,201104,2011,4,107.77
