,year_month,accumulate_basinp,accumulate_riop,accumulate_simao,accumulate_emborcacao,accumulate_itumbiara,accumulate_corumba,accumulate_corumba1,accumulate_corumba3,accumulate_corumba4,Paranaiba_total
0,200006,0.58,17.33,0.05,0.43,1.13,0.07,0.0,0.0,0.0,19.589999999999996
1,200007,12.87,27.35,8.9,6.19,10.8,10.77,9.6,18.63,6.56,111.66999999999999
2,200008,37.64,7.96,22.12,22.61,12.7,23.15,33.6,35.79,35.58,231.14999999999998
3,200009,119.91,15.01,86.88,94.81,119.55,123.19,153.88,135.09,129.07,977.3900000000001
4,200010,63.75,9.41,51.57,50.11,57.13,58.1,65.34,51.22,93.62,500.25
5,200011,216.29,90.21,240.55,246.4,211.67,214.53,262.48,241.34,275.15,1998.62
6,200012,257.16,132.6,271.95,248.11,228.39,278.95,258.87,245.25,228.87,2150.15
7,200101,203.12,123.28,166.86,128.5,192.76,145.72,154.03,159.06,178.25,1451.58
8,200102,191.05,159.21,117.34,67.48,99.03,108.79,106.7,136.03,156.31,1141.94
9,200103,159.67,184.77,185.47,215.5,207.61,192.46,238.43,317.88,291.06,1992.85
10,200104,56.33,127.14,54.0,28.67,42.85,51.83,59.21,58.42,87.03,565.48
11,200105,111.81,49.11,83.2,41.44,60.34,74.68,49.74,62.99,54.05,587.3599999999999
12,200106,17.07,24.52,6.05,0.47,3.93,9.21,0.38,1.26,4.06,66.95
13,200107,8.75,5.21,1.57,1.24,8.64,12.12,1.7,0.75,2.11,42.09
14,200108,21.84,0.37,17.63,20.18,28.04,19.45,23.75,46.02,29.42,206.7
15,200109,79.95,14.56,66.88,46.46,66.0,90.52,79.57,77.05,44.49,565.48
16,200110,85.9,35.8,126.97,86.05,118.7,152.36,129.03,168.63,134.18,1037.62
17,200111,200.87,37.74,222.24,234.07,200.89,224.71,192.85,212.47,163.78,1689.62
18,200112,325.54,79.85,217.6,281.71,321.32,238.18,165.51,190.55,141.51,1961.77
19,200201,237.0,268.58,211.28,182.12,220.09,184.73,168.83,197.96,215.68,1886.27
20,200202,348.88,62.12,274.77,315.48,325.1,303.07,257.78,248.41,204.74,2340.3499999999995
21,200203,238.39,119.31,144.78,130.95,121.41,178.85,164.02,148.68,145.26,1391.65
22,200204,20.59,105.14,13.29,20.5,14.43,10.21,31.35,29.94,60.83,306.28000000000003
23,200205,67.87,44.76,22.07,33.14,37.32,31.01,18.02,14.9,18.68,287.77
24,200206,2.61,12.08,0.61,0.18,0.46,0.07,0.02,0.0,0.0,16.029999999999998
25,200207,46.88,6.33,8.8,6.27,5.87,5.89,3.1,0.99,2.68,86.81
26,200208,18.0,0.57,6.83,5.81,3.51,1.7,6.19,15.3,17.69,75.6
27,200209,58.16,19.64,50.7,54.65,51.68,59.27,82.8,101.4,94.69,572.99
28,200210,66.04,11.89,46.67,27.67,47.33,32.28,30.83,43.21,70.45,376.37
29,200211,118.26,29.8,111.5,94.42,109.03,112.5,134.2,197.67,190.04,1097.42
30,200212,211.6,144.65,180.03,213.52,249.32,188.72,213.75,268.8,240.31,1910.6999999999998
31,200301,371.0,152.87,329.67,349.32,431.24,310.15,270.72,269.68,247.34,2731.9900000000002
32,200302,185.4,173.33,179.04,124.66,179.63,230.68,175.13,157.72,159.95,1565.54
33,200303,242.45,248.8,235.7,214.75,200.25,235.28,218.3,269.29,266.37,2131.19
34,200304,143.25,91.89,101.74,60.53,75.82,76.41,75.81,57.45,87.03,769.9300000000001
35,200305,33.13,69.84,18.65,23.16,34.39,11.97,19.67,30.94,11.64,253.39
36,200306,9.69,27.98,7.28,0.03,0.25,0.26,0.04,0.21,1.0,46.74
37,200307,0.69,4.69,0.18,3.12,2.72,0.01,0.17,0.76,3.49,15.83
38,200308,20.38,11.17,13.39,12.91,7.68,14.08,16.71,19.54,31.88,147.73999999999998
39,200309,35.23,3.9,41.08,30.4,54.89,65.5,47.97,35.08,46.54,360.59000000000003
40,200310,131.92,9.87,90.34,62.02,55.15,135.18,89.12,94.07,94.8,762.4699999999998
41,200311,119.13,71.2,157.79,135.22,218.62,269.3,209.27,174.38,173.06,1527.9699999999998
42,200312,250.57,64.63,187.88,156.05,193.62,220.66,135.68,167.23,171.63,1547.9500000000003
43,200401,278.03,436.34,265.68,319.93,324.26,362.66,358.36,426.45,384.95,3156.66
44,200402,289.64,230.81,309.77,343.68,345.99,300.94,304.42,300.45,351.75,2777.45
45,200403,125.37,128.38,162.26,171.7,189.99,218.12,181.78,150.57,264.07,1592.24
46,200404,166.54,110.42,135.7,129.53,105.4,166.43,152.18,125.75,155.67,1247.6200000000001
47,200405,57.77,36.25,23.99,17.71,25.74,11.08,20.46,41.35,32.65,267.0
48,200406,20.56,20.21,3.74,2.79,4.56,0.24,0.75,0.13,0.72,53.7
49,200407,25.87,9.01,15.03,17.16,33.56,15.13,4.08,2.49,4.34,126.67
50,200408,1.91,2.81,0.05,1.37,0.06,0.0,0.16,0.05,0.3,6.709999999999999
51,200409,6.82,3.32,3.86,4.45,3.73,6.51,2.9,0.25,2.04,33.879999999999995
52,200410,145.15,25.76,126.0,48.27,93.23,97.6,85.6,85.79,183.4,890.8
53,200411,161.14,56.25,142.63,113.33,134.21,118.49,120.38,105.01,160.81,1112.25
54,200412,297.77,59.35,193.38,252.38,292.84,200.39,229.28,111.06,220.1,1856.55
55,200501,313.93,181.73,292.21,265.45,340.52,314.63,266.47,114.54,226.45,2315.93
56,200502,61.32,140.63,53.15,95.1,99.93,94.94,113.91,53.54,207.85,920.3699999999999
57,200503,149.19,186.68,148.85,156.76,171.38,133.38,158.31,93.77,327.0,1525.32
58,200504,38.38,90.87,29.45,44.8,19.52,63.14,85.59,137.28,81.64,590.67
59,200505,51.8,62.43,31.55,30.56,75.84,53.36,18.95,9.23,19.12,352.84000000000003
60,200506,19.09,8.61,13.12,14.27,23.77,6.55,3.46,4.07,7.9,100.84
61,200507,8.06,4.63,2.11,4.84,3.74,0.7,0.48,0.2,0.74,25.5
62,200508,12.65,4.22,10.64,7.68,12.79,7.78,14.32,24.04,20.02,114.14
63,200509,85.12,4.48,49.38,43.56,76.93,16.21,39.26,26.9,62.15,403.98999999999995
64,200510,88.19,3.44,97.2,60.84,115.8,67.81,62.5,65.49,70.86,632.13
65,200511,166.13,48.24,177.31,294.77,272.04,213.12,242.45,98.48,190.92,1703.4600000000003
66,200512,307.39,112.61,261.81,301.73,293.09,305.92,347.83,223.4,278.97,2432.75
67,200601,172.23,43.57,119.78,188.5,189.34,100.96,109.32,67.5,87.58,1078.78
68,200602,259.83,181.24,165.24,157.22,157.12,121.8,123.17,107.65,197.84,1471.1100000000001
69,200603,215.9,219.52,213.25,275.98,224.59,204.54,261.66,266.15,217.66,2099.25
70,200604,127.44,217.91,99.14,93.43,89.19,81.87,117.61,157.14,120.48,1104.21
71,200605,22.92,92.47,15.36,22.69,31.89,14.54,25.16,36.83,20.71,282.56999999999994
72,200606,1.15,13.11,2.12,1.44,2.99,0.41,0.35,0.3,0.65,22.520000000000003
73,200607,10.62,2.41,2.7,1.46,0.77,0.09,0.02,0.0,0.05,18.12
74,200608,14.96,3.76,11.33,13.89,22.35,4.78,12.73,7.89,10.51,102.2
75,200609,48.47,12.89,37.95,58.95,60.79,48.26,42.22,26.83,39.72,376.0799999999999
76,200610,201.61,57.6,190.34,191.54,200.47,209.66,248.21,265.78,321.2,1886.41
77,200611,176.81,51.84,171.86,160.96,156.91,125.67,197.02,185.01,210.71,1436.79
78,200612,252.75,73.18,245.19,247.95,278.46,183.51,275.66,265.87,319.39,2141.96
79,200701,274.77,57.2,225.76,328.78,310.98,222.85,285.44,274.66,285.22,2265.66
80,200702,179.9,305.2,177.64,188.75,158.78,165.53,216.55,181.14,241.89,1815.3799999999997
81,200703,125.0,117.64,99.96,39.61,47.97,55.28,54.43,68.87,90.28,699.0399999999998
82,200704,47.67,112.19,41.26,67.67,80.61,56.12,62.43,113.89,166.01,747.85
83,200705,42.15,37.0,19.39,7.56,9.73,3.65,6.43,13.08,6.19,145.18000000000004
84,200706,2.3,10.85,33.08,9.03,6.89,34.24,20.76,3.31,4.89,125.35000000000001
85,200707,20.81,3.79,19.97,14.06,21.01,5.05,1.21,0.18,0.94,87.02
86,200708,0.07,0.56,2.45,0.31,17.16,7.77,49.64,32.26,23.61,133.82999999999998
87,200709,19.73,9.3,12.75,3.47,6.58,4.14,3.24,10.56,6.88,76.64999999999999
88,200710,90.94,11.14,73.83,54.23,66.44,31.65,43.47,37.27,48.43,457.3999999999999
89,200711,88.89,45.39,87.58,113.77,159.4,102.38,165.24,168.2,132.37,1063.2199999999998
90,200712,147.59,61.12,166.43,173.62,258.69,142.13,173.09,179.93,245.37,1547.9700000000003
91,200801,232.76,119.14,255.74,201.34,233.71,194.36,194.31,210.37,229.74,1871.47
92,200802,211.14,131.46,243.7,202.87,257.86,185.21,186.62,146.71,227.63,1793.2000000000003
93,200803,183.63,279.78,200.61,196.59,267.44,159.78,203.66,180.18,196.36,1868.0300000000002
94,200804,102.31,201.78,127.82,101.56,139.6,112.07,167.89,181.57,162.97,1297.5700000000002
95,200805,27.98,46.92,32.62,13.93,22.88,20.82,21.89,18.95,10.5,216.49
96,200806,1.11,6.88,0.82,5.81,7.56,2.42,0.19,0.26,0.6,25.650000000000006
97,200807,0.01,5.55,0.44,0.11,0.56,1.23,0.66,0.4,0.65,9.610000000000001
98,200808,6.73,7.41,4.55,2.87,6.91,2.85,1.49,0.02,0.17,33.00000000000001
99,200809,9.35,2.78,19.22,32.46,47.55,12.03,27.26,22.19,40.28,213.12
100,200810,104.23,4.96,84.37,32.55,77.23,63.13,62.63,38.57,74.7,542.37
101,200811,127.49,50.52,130.6,128.65,103.58,55.51,123.52,75.44,124.84,920.15
102,200812,159.86,113.93,187.77,243.04,274.96,161.64,182.59,159.38,261.41,1744.5799999999997
103,200901,223.31,169.41,229.76,219.79,306.04,253.05,250.65,203.65,209.92,2065.58
104,200902,171.82,174.24,194.96,174.16,209.56,171.33,193.92,195.32,237.18,1722.49
105,200903,209.69,224.85,152.51,145.96,185.0,107.52,201.45,271.88,214.74,1713.6000000000001
106,200904,41.9,281.19,73.23,109.15,98.31,73.89,145.25,196.82,206.2,1225.94
107,200905,26.71,199.67,28.41,48.6,59.53,14.83,48.79,68.69,94.9,590.13
108,200906,24.98,27.83,24.21,35.41,41.12,29.4,30.32,44.46,49.14,306.87
109,200907,12.98,19.01,10.32,10.06,12.02,7.15,7.79,7.61,12.24,99.18
110,200908,36.7,5.98,28.4,36.51,42.67,41.45,49.14,45.14,112.66,398.65
111,200909,121.96,1.78,130.14,79.38,107.05,131.5,99.94,47.73,126.59,846.07
112,200910,149.1,76.96,126.68,140.25,143.5,100.85,188.52,275.01,274.19,1475.06
113,200911,187.04,27.35,199.4,150.85,149.41,154.48,182.53,170.77,245.83,1467.6599999999999
114,200912,283.16,115.98,297.45,242.14,305.04,221.83,270.23,135.64,289.99,2161.46
115,201001,201.57,127.04,186.24,178.06,205.4,171.34,197.04,103.3,159.43,1529.42
116,201002,146.2,69.11,113.95,76.19,107.58,81.02,97.24,40.62,103.46,835.37
117,201003,229.68,168.68,168.08,151.9,177.05,146.5,129.9,83.79,168.47,1424.0500000000002
118,201004,71.13,144.22,68.52,53.48,63.84,42.33,64.6,29.34,102.74,640.2
119,201005,14.81,33.06,11.37,15.35,20.87,5.78,6.64,4.85,3.62,116.35000000000001
120,201006,4.05,24.37,8.35,10.53,12.35,6.19,3.64,1.1,3.84,74.42
121,201007,3.59,3.09,4.63,4.16,3.38,2.8,3.31,1.5,2.66,29.119999999999997
122,201008,1.33,0.51,0.12,0.0,0.03,0.0,0.02,0.03,0.0,2.0399999999999996
123,201009,14.5,0.99,16.92,28.89,41.99,22.88,13.85,7.8,16.12,163.94000000000003
124,201010,145.52,87.84,108.61,93.65,120.93,90.53,134.43,111.32,194.05,1086.8799999999999
