TIPO,year,month,accumulate
MERGE_GPM,2000,6,0.58
MERGE_GPM,2000,7,12.87
MERGE_GPM,2000,8,37.64
MERGE_GPM,2000,9,119.91
MERGE_GPM,2000,10,63.75
MERGE_GPM,2000,11,216.29
MERGE_GPM,2000,12,257.16
MERGE_GPM,2001,1,203.12
MERGE_GPM,2001,2,191.05
MERGE_GPM,2001,3,159.67
MERGE_GPM,2001,4,56.33
MERGE_GPM,2001,5,111.81
MERGE_GPM,2001,6,17.07
MERGE_GPM,2001,7,8.75
MERGE_GPM,2001,8,21.84
MERGE_GPM,2001,9,79.95
MERGE_GPM,2001,10,85.9
MERGE_GPM,2001,11,200.87
MERGE_GPM,2001,12,325.54
MERGE_GPM,2002,1,237
MERGE_GPM,2002,2,348.88
MERGE_GPM,2002,3,238.39
MERGE_GPM,2002,4,20.59
MERGE_GPM,2002,5,67.87
MERGE_GPM,2002,6,2.61
MERGE_GPM,2002,7,46.88
MERGE_GPM,2002,8,18
MERGE_GPM,2002,9,58.16
MERGE_GPM,2002,10,66.04
MERGE_GPM,2002,11,118.26
MERGE_GPM,2002,12,211.6
MERGE_GPM,2003,1,371
MERGE_GPM,2003,2,185.4
MERGE_GPM,2003,3,242.45
MERGE_GPM,2003,4,143.25
MERGE_GPM,2003,5,33.13
MERGE_GPM,2003,6,9.69
MERGE_GPM,2003,7,0.69
MERGE_GPM,2003,8,20.38
MERGE_GPM,2003,9,35.23
MERGE_GPM,2003,10,131.92
MERGE_GPM,2003,11,119.13
MERGE_GPM,2003,12,250.57
MERGE_GPM,2004,1,278.03
MERGE_GPM,2004,2,289.64
MERGE_GPM,2004,3,125.37
MERGE_GPM,2004,4,166.54
MERGE_GPM,2004,5,57.77
MERGE_GPM,2004,6,20.56
MERGE_GPM,2004,7,25.87
MERGE_GPM,2004,8,1.91
MERGE_GPM,2004,9,6.82
MERGE_GPM,2004,10,145.15
MERGE_GPM,2004,11,161.14
MERGE_GPM,2004,12,297.77
MERGE_GPM,2005,1,313.93
MERGE_GPM,2005,2,61.32
MERGE_GPM,2005,3,149.19
MERGE_GPM,2005,4,38.38
MERGE_GPM,2005,5,51.8
MERGE_GPM,2005,6,19.09
MERGE_GPM,2005,7,8.06
MERGE_GPM,2005,8,12.65
MERGE_GPM,2005,9,85.12
MERGE_GPM,2005,10,88.19
MERGE_GPM,2005,11,166.13
MERGE_GPM,2005,12,307.39
MERGE_GPM,2006,1,172.23
MERGE_GPM,2006,2,259.83
