TIPO,year,month,accumulate
MERGE_GPM,2000,6,0.07
MERGE_GPM,2000,7,10.77
MERGE_GPM,2000,8,23.15
MERGE_GPM,2000,9,123.19
MERGE_GPM,2000,10,58.1
MERGE_GPM,2000,11,214.53
MERGE_GPM,2000,12,278.95
MERGE_GPM,2001,1,145.72
MERGE_GPM,2001,2,108.79
MERGE_GPM,2001,3,192.46
MERGE_GPM,2001,4,51.83
MERGE_GPM,2001,5,74.68
MERGE_GPM,2001,6,9.21
MERGE_GPM,2001,7,12.12
MERGE_GPM,2001,8,19.45
MERGE_GPM,2001,9,90.52
MERGE_GPM,2001,10,152.36
MERGE_GPM,2001,11,224.71
MERGE_GPM,2001,12,238.18
MERGE_GPM,2002,1,184.73
MERGE_GPM,2002,2,303.07
MERGE_GPM,2002,3,178.85
MERGE_GPM,2002,4,10.21
MERGE_GPM,2002,5,31.01
MERGE_GPM,2002,6,0.07
MERGE_GPM,2002,7,5.89
MERGE_GPM,2002,8,1.7
MERGE_GPM,2002,9,59.27
MERGE_GPM,2002,10,32.28
MERGE_GPM,2002,11,112.5
MERGE_GPM,2002,12,188.72
MERGE_GPM,2003,1,310.15
MERGE_GPM,2003,2,230.68
MERGE_GPM,2003,3,235.28
MERGE_GPM,2003,4,76.41
MERGE_GPM,2003,5,11.97
MERGE_GPM,2003,6,0.26
MERGE_GPM,2003,7,0.01
MERGE_GPM,2003,8,14.08
MERGE_GPM,2003,9,65.5
MERGE_GPM,2003,10,135.18
MERGE_GPM,2003,11,269.3
MERGE_GPM,2003,12,220.66
MERGE_GPM,2004,1,362.66
MERGE_GPM,2004,2,300.94
MERGE_GPM,2004,3,218.12
MERGE_GPM,2004,4,166.43
MERGE_GPM,2004,5,11.08
MERGE_GPM,2004,6,0.24
MERGE_GPM,2004,7,15.13
MERGE_GPM,2004,8,0
MERGE_GPM,2004,9,6.51
MERGE_GPM,2004,10,97.6
MERGE_GPM,2004,11,118.49
MERGE_GPM,2004,12,200.39
MERGE_GPM,2005,1,314.63
MERGE_GPM,2005,2,94.94
MERGE_GPM,2005,3,133.38
MERGE_GPM,2005,4,63.14
MERGE_GPM,2005,5,53.36
MERGE_GPM,2005,6,6.55
MERGE_GPM,2005,7,0.7
MERGE_GPM,2005,8,7.78
MERGE_GPM,2005,9,16.21
MERGE_GPM,2005,10,67.81
MERGE_GPM,2005,11,213.12
MERGE_GPM,2005,12,305.92
MERGE_GPM,2006,1,100.96
MERGE_GPM,2006,2,121.8
MERGE_GPM,2006,3,204.54
MERGE_GPM,2006,4,81.87
MERGE_GPM,2006,5,14.54
MERGE_GPM,2006,6,0.41
MERGE_GPM,2006,7,0.09
MERGE_GPM,2006,8,4.78
MERGE_GPM,2006,9,48.26
MERGE_GPM,2006,10,209.66
MERGE_GPM,2006,11,125.67
MERGE_GPM,2006,12,183.51
MERGE_GPM,2007,1,222.85
MERGE_GPM,2007,2,165.53
MERGE_GPM,2007,3,55.28
MERGE_GPM,2007,4,56.12
MERGE_GPM,2007,5,3.65
MERGE_GPM,2007,6,34.24
MERGE_GPM,2007,7,5.05
MERGE_GPM,2007,8,7.77
MERGE_GPM,2007,9,4.14
MERGE_GPM,2007,10,31.65
MERGE_GPM,2007,11,102.38
MERGE_GPM,2007,12,142.13
MERGE_GPM,2008,1,194.36
MERGE_GPM,2008,2,185.21
MERGE_GPM,2008,3,159.78
MERGE_GPM,2008,4,112.07
MERGE_GPM,2008,5,20.82
MERGE_GPM,2008,6,2.42
MERGE_GPM,2008,7,1.23
MERGE_GPM,2008,8,2.85
MERGE_GPM,2008,9,12.03
MERGE_GPM,2008,10,63.13
MERGE_GPM,2008,11,55.51
MERGE_GPM,2008,12,161.64
MERGE_GPM,2009,1,253.05
MERGE_GPM,2009,2,171.33
MERGE_GPM,2009,3,107.52
MERGE_GPM,2009,4,73.89
MERGE_GPM,2009,5,14.83
MERGE_GPM,2009,6,29.4
MERGE_GPM,2009,7,7.15
MERGE_GPM,2009,8,41.45
MERGE_GPM,2009,9,131.5
MERGE_GPM,2009,10,100.85
MERGE_GPM,2009,11,154.48
MERGE_GPM,2009,12,221.83
MERGE_GPM,2010,1,171.34
MERGE_GPM,2010,2,81.02
MERGE_GPM,2010,3,146.5
MERGE_GPM,2010,4,42.33
MERGE_GPM,2010,5,5.78
MERGE_GPM,2010,6,6.19
MERGE_GPM,2010,7,2.8
MERGE_GPM,2010,8,0
MERGE_GPM,2010,9,22.88
MERGE_GPM,2010,10,90.53
MERGE_GPM,2010,11,165.21
MERGE_GPM,2010,12,221.68
MERGE_GPM,2011,1,252.31
MERGE_GPM,2011,2,131.64
MERGE_GPM,2011,3,431.38
MERGE_GPM,2011,4,147.45
MERGE_GPM,2011,5,1.63
MERGE_GPM,2011,6,24.67
MERGE_GPM,2011,7,0.32
MERGE_GPM,2011,8,0.3
MERGE_GPM,2011,9,0.09
MERGE_GPM,2011,10,172.2
MERGE_GPM,2011,11,114.13
MERGE_GPM,2011,12,166.65
MERGE_GPM,2012,1,258.51
MERGE_GPM,2012,2,105.06
MERGE_GPM,2012,3,113.04
MERGE_GPM,2012,4,40.2
MERGE_GPM,2012,5,43.19
MERGE_GPM,2012,6,58.33
MERGE_GPM,2012,7,8.21
MERGE_GPM,2012,8,1.01
MERGE_GPM,2012,9,40.51
MERGE_GPM,2012,10,58.53
MERGE_GPM,2012,11,186.27
MERGE_GPM,2012,12,211.25
MERGE_GPM,2013,1,284
MERGE_GPM,2013,2,148.37
MERGE_GPM,2013,3,257.88
MERGE_GPM,2013,4,138.42
MERGE_GPM,2013,5,34.01
MERGE_GPM,2013,6,19.04
MERGE_GPM,2013,7,0.16
MERGE_GPM,2013,8,0.04
MERGE_GPM,2013,9,25.01
MERGE_GPM,2013,10,106.98
MERGE_GPM,2013,11,198.43
MERGE_GPM,2013,12,215.19
MERGE_GPM,2014,1,93.64
MERGE_GPM,2014,2,108.22
MERGE_GPM,2014,3,208.08
MERGE_GPM,2014,4,91.9
MERGE_GPM,2014,5,2.4
MERGE_GPM,2014,6,1.04
MERGE_GPM,2014,7,64.85
MERGE_GPM,2014,8,0.16
MERGE_GPM,2014,9,39.12
MERGE_GPM,2014,10,19.95
MERGE_GPM,2014,11,227.25
MERGE_GPM,2014,12,195.38
MERGE_GPM,2015,1,99.97
MERGE_GPM,2015,2,222.56
MERGE_GPM,2015,3,215.48
MERGE_GPM,2015,4,105.91
MERGE_GPM,2015,5,29.43
MERGE_GPM,2015,6,24.98
MERGE_GPM,2015,7,7.71
MERGE_GPM,2015,8,6.73
MERGE_GPM,2015,9,39.05
MERGE_GPM,2015,10,51.21
MERGE_GPM,2015,11,206.77
MERGE_GPM,2015,12,151.03
MERGE_GPM,2016,1,328.95
MERGE_GPM,2016,2,118.58
MERGE_GPM,2016,3,181.25
MERGE_GPM,2016,4,5.65
MERGE_GPM,2016,5,12.32
MERGE_GPM,2016,6,9.13
MERGE_GPM,2016,7,0
MERGE_GPM,2016,8,8.29
MERGE_GPM,2016,9,14.5
MERGE_GPM,2016,10,116.84
MERGE_GPM,2016,11,174.69
MERGE_GPM,2016,12,192.56
MERGE_GPM,2017,1,225.48
MERGE_GPM,2017,2,117.16
MERGE_GPM,2017,3,132.1
MERGE_GPM,2017,4,108.7
MERGE_GPM,2017,5,62.96
MERGE_GPM,2017,6,2.74
MERGE_GPM,2017,7,0
MERGE_GPM,2017,8,0.01
MERGE_GPM,2017,9,0.93
MERGE_GPM,2017,10,56.64
MERGE_GPM,2017,11,253.73
MERGE_GPM,2017,12,211.26
MERGE_GPM,2018,1,235.4
MERGE_GPM,2018,2,199.5
MERGE_GPM,2018,3,105.33
MERGE_GPM,2018,4,127.43
MERGE_GPM,2018,5,6.78
MERGE_GPM,2018,6,0.53
MERGE_GPM,2018,7,0
MERGE_GPM,2018,8,6.56
MERGE_GPM,2018,9,50.24
MERGE_GPM,2018,10,150.38
MERGE_GPM,2018,11,345.2
MERGE_GPM,2018,12,146.51
MERGE_GPM,2019,1,116.07
MERGE_GPM,2019,2,166.18
MERGE_GPM,2019,3,175.43
MERGE_GPM,2019,4,119.23
MERGE_GPM,2019,5,65.22
MERGE_GPM,2019,6,0.02
MERGE_GPM,2019,7,0.16
MERGE_GPM,2019,8,0.57
MERGE_GPM,2019,9,23.18
MERGE_GPM,2019,10,76.01
MERGE_GPM,2019,11,186.69
MERGE_GPM,2019,12,273.66
MERGE_GPM,2020,1,287.74
MERGE_GPM,2020,2,336.82
MERGE_GPM,2020,3,98.52
MERGE_GPM,2020,4,51.97
MERGE_GPM,2020,5,13.8
MERGE_GPM,2020,6,0.17
MERGE_GPM,2020,7,0.06
MERGE_GPM,2020,8,0.07
MERGE_GPM,2020,9,5.84
MERGE_GPM,2020,10,127.33
MERGE_GPM,2020,11,137.64
MERGE_GPM,2020,12,274.34
