TIPO,year,month,accumulate
MERGE_GPM,2000,6,17.33
MERGE_GPM,2000,7,27.35
MERGE_GPM,2000,8,7.96
MERGE_GPM,2000,9,15.01
MERGE_GPM,2000,10,9.41
MERGE_GPM,2000,11,90.21
MERGE_GPM,2000,12,132.6
MERGE_GPM,2001,1,123.28
MERGE_GPM,2001,2,159.21
MERGE_GPM,2001,3,184.77
MERGE_GPM,2001,4,127.14
MERGE_GPM,2001,5,49.11
MERGE_GPM,2001,6,24.52
MERGE_GPM,2001,7,5.21
MERGE_GPM,2001,8,0.37
MERGE_GPM,2001,9,14.56
MERGE_GPM,2001,10,35.8
MERGE_GPM,2001,11,37.74
MERGE_GPM,2001,12,79.85
MERGE_GPM,2002,1,268.58
MERGE_GPM,2002,2,62.12
MERGE_GPM,2002,3,119.31
MERGE_GPM,2002,4,105.14
MERGE_GPM,2002,5,44.76
MERGE_GPM,2002,6,12.08
MERGE_GPM,2002,7,6.33
MERGE_GPM,2002,8,0.57
MERGE_GPM,2002,9,19.64
MERGE_GPM,2002,10,11.89
MERGE_GPM,2002,11,29.8
MERGE_GPM,2002,12,144.65
MERGE_GPM,2003,1,152.87
MERGE_GPM,2003,2,173.33
MERGE_GPM,2003,3,248.8
MERGE_GPM,2003,4,91.89
MERGE_GPM,2003,5,69.84
MERGE_GPM,2003,6,27.98
MERGE_GPM,2003,7,4.69
MERGE_GPM,2003,8,11.17
MERGE_GPM,2003,9,3.9
MERGE_GPM,2003,10,9.87
MERGE_GPM,2003,11,71.2
MERGE_GPM,2003,12,64.63
MERGE_GPM,2004,1,436.34
MERGE_GPM,2004,2,230.81
MERGE_GPM,2004,3,128.38
MERGE_GPM,2004,4,110.42
MERGE_GPM,2004,5,36.25
MERGE_GPM,2004,6,20.21
MERGE_GPM,2004,7,9.01
MERGE_GPM,2004,8,2.81
MERGE_GPM,2004,9,3.32
MERGE_GPM,2004,10,25.76
MERGE_GPM,2004,11,56.25
MERGE_GPM,2004,12,59.35
MERGE_GPM,2005,1,181.73
MERGE_GPM,2005,2,140.63
MERGE_GPM,2005,3,186.68
MERGE_GPM,2005,4,90.87
MERGE_GPM,2005,5,62.43
MERGE_GPM,2005,6,8.61
MERGE_GPM,2005,7,4.63
MERGE_GPM,2005,8,4.22
MERGE_GPM,2005,9,4.48
MERGE_GPM,2005,10,3.44
MERGE_GPM,2005,11,48.24
MERGE_GPM,2005,12,112.61
MERGE_GPM,2006,1,43.57
MERGE_GPM,2006,2,181.24
MERGE_GPM,2006,3,219.52
MERGE_GPM,2006,4,217.91
MERGE_GPM,2006,5,92.47
MERGE_GPM,2006,6,13.11
MERGE_GPM,2006,7,2.41
