TIPO,year,month,accumulate
MERGE_GPM,2000,6,0
MERGE_GPM,2000,7,9.6
MERGE_GPM,2000,8,33.6
MERGE_GPM,2000,9,153.88
MERGE_GPM,2000,10,65.34
MERGE_GPM,2000,11,262.48
MERGE_GPM,2000,12,258.87
MERGE_GPM,2001,1,154.03
MERGE_GPM,2001,2,106.7
MERGE_GPM,2001,3,238.43
MERGE_GPM,2001,4,59.21
MERGE_GPM,2001,5,49.74
MERGE_GPM,2001,6,0.38
MERGE_GPM,2001,7,1.7
MERGE_GPM,2001,8,23.75
MERGE_GPM,2001,9,79.57
MERGE_GPM,2001,10,129.03
MERGE_GPM,2001,11,192.85
MERGE_GPM,2001,12,165.51
MERGE_GPM,2002,1,168.83
MERGE_GPM,2002,2,257.78
MERGE_GPM,2002,3,164.02
MERGE_GPM,2002,4,31.35
MERGE_GPM,2002,5,18.02
MERGE_GPM,2002,6,0.02
MERGE_GPM,2002,7,3.1
MERGE_GPM,2002,8,6.19
MERGE_GPM,2002,9,82.8
MERGE_GPM,2002,10,30.83
MERGE_GPM,2002,11,134.2
MERGE_GPM,2002,12,213.75
MERGE_GPM,2003,1,270.72
MERGE_GPM,2003,2,175.13
MERGE_GPM,2003,3,218.3
MERGE_GPM,2003,4,75.81
MERGE_GPM,2003,5,19.67
MERGE_GPM,2003,6,0.04
MERGE_GPM,2003,7,0.17
MERGE_GPM,2003,8,16.71
MERGE_GPM,2003,9,47.97
MERGE_GPM,2003,10,89.12
MERGE_GPM,2003,11,209.27
MERGE_GPM,2003,12,135.68
MERGE_GPM,2004,1,358.36
MERGE_GPM,2004,2,304.42
MERGE_GPM,2004,3,181.78
MERGE_GPM,2004,4,152.18
MERGE_GPM,2004,5,20.46
MERGE_GPM,2004,6,0.75
MERGE_GPM,2004,7,4.08
MERGE_GPM,2004,8,0.16
MERGE_GPM,2004,9,2.9
MERGE_GPM,2004,10,85.6
MERGE_GPM,2004,11,120.38
MERGE_GPM,2004,12,229.28
MERGE_GPM,2005,1,266.47
MERGE_GPM,2005,2,113.91
MERGE_GPM,2005,3,158.31
MERGE_GPM,2005,4,85.59
MERGE_GPM,2005,5,18.95
MERGE_GPM,2005,6,3.46
MERGE_GPM,2005,7,0.48
MERGE_GPM,2005,8,14.32
MERGE_GPM,2005,9,39.26
MERGE_GPM,2005,10,62.5
MERGE_GPM,2005,11,242.45
MERGE_GPM,2005,12,347.83
MERGE_GPM,2006,1,109.32
MERGE_GPM,2006,2,123.17
MERGE_GPM,2006,3,261.66
MERGE_GPM,2006,4,117.61
MERGE_GPM,2006,5,25.16
MERGE_GPM,2006,6,0.35
MERGE_GPM,2006,7,0.02
MERGE_GPM,2006,8,12.73
MERGE_GPM,2006,9,42.22
MERGE_GPM,2006,10,248.21
MERGE_GPM,2006,11,197.02
MERGE_GPM,2006,12,275.66
MERGE_GPM,2007,1,285.44
MERGE_GPM,2007,2,216.55
MERGE_GPM,2007,3,54.43
MERGE_GPM,2007,4,62.43
MERGE_GPM,2007,5,6.43
MERGE_GPM,2007,6,20.76
MERGE_GPM,2007,7,1.21
MERGE_GPM,2007,8,49.64
MERGE_GPM,2007,9,3.24
MERGE_GPM,2007,10,43.47
MERGE_GPM,2007,11,165.24
MERGE_GPM,2007,12,173.09
MERGE_GPM,2008,1,194.31
MERGE_GPM,2008,2,186.62
MERGE_GPM,2008,3,203.66
MERGE_GPM,2008,4,167.89
MERGE_GPM,2008,5,21.89
MERGE_GPM,2008,6,0.19
MERGE_GPM,2008,7,0.66
MERGE_GPM,2008,8,1.49
MERGE_GPM,2008,9,27.26
MERGE_GPM,2008,10,62.63
MERGE_GPM,2008,11,123.52
MERGE_GPM,2008,12,182.59
MERGE_GPM,2009,1,250.65
MERGE_GPM,2009,2,193.92
MERGE_GPM,2009,3,201.45
MERGE_GPM,2009,4,145.25
MERGE_GPM,2009,5,48.79
MERGE_GPM,2009,6,30.32
MERGE_GPM,2009,7,7.79
MERGE_GPM,2009,8,49.14
MERGE_GPM,2009,9,99.94
MERGE_GPM,2009,10,188.52
MERGE_GPM,2009,11,182.53
MERGE_GPM,2009,12,270.23
MERGE_GPM,2010,1,197.04
MERGE_GPM,2010,2,97.24
MERGE_GPM,2010,3,129.9
MERGE_GPM,2010,4,64.6
MERGE_GPM,2010,5,6.64
MERGE_GPM,2010,6,3.64
MERGE_GPM,2010,7,3.31
MERGE_GPM,2010,8,0.02
MERGE_GPM,2010,9,13.85
MERGE_GPM,2010,10,134.43
MERGE_GPM,2010,11,214.8
MERGE_GPM,2010,12,264.56
MERGE_GPM,2011,1,236.97
MERGE_GPM,2011,2,148.1
MERGE_GPM,2011,3,410.83
