TIPO,year,month,accumulate
MERGE_GPM,2000,6,0
MERGE_GPM,2000,7,18.63
MERGE_GPM,2000,8,35.79
MERGE_GPM,2000,9,135.09
MERGE_GPM,2000,10,51.22
MERGE_GPM,2000,11,241.34
MERGE_GPM,2000,12,245.25
MERGE_GPM,2001,1,159.06
MERGE_GPM,2001,2,136.03
MERGE_GPM,2001,3,317.88
MERGE_GPM,2001,4,58.42
MERGE_GPM,2001,5,62.99
MERGE_GPM,2001,6,1.26
MERGE_GPM,2001,7,0.75
MERGE_GPM,2001,8,46.02
MERGE_GPM,2001,9,77.05
MERGE_GPM,2001,10,168.63
MERGE_GPM,2001,11,212.47
MERGE_GPM,2001,12,190.55
MERGE_GPM,2002,1,197.96
MERGE_GPM,2002,2,248.41
MERGE_GPM,2002,3,148.68
MERGE_GPM,2002,4,29.94
MERGE_GPM,2002,5,14.9
MERGE_GPM,2002,6,0
MERGE_GPM,2002,7,0.99
MERGE_GPM,2002,8,15.3
MERGE_GPM,2002,9,101.4
MERGE_GPM,2002,10,43.21
MERGE_GPM,2002,11,197.67
MERGE_GPM,2002,12,268.8
MERGE_GPM,2003,1,269.68
MERGE_GPM,2003,2,157.72
MERGE_GPM,2003,3,269.29
MERGE_GPM,2003,4,57.45
MERGE_GPM,2003,5,30.94
MERGE_GPM,2003,6,0.21
MERGE_GPM,2003,7,0.76
MERGE_GPM,2003,8,19.54
MERGE_GPM,2003,9,35.08
MERGE_GPM,2003,10,94.07
MERGE_GPM,2003,11,174.38
MERGE_GPM,2003,12,167.23
MERGE_GPM,2004,1,426.45
MERGE_GPM,2004,2,300.45
MERGE_GPM,2004,3,150.57
MERGE_GPM,2004,4,125.75
MERGE_GPM,2004,5,41.35
MERGE_GPM,2004,6,0.13
MERGE_GPM,2004,7,2.49
MERGE_GPM,2004,8,0.05
MERGE_GPM,2004,9,0.25
MERGE_GPM,2004,10,85.79
MERGE_GPM,2004,11,105.01
MERGE_GPM,2004,12,111.06
MERGE_GPM,2005,1,114.54
MERGE_GPM,2005,2,53.54
MERGE_GPM,2005,3,93.77
MERGE_GPM,2005,4,137.28
MERGE_GPM,2005,5,9.23
MERGE_GPM,2005,6,4.07
MERGE_GPM,2005,7,0.2
MERGE_GPM,2005,8,24.04
MERGE_GPM,2005,9,26.9
MERGE_GPM,2005,10,65.49
MERGE_GPM,2005,11,98.48
MERGE_GPM,2005,12,223.4
MERGE_GPM,2006,1,67.5
MERGE_GPM,2006,2,107.65
MERGE_GPM,2006,3,266.15
MERGE_GPM,2006,4,157.14
MERGE_GPM,2006,5,36.83
MERGE_GPM,2006,6,0.3
MERGE_GPM,2006,7,0
MERGE_GPM,2006,8,7.89
MERGE_GPM,2006,9,26.83
MERGE_GPM,2006,10,265.78
MERGE_GPM,2006,11,185.01
MERGE_GPM,2006,12,265.87
MERGE_GPM,2007,1,274.66
MERGE_GPM,2007,2,181.14
MERGE_GPM,2007,3,68.87
MERGE_GPM,2007,4,113.89
MERGE_GPM,2007,5,13.08
MERGE_GPM,2007,6,3.31
MERGE_GPM,2007,7,0.18
MERGE_GPM,2007,8,32.26
MERGE_GPM,2007,9,10.56
MERGE_GPM,2007,10,37.27
MERGE_GPM,2007,11,168.2
MERGE_GPM,2007,12,179.93
MERGE_GPM,2008,1,210.37
MERGE_GPM,2008,2,146.71
MERGE_GPM,2008,3,180.18
MERGE_GPM,2008,4,181.57
MERGE_GPM,2008,5,18.95
MERGE_GPM,2008,6,0.26
MERGE_GPM,2008,7,0.4
MERGE_GPM,2008,8,0.02
MERGE_GPM,2008,9,22.19
MERGE_GPM,2008,10,38.57
MERGE_GPM,2008,11,75.44
MERGE_GPM,2008,12,159.38
MERGE_GPM,2009,1,203.65
MERGE_GPM,2009,2,195.32
MERGE_GPM,2009,3,271.88
MERGE_GPM,2009,4,196.82
MERGE_GPM,2009,5,68.69
MERGE_GPM,2009,6,44.46
MERGE_GPM,2009,7,7.61
MERGE_GPM,2009,8,45.14
MERGE_GPM,2009,9,47.73
MERGE_GPM,2009,10,275.01
MERGE_GPM,2009,11,170.77
MERGE_GPM,2009,12,135.64
MERGE_GPM,2010,1,103.3
MERGE_GPM,2010,2,40.62
MERGE_GPM,2010,3,83.79
MERGE_GPM,2010,4,29.34
MERGE_GPM,2010,5,4.85
MERGE_GPM,2010,6,1.1
MERGE_GPM,2010,7,1.5
MERGE_GPM,2010,8,0.03
MERGE_GPM,2010,9,7.8
MERGE_GPM,2010,10,111.32
MERGE_GPM,2010,11,229.74
MERGE_GPM,2010,12,256.99
MERGE_GPM,2011,1,235.25
MERGE_GPM,2011,2,206.23
MERGE_GPM,2011,3,399.95
MERGE_GPM,2011,4,66.71
MERGE_GPM,2011,5,7.86
MERGE_GPM,2011,6,7.66
MERGE_GPM,2011,7,0
MERGE_GPM,2011,8,0.05
MERGE_GPM,2011,9,3.15
MERGE_GPM,2011,10,219.66
MERGE_GPM,2011,11,188.1
MERGE_GPM,2011,12,342.89
MERGE_GPM,2012,1,362.31
MERGE_GPM,2012,2,237.19
MERGE_GPM,2012,3,129.19
MERGE_GPM,2012,4,129.82
MERGE_GPM,2012,5,70.69
MERGE_GPM,2012,6,9.28
MERGE_GPM,2012,7,1.16
MERGE_GPM,2012,8,0.02
MERGE_GPM,2012,9,62.6
MERGE_GPM,2012,10,80.33
MERGE_GPM,2012,11,327.38
MERGE_GPM,2012,12,149.31
MERGE_GPM,2013,1,195.47
MERGE_GPM,2013,2,41.84
MERGE_GPM,2013,3,171.14
MERGE_GPM,2013,4,44.24
MERGE_GPM,2013,5,19.14
MERGE_GPM,2013,6,24.96
MERGE_GPM,2013,7,0.02
MERGE_GPM,2013,8,0.16
MERGE_GPM,2013,9,34.54
MERGE_GPM,2013,10,138.96
MERGE_GPM,2013,11,120.53
MERGE_GPM,2013,12,173.86
MERGE_GPM,2014,1,83.77
MERGE_GPM,2014,2,129.28
MERGE_GPM,2014,3,358.01
MERGE_GPM,2014,4,150.77
MERGE_GPM,2014,5,2.79
MERGE_GPM,2014,6,1.81
MERGE_GPM,2014,7,1.39
MERGE_GPM,2014,8,0.06
MERGE_GPM,2014,9,14.14
MERGE_GPM,2014,10,31.45
MERGE_GPM,2014,11,172.32
MERGE_GPM,2014,12,185.17
MERGE_GPM,2015,1,56.86
MERGE_GPM,2015,2,134.86
MERGE_GPM,2015,3,177.22
MERGE_GPM,2015,4,155.85
MERGE_GPM,2015,5,10.28
MERGE_GPM,2015,6,0.42
MERGE_GPM,2015,7,1.59
MERGE_GPM,2015,8,3.49
MERGE_GPM,2015,9,26.99
MERGE_GPM,2015,10,61.15
MERGE_GPM,2015,11,171.61
MERGE_GPM,2015,12,167.08
MERGE_GPM,2016,1,445.49
MERGE_GPM,2016,2,157.56
MERGE_GPM,2016,3,181.97
MERGE_GPM,2016,4,7.16
