TIPO,year,month,accumulate
MERGE_GPM,2000,6,0
MERGE_GPM,2000,7,6.56
MERGE_GPM,2000,8,35.58
MERGE_GPM,2000,9,129.07
MERGE_GPM,2000,10,93.62
MERGE_GPM,2000,11,275.15
MERGE_GPM,2000,12,228.87
MERGE_GPM,2001,1,178.25
MERGE_GPM,2001,2,156.31
MERGE_GPM,2001,3,291.06
MERGE_GPM,2001,4,87.03
MERGE_GPM,2001,5,54.05
MERGE_GPM,2001,6,4.06
MERGE_GPM,2001,7,2.11
MERGE_GPM,2001,8,29.42
MERGE_GPM,2001,9,44.49
MERGE_GPM,2001,10,134.18
MERGE_GPM,2001,11,163.78
MERGE_GPM,2001,12,141.51
MERGE_GPM,2002,1,215.68
MERGE_GPM,2002,2,204.74
MERGE_GPM,2002,3,145.26
MERGE_GPM,2002,4,60.83
MERGE_GPM,2002,5,18.68
MERGE_GPM,2002,6,0
MERGE_GPM,2002,7,2.68
MERGE_GPM,2002,8,17.69
MERGE_GPM,2002,9,94.69
MERGE_GPM,2002,10,70.45
MERGE_GPM,2002,11,190.04
MERGE_GPM,2002,12,240.31
MERGE_GPM,2003,1,247.34
MERGE_GPM,2003,2,159.95
MERGE_GPM,2003,3,266.37
MERGE_GPM,2003,4,87.03
MERGE_GPM,2003,5,11.64
MERGE_GPM,2003,6,1
MERGE_GPM,2003,7,3.49
MERGE_GPM,2003,8,31.88
MERGE_GPM,2003,9,46.54
MERGE_GPM,2003,10,94.8
MERGE_GPM,2003,11,173.06
MERGE_GPM,2003,12,171.63
MERGE_GPM,2004,1,384.95
MERGE_GPM,2004,2,351.75
MERGE_GPM,2004,3,264.07
MERGE_GPM,2004,4,155.67
MERGE_GPM,2004,5,32.65
MERGE_GPM,2004,6,0.72
MERGE_GPM,2004,7,4.34
MERGE_GPM,2004,8,0.3
MERGE_GPM,2004,9,2.04
MERGE_GPM,2004,10,183.4
MERGE_GPM,2004,11,160.81
MERGE_GPM,2004,12,220.1
MERGE_GPM,2005,1,226.45
MERGE_GPM,2005,2,207.85
MERGE_GPM,2005,3,327
MERGE_GPM,2005,4,81.64
MERGE_GPM,2005,5,19.12
MERGE_GPM,2005,6,7.9
MERGE_GPM,2005,7,0.74
MERGE_GPM,2005,8,20.02
MERGE_GPM,2005,9,62.15
MERGE_GPM,2005,10,70.86
MERGE_GPM,2005,11,190.92
MERGE_GPM,2005,12,278.97
MERGE_GPM,2006,1,87.58
MERGE_GPM,2006,2,197.84
MERGE_GPM,2006,3,217.66
MERGE_GPM,2006,4,120.48
MERGE_GPM,2006,5,20.71
MERGE_GPM,2006,6,0.65
MERGE_GPM,2006,7,0.05
MERGE_GPM,2006,8,10.51
MERGE_GPM,2006,9,39.72
MERGE_GPM,2006,10,321.2
MERGE_GPM,2006,11,210.71
MERGE_GPM,2006,12,319.39
MERGE_GPM,2007,1,285.22
MERGE_GPM,2007,2,241.89
MERGE_GPM,2007,3,90.28
MERGE_GPM,2007,4,166.01
MERGE_GPM,2007,5,6.19
MERGE_GPM,2007,6,4.89
MERGE_GPM,2007,7,0.94
MERGE_GPM,2007,8,23.61
MERGE_GPM,2007,9,6.88
MERGE_GPM,2007,10,48.43
MERGE_GPM,2007,11,132.37
MERGE_GPM,2007,12,245.37
MERGE_GPM,2008,1,229.74
MERGE_GPM,2008,2,227.63
MERGE_GPM,2008,3,196.36
MERGE_GPM,2008,4,162.97
MERGE_GPM,2008,5,10.5
