TIPO,year,month,accumulate
MERGE_GPM,2000,6,0.05
MERGE_GPM,2000,7,8.9
MERGE_GPM,2000,8,22.12
MERGE_GPM,2000,9,86.88
MERGE_GPM,2000,10,51.57
MERGE_GPM,2000,11,240.55
MERGE_GPM,2000,12,271.95
MERGE_GPM,2001,1,166.86
MERGE_GPM,2001,2,117.34
MERGE_GPM,2001,3,185.47
MERGE_GPM,2001,4,54
MERGE_GPM,2001,5,83.2
MERGE_GPM,2001,6,6.05
MERGE_GPM,2001,7,1.57
MERGE_GPM,2001,8,17.63
MERGE_GPM,2001,9,66.88
MERGE_GPM,2001,10,126.97
MERGE_GPM,2001,11,222.24
MERGE_GPM,2001,12,217.6
MERGE_GPM,2002,1,211.28
MERGE_GPM,2002,2,274.77
MERGE_GPM,2002,3,144.78
MERGE_GPM,2002,4,13.29
MERGE_GPM,2002,5,22.07
MERGE_GPM,2002,6,0.61
MERGE_GPM,2002,7,8.8
MERGE_GPM,2002,8,6.83
MERGE_GPM,2002,9,50.7
MERGE_GPM,2002,10,46.67
MERGE_GPM,2002,11,111.5
MERGE_GPM,2002,12,180.03
MERGE_GPM,2003,1,329.67
MERGE_GPM,2003,2,179.04
MERGE_GPM,2003,3,235.7
MERGE_GPM,2003,4,101.74
MERGE_GPM,2003,5,18.65
MERGE_GPM,2003,6,7.28
MERGE_GPM,2003,7,0.18
MERGE_GPM,2003,8,13.39
MERGE_GPM,2003,9,41.08
MERGE_GPM,2003,10,90.34
MERGE_GPM,2003,11,157.79
MERGE_GPM,2003,12,187.88
MERGE_GPM,2004,1,265.68
MERGE_GPM,2004,2,309.77
MERGE_GPM,2004,3,162.26
MERGE_GPM,2004,4,135.7
MERGE_GPM,2004,5,23.99
MERGE_GPM,2004,6,3.74
MERGE_GPM,2004,7,15.03
MERGE_GPM,2004,8,0.05
MERGE_GPM,2004,9,3.86
MERGE_GPM,2004,10,126
MERGE_GPM,2004,11,142.63
MERGE_GPM,2004,12,193.38
MERGE_GPM,2005,1,292.21
MERGE_GPM,2005,2,53.15
MERGE_GPM,2005,3,148.85
MERGE_GPM,2005,4,29.45
MERGE_GPM,2005,5,31.55
MERGE_GPM,2005,6,13.12
MERGE_GPM,2005,7,2.11
MERGE_GPM,2005,8,10.64
MERGE_GPM,2005,9,49.38
MERGE_GPM,2005,10,97.2
MERGE_GPM,2005,11,177.31
MERGE_GPM,2005,12,261.81
MERGE_GPM,2006,1,119.78
MERGE_GPM,2006,2,165.24
MERGE_GPM,2006,3,213.25
MERGE_GPM,2006,4,99.14
MERGE_GPM,2006,5,15.36
MERGE_GPM,2006,6,2.12
MERGE_GPM,2006,7,2.7
MERGE_GPM,2006,8,11.33
MERGE_GPM,2006,9,37.95
MERGE_GPM,2006,10,190.34
MERGE_GPM,2006,11,171.86
MERGE_GPM,2006,12,245.19
MERGE_GPM,2007,1,225.76
MERGE_GPM,2007,2,177.64
MERGE_GPM,2007,3,99.96
MERGE_GPM,2007,4,41.26
MERGE_GPM,2007,5,19.39
MERGE_GPM,2007,6,33.08
MERGE_GPM,2007,7,19.97
MERGE_GPM,2007,8,2.45
MERGE_GPM,2007,9,12.75
MERGE_GPM,2007,10,73.83
MERGE_GPM,2007,11,87.58
MERGE_GPM,2007,12,166.43
MERGE_GPM,2008,1,255.74
MERGE_GPM,2008,2,243.7
MERGE_GPM,2008,3,200.61
MERGE_GPM,2008,4,127.82
MERGE_GPM,2008,5,32.62
MERGE_GPM,2008,6,0.82
MERGE_GPM,2008,7,0.44
MERGE_GPM,2008,8,4.55
MERGE_GPM,2008,9,19.22
MERGE_GPM,2008,10,84.37
MERGE_GPM,2008,11,130.6
MERGE_GPM,2008,12,187.77
MERGE_GPM,2009,1,229.76
MERGE_GPM,2009,2,194.96
MERGE_GPM,2009,3,152.51
MERGE_GPM,2009,4,73.23
MERGE_GPM,2009,5,28.41
MERGE_GPM,2009,6,24.21
MERGE_GPM,2009,7,10.32
MERGE_GPM,2009,8,28.4
MERGE_GPM,2009,9,130.14
MERGE_GPM,2009,10,126.68
MERGE_GPM,2009,11,199.4
MERGE_GPM,2009,12,297.45
MERGE_GPM,2010,1,186.24
MERGE_GPM,2010,2,113.95
MERGE_GPM,2010,3,168.08
MERGE_GPM,2010,4,68.52
MERGE_GPM,2010,5,11.37
MERGE_GPM,2010,6,8.35
MERGE_GPM,2010,7,4.63
MERGE_GPM,2010,8,0.12
MERGE_GPM,2010,9,16.92
MERGE_GPM,2010,10,108.61
MERGE_GPM,2010,11,193.49
MERGE_GPM,2010,12,218
MERGE_GPM,2011,1,224.07
MERGE_GPM,2011,2,190.35
MERGE_GPM,2011,3,356.29
MERGE_GPM,2011,4,81.65
MERGE_GPM,2011,5,1.72
MERGE_GPM,2011,6,32.85
MERGE_GPM,2011,7,0.18
MERGE_GPM,2011,8,2.59
MERGE_GPM,2011,9,5.9
MERGE_GPM,2011,10,170.22
MERGE_GPM,2011,11,129.07
MERGE_GPM,2011,12,211.29
MERGE_GPM,2012,1,246.83
MERGE_GPM,2012,2,166.38
MERGE_GPM,2012,3,120.86
MERGE_GPM,2012,4,64.24
MERGE_GPM,2012,5,29.68
MERGE_GPM,2012,6,49.61
MERGE_GPM,2012,7,4.71
MERGE_GPM,2012,8,0.32
MERGE_GPM,2012,9,52.15
MERGE_GPM,2012,10,52.84
MERGE_GPM,2012,11,199.11
MERGE_GPM,2012,12,169.79
MERGE_GPM,2013,1,267.48
MERGE_GPM,2013,2,154.98
MERGE_GPM,2013,3,211.11
MERGE_GPM,2013,4,91.61
MERGE_GPM,2013,5,33.5
MERGE_GPM,2013,6,17.72
MERGE_GPM,2013,7,1.74
MERGE_GPM,2013,8,0.33
MERGE_GPM,2013,9,24.77
MERGE_GPM,2013,10,90.71
