TIPO,year,month,accumulate
MERGE_GPM,2000,6,0.43
MERGE_GPM,2000,7,6.19
MERGE_GPM,2000,8,22.61
MERGE_GPM,2000,9,94.81
MERGE_GPM,2000,10,50.11
MERGE_GPM,2000,11,246.4
MERGE_GPM,2000,12,248.11
MERGE_GPM,2001,1,128.5
MERGE_GPM,2001,2,67.48
MERGE_GPM,2001,3,215.5
MERGE_GPM,2001,4,28.67
MERGE_GPM,2001,5,41.44
MERGE_GPM,2001,6,0.47
MERGE_GPM,2001,7,1.24
MERGE_GPM,2001,8,20.18
MERGE_GPM,2001,9,46.46
MERGE_GPM,2001,10,86.05
MERGE_GPM,2001,11,234.07
MERGE_GPM,2001,12,281.71
MERGE_GPM,2002,1,182.12
MERGE_GPM,2002,2,315.48
MERGE_GPM,2002,3,130.95
MERGE_GPM,2002,4,20.5
MERGE_GPM,2002,5,33.14
MERGE_GPM,2002,6,0.18
MERGE_GPM,2002,7,6.27
MERGE_GPM,2002,8,5.81
MERGE_GPM,2002,9,54.65
MERGE_GPM,2002,10,27.67
MERGE_GPM,2002,11,94.42
MERGE_GPM,2002,12,213.52
MERGE_GPM,2003,1,349.32
MERGE_GPM,2003,2,124.66
MERGE_GPM,2003,3,214.75
MERGE_GPM,2003,4,60.53
MERGE_GPM,2003,5,23.16
MERGE_GPM,2003,6,0.03
MERGE_GPM,2003,7,3.12
MERGE_GPM,2003,8,12.91
MERGE_GPM,2003,9,30.4
MERGE_GPM,2003,10,62.02
MERGE_GPM,2003,11,135.22
MERGE_GPM,2003,12,156.05
MERGE_GPM,2004,1,319.93
MERGE_GPM,2004,2,343.68
MERGE_GPM,2004,3,171.7
MERGE_GPM,2004,4,129.53
MERGE_GPM,2004,5,17.71
MERGE_GPM,2004,6,2.79
MERGE_GPM,2004,7,17.16
MERGE_GPM,2004,8,1.37
MERGE_GPM,2004,9,4.45
MERGE_GPM,2004,10,48.27
MERGE_GPM,2004,11,113.33
MERGE_GPM,2004,12,252.38
MERGE_GPM,2005,1,265.45
MERGE_GPM,2005,2,95.1
MERGE_GPM,2005,3,156.76
MERGE_GPM,2005,4,44.8
MERGE_GPM,2005,5,30.56
MERGE_GPM,2005,6,14.27
MERGE_GPM,2005,7,4.84
MERGE_GPM,2005,8,7.68
MERGE_GPM,2005,9,43.56
MERGE_GPM,2005,10,60.84
MERGE_GPM,2005,11,294.77
MERGE_GPM,2005,12,301.73
MERGE_GPM,2006,1,188.5
MERGE_GPM,2006,2,157.22
MERGE_GPM,2006,3,275.98
MERGE_GPM,2006,4,93.43
MERGE_GPM,2006,5,22.69
MERGE_GPM,2006,6,1.44
MERGE_GPM,2006,7,1.46
MERGE_GPM,2006,8,13.89
MERGE_GPM,2006,9,58.95
MERGE_GPM,2006,10,191.54
MERGE_GPM,2006,11,160.96
MERGE_GPM,2006,12,247.95
MERGE_GPM,2007,1,328.78
MERGE_GPM,2007,2,188.75
MERGE_GPM,2007,3,39.61
MERGE_GPM,2007,4,67.67
MERGE_GPM,2007,5,7.56
MERGE_GPM,2007,6,9.03
MERGE_GPM,2007,7,14.06
MERGE_GPM,2007,8,0.31
MERGE_GPM,2007,9,3.47
MERGE_GPM,2007,10,54.23
MERGE_GPM,2007,11,113.77
MERGE_GPM,2007,12,173.62
MERGE_GPM,2008,1,201.34
MERGE_GPM,2008,2,202.87
MERGE_GPM,2008,3,196.59
MERGE_GPM,2008,4,101.56
MERGE_GPM,2008,5,13.93
MERGE_GPM,2008,6,5.81
MERGE_GPM,2008,7,0.11
MERGE_GPM,2008,8,2.87
MERGE_GPM,2008,9,32.46
MERGE_GPM,2008,10,32.55
MERGE_GPM,2008,11,128.65
MERGE_GPM,2008,12,243.04
MERGE_GPM,2009,1,219.79
MERGE_GPM,2009,2,174.16
MERGE_GPM,2009,3,145.96
MERGE_GPM,2009,4,109.15
MERGE_GPM,2009,5,48.6
MERGE_GPM,2009,6,35.41
MERGE_GPM,2009,7,10.06
MERGE_GPM,2009,8,36.51
MERGE_GPM,2009,9,79.38
MERGE_GPM,2009,10,140.25
MERGE_GPM,2009,11,150.85
MERGE_GPM,2009,12,242.14
MERGE_GPM,2010,1,178.06
MERGE_GPM,2010,2,76.19
MERGE_GPM,2010,3,151.9
MERGE_GPM,2010,4,53.48
MERGE_GPM,2010,5,15.35
MERGE_GPM,2010,6,10.53
MERGE_GPM,2010,7,4.16
MERGE_GPM,2010,8,0
MERGE_GPM,2010,9,28.89
MERGE_GPM,2010,10,93.65
MERGE_GPM,2010,11,240.6
MERGE_GPM,2010,12,212.68
MERGE_GPM,2011,1,266.56
MERGE_GPM,2011,2,77.06
MERGE_GPM,2011,3,346
MERGE_GPM,2011,4,68.91
MERGE_GPM,2011,5,4
MERGE_GPM,2011,6,10.18
MERGE_GPM,2011,7,0.18
MERGE_GPM,2011,8,0.64
MERGE_GPM,2011,9,3.27
MERGE_GPM,2011,10,188.57
MERGE_GPM,2011,11,98.69
MERGE_GPM,2011,12,300.23
MERGE_GPM,2012,1,289.9
MERGE_GPM,2012,2,122.56
MERGE_GPM,2012,3,126.81
MERGE_GPM,2012,4,47.78
MERGE_GPM,2012,5,29.31
MERGE_GPM,2012,6,55.17
MERGE_GPM,2012,7,4.39
MERGE_GPM,2012,8,0.21
MERGE_GPM,2012,9,43.17
MERGE_GPM,2012,10,64.07
MERGE_GPM,2012,11,264.05
MERGE_GPM,2012,12,145.26
MERGE_GPM,2013,1,303.62
MERGE_GPM,2013,2,96.82
MERGE_GPM,2013,3,194.93
MERGE_GPM,2013,4,102.55
MERGE_GPM,2013,5,37.25
MERGE_GPM,2013,6,18.47
MERGE_GPM,2013,7,3.52
MERGE_GPM,2013,8,1.56
MERGE_GPM,2013,9,30.71
MERGE_GPM,2013,10,131.5
MERGE_GPM,2013,11,162.33
MERGE_GPM,2013,12,256.36
MERGE_GPM,2014,1,125.7
MERGE_GPM,2014,2,71.69
MERGE_GPM,2014,3,111.1
MERGE_GPM,2014,4,120.52
MERGE_GPM,2014,5,10.62
MERGE_GPM,2014,6,2.03
