TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.13
MERGE_GPM,2000,7,10.8
MERGE_GPM,2000,8,12.7
MERGE_GPM,2000,9,119.55
MERGE_GPM,2000,10,57.13
MERGE_GPM,2000,11,211.67
MERGE_GPM,2000,12,228.39
MERGE_GPM,2001,1,192.76
MERGE_GPM,2001,2,99.03
MERGE_GPM,2001,3,207.61
MERGE_GPM,2001,4,42.85
MERGE_GPM,2001,5,60.34
MERGE_GPM,2001,6,3.93
MERGE_GPM,2001,7,8.64
MERGE_GPM,2001,8,28.04
MERGE_GPM,2001,9,66
MERGE_GPM,2001,10,118.7
MERGE_GPM,2001,11,200.89
MERGE_GPM,2001,12,321.32
MERGE_GPM,2002,1,220.09
MERGE_GPM,2002,2,325.1
MERGE_GPM,2002,3,121.41
MERGE_GPM,2002,4,14.43
MERGE_GPM,2002,5,37.32
MERGE_GPM,2002,6,0.46
MERGE_GPM,2002,7,5.87
MERGE_GPM,2002,8,3.51
MERGE_GPM,2002,9,51.68
MERGE_GPM,2002,10,47.33
MERGE_GPM,2002,11,109.03
MERGE_GPM,2002,12,249.32
MERGE_GPM,2003,1,431.24
MERGE_GPM,2003,2,179.63
MERGE_GPM,2003,3,200.25
MERGE_GPM,2003,4,75.82
MERGE_GPM,2003,5,34.39
MERGE_GPM,2003,6,0.25
MERGE_GPM,2003,7,2.72
MERGE_GPM,2003,8,7.68
MERGE_GPM,2003,9,54.89
MERGE_GPM,2003,10,55.15
MERGE_GPM,2003,11,218.62
MERGE_GPM,2003,12,193.62
MERGE_GPM,2004,1,324.26
MERGE_GPM,2004,2,345.99
MERGE_GPM,2004,3,189.99
MERGE_GPM,2004,4,105.4
MERGE_GPM,2004,5,25.74
MERGE_GPM,2004,6,4.56
MERGE_GPM,2004,7,33.56
MERGE_GPM,2004,8,0.06
MERGE_GPM,2004,9,3.73
MERGE_GPM,2004,10,93.23
MERGE_GPM,2004,11,134.21
MERGE_GPM,2004,12,292.84
MERGE_GPM,2005,1,340.52
MERGE_GPM,2005,2,99.93
MERGE_GPM,2005,3,171.38
MERGE_GPM,2005,4,19.52
MERGE_GPM,2005,5,75.84
MERGE_GPM,2005,6,23.77
MERGE_GPM,2005,7,3.74
MERGE_GPM,2005,8,12.79
MERGE_GPM,2005,9,76.93
MERGE_GPM,2005,10,115.8
MERGE_GPM,2005,11,272.04
MERGE_GPM,2005,12,293.09
MERGE_GPM,2006,1,189.34
MERGE_GPM,2006,2,157.12
MERGE_GPM,2006,3,224.59
MERGE_GPM,2006,4,89.19
MERGE_GPM,2006,5,31.89
MERGE_GPM,2006,6,2.99
MERGE_GPM,2006,7,0.77
MERGE_GPM,2006,8,22.35
MERGE_GPM,2006,9,60.79
MERGE_GPM,2006,10,200.47
MERGE_GPM,2006,11,156.91
MERGE_GPM,2006,12,278.46
MERGE_GPM,2007,1,310.98
MERGE_GPM,2007,2,158.78
MERGE_GPM,2007,3,47.97
MERGE_GPM,2007,4,80.61
MERGE_GPM,2007,5,9.73
MERGE_GPM,2007,6,6.89
MERGE_GPM,2007,7,21.01
MERGE_GPM,2007,8,17.16
MERGE_GPM,2007,9,6.58
MERGE_GPM,2007,10,66.44
MERGE_GPM,2007,11,159.4
MERGE_GPM,2007,12,258.69
MERGE_GPM,2008,1,233.71
MERGE_GPM,2008,2,257.86
MERGE_GPM,2008,3,267.44
MERGE_GPM,2008,4,139.6
MERGE_GPM,2008,5,22.88
MERGE_GPM,2008,6,7.56
MERGE_GPM,2008,7,0.56
MERGE_GPM,2008,8,6.91
MERGE_GPM,2008,9,47.55
MERGE_GPM,2008,10,77.23
MERGE_GPM,2008,11,103.58
MERGE_GPM,2008,12,274.96
MERGE_GPM,2009,1,306.04
MERGE_GPM,2009,2,209.56
MERGE_GPM,2009,3,185
MERGE_GPM,2009,4,98.31
MERGE_GPM,2009,5,59.53
MERGE_GPM,2009,6,41.12
MERGE_GPM,2009,7,12.02
MERGE_GPM,2009,8,42.67
MERGE_GPM,2009,9,107.05
MERGE_GPM,2009,10,143.5
MERGE_GPM,2009,11,149.41
MERGE_GPM,2009,12,305.04
MERGE_GPM,2010,1,205.4
MERGE_GPM,2010,2,107.58
MERGE_GPM,2010,3,177.05
MERGE_GPM,2010,4,63.84
MERGE_GPM,2010,5,20.87
MERGE_GPM,2010,6,12.35
MERGE_GPM,2010,7,3.38
MERGE_GPM,2010,8,0.03
MERGE_GPM,2010,9,41.99
MERGE_GPM,2010,10,120.93
MERGE_GPM,2010,11,247.26
MERGE_GPM,2010,12,232.5
MERGE_GPM,2011,1,253.03
MERGE_GPM,2011,2,144.23
MERGE_GPM,2011,3,376.2
MERGE_GPM,2011,4,129.82
MERGE_GPM,2011,5,1.84
MERGE_GPM,2011,6,18.44
MERGE_GPM,2011,7,0.1
MERGE_GPM,2011,8,1.17
MERGE_GPM,2011,9,10.16
MERGE_GPM,2011,10,160.08
MERGE_GPM,2011,11,115.53
MERGE_GPM,2011,12,275.12
MERGE_GPM,2012,1,336.3
MERGE_GPM,2012,2,102.94
MERGE_GPM,2012,3,140.85
MERGE_GPM,2012,4,80.1
MERGE_GPM,2012,5,38.95
MERGE_GPM,2012,6,56.75
MERGE_GPM,2012,7,8.07
MERGE_GPM,2012,8,0.24
MERGE_GPM,2012,9,35.49
MERGE_GPM,2012,10,74.15
MERGE_GPM,2012,11,202.26
MERGE_GPM,2012,12,135.26
MERGE_GPM,2013,1,284.29
MERGE_GPM,2013,2,120.58
MERGE_GPM,2013,3,234.98
MERGE_GPM,2013,4,109.56
MERGE_GPM,2013,5,75.37
MERGE_GPM,2013,6,13.69
MERGE_GPM,2013,7,1.52
MERGE_GPM,2013,8,4.79
MERGE_GPM,2013,9,21.64
MERGE_GPM,2013,10,133.21
MERGE_GPM,2013,11,156.25
MERGE_GPM,2013,12,210.74
MERGE_GPM,2014,1,90.05
MERGE_GPM,2014,2,68.56
MERGE_GPM,2014,3,129.66
MERGE_GPM,2014,4,110.09
MERGE_GPM,2014,5,17.86
MERGE_GPM,2014,6,1.44
MERGE_GPM,2014,7,67.15
MERGE_GPM,2014,8,0.33
MERGE_GPM,2014,9,17.08
MERGE_GPM,2014,10,52.77
MERGE_GPM,2014,11,273.83
MERGE_GPM,2014,12,171.74
MERGE_GPM,2015,1,73.01
MERGE_GPM,2015,2,240.16
MERGE_GPM,2015,3,235.17
MERGE_GPM,2015,4,83.66
MERGE_GPM,2015,5,76.32
MERGE_GPM,2015,6,25.28
MERGE_GPM,2015,7,5.48
MERGE_GPM,2015,8,0.48
MERGE_GPM,2015,9,71.78
MERGE_GPM,2015,10,54.59
MERGE_GPM,2015,11,197.54
MERGE_GPM,2015,12,197.08
MERGE_GPM,2016,1,341.97
MERGE_GPM,2016,2,126.28
MERGE_GPM,2016,3,199.85
MERGE_GPM,2016,4,5.39
MERGE_GPM,2016,5,10.39
MERGE_GPM,2016,6,41.83
MERGE_GPM,2016,7,0
MERGE_GPM,2016,8,20.73
MERGE_GPM,2016,9,13.62
