,year_month,accumulate_basinp,accumulate_riop,accumulate_simao,accumulate_emborcacao,accumulate_itumbiara,Paranaiba_total
0,200006,0.58,17.33,0.05,0.43,1.13,19.519999999999996
1,200007,12.87,27.35,8.9,6.19,10.8,66.11
2,200008,37.64,7.96,22.12,22.61,12.7,103.03
3,200009,119.91,15.01,86.88,94.81,119.55,436.16
4,200010,63.75,9.41,51.57,50.11,57.13,231.96999999999997
5,200011,216.29,90.21,240.55,246.4,211.67,1005.1199999999999
6,200012,257.16,132.6,271.95,248.11,228.39,1138.21
7,200101,203.12,123.28,166.86,128.5,192.76,814.52
8,200102,191.05,159.21,117.34,67.48,99.03,634.11
9,200103,159.67,184.77,185.47,215.5,207.61,953.02
10,200104,56.33,127.14,54.0,28.67,42.85,308.99
11,200105,111.81,49.11,83.2,41.44,60.34,345.9
12,200106,17.07,24.52,6.05,0.47,3.93,52.04
13,200107,8.75,5.21,1.57,1.24,8.64,25.41
14,200108,21.84,0.37,17.63,20.18,28.04,88.06
15,200109,79.95,14.56,66.88,46.46,66.0,273.85
16,200110,85.9,35.8,126.97,86.05,118.7,453.42
17,200111,200.87,37.74,222.24,234.07,200.89,895.8100000000001
18,200112,325.54,79.85,217.6,281.71,321.32,1226.02
19,200201,237.0,268.58,211.28,182.12,220.09,1119.07
20,200202,348.88,62.12,274.77,315.48,325.1,1326.35
21,200203,238.39,119.31,144.78,130.95,121.41,754.84
22,200204,20.59,105.14,13.29,20.5,14.43,173.95000000000002
23,200205,67.87,44.76,22.07,33.14,37.32,205.15999999999997
24,200206,2.61,12.08,0.61,0.18,0.46,15.94
25,200207,46.88,6.33,8.8,6.27,5.87,74.15
26,200208,18.0,0.57,6.83,5.81,3.51,34.72
27,200209,58.16,19.64,50.7,54.65,51.68,234.83
28,200210,66.04,11.89,46.67,27.67,47.33,199.60000000000002
29,200211,118.26,29.8,111.5,94.42,109.03,463.01
30,200212,211.6,144.65,180.03,213.52,249.32,999.1199999999999
31,200301,371.0,152.87,329.67,349.32,431.24,1634.1
32,200302,185.4,173.33,179.04,124.66,179.63,842.06
33,200303,242.45,248.8,235.7,214.75,200.25,1141.95
34,200304,143.25,91.89,101.74,60.53,75.82,473.22999999999996
35,200305,33.13,69.84,18.65,23.16,34.39,179.17000000000002
36,200306,9.69,27.98,7.28,0.03,0.25,45.230000000000004
37,200307,0.69,4.69,0.18,3.12,2.72,11.4
38,200308,20.38,11.17,13.39,12.91,7.68,65.53
39,200309,35.23,3.9,41.08,30.4,54.89,165.5
40,200310,131.92,9.87,90.34,62.02,55.15,349.29999999999995
41,200311,119.13,71.2,157.79,135.22,218.62,701.96
42,200312,250.57,64.63,187.88,156.05,193.62,852.75
43,200401,278.03,436.34,265.68,319.93,324.26,1624.24
44,200402,289.64,230.81,309.77,343.68,345.99,1519.89
45,200403,125.37,128.38,162.26,171.7,189.99,777.7
46,200404,166.54,110.42,135.7,129.53,105.4,647.5899999999999
