,year_month,accumulate_priver,accumulate_capivara,accumulate_chavantes,accumulate_jurumirim,accumulate_tibaji,Paranapanema_total
0,200006,43.53,35.09,57.85,26.98,112.89,276.34
1,200007,59.1,59.97,62.34,41.67,72.78,295.86
2,200008,126.6,77.26,108.46,93.49,111.59,517.4
3,200009,202.69,148.17,166.21,154.99,198.46,870.5200000000001
4,200010,74.5,79.59,103.55,95.55,137.72,490.90999999999997
5,200011,134.57,201.5,154.33,154.76,124.95,770.11
6,200012,167.77,171.52,171.4,234.61,165.31,910.6100000000001
7,200101,150.26,148.53,104.83,161.12,169.44,734.1800000000001
8,200102,195.44,266.56,217.76,246.71,291.44,1217.91
9,200103,126.08,129.65,121.67,165.71,100.39,643.5
10,200104,61.15,57.71,75.42,52.28,80.58,327.14
11,200105,145.0,139.55,157.83,145.43,140.47,728.28
12,200106,85.39,82.61,108.64,101.43,123.09,501.15999999999997
13,200107,34.57,51.57,76.54,68.5,89.63,320.81
14,200108,80.09,58.99,78.12,67.22,76.06,360.48
15,200109,65.73,77.0,79.16,79.69,85.67,387.25000000000006
16,200110,64.67,129.8,159.98,173.24,146.15,673.84
17,200111,134.0,112.8,118.04,108.11,123.48,596.4300000000001
18,200112,180.72,197.0,218.39,288.6,154.99,1039.7
19,200201,238.79,238.66,258.47,263.39,266.04,1265.3500000000001
20,200202,124.42,131.26,117.56,128.42,78.9,580.56
21,200203,73.51,109.96,145.37,113.49,75.25,517.58
22,200204,17.19,10.31,15.51,25.88,34.9,103.78999999999999
23,200205,263.61,183.23,161.0,113.63,217.0,938.47
24,200206,8.04,8.21,6.95,5.05,7.55,35.8
25,200207,76.2,54.0,55.68,39.88,60.46,286.21999999999997
26,200208,46.54,86.78,92.17,93.53,96.1,415.12
27,200209,98.44,96.97,114.24,100.8,163.81,574.26
28,200210,50.44,49.62,85.16,110.82,119.65,415.68999999999994
29,200211,174.8,208.35,211.66,191.3,223.8,1009.9099999999999
30,200212,119.16,180.77,146.5,124.59,139.32,710.3399999999999
31,200301,347.01,266.74,260.03,275.97,240.66,1390.41
32,200302,257.98,168.35,154.17,152.58,151.16,884.24
33,200303,110.36,100.35,130.1,185.7,76.99,603.5
34,200304,104.87,123.19,117.36,125.23,89.6,560.25
35,200305,33.65,41.24,51.51,48.67,36.18,211.25
36,200306,52.1,48.37,64.32,74.46,51.37,290.62
37,200307,59.47,61.71,102.57,68.32,103.63,395.7
38,200308,66.32,39.23,29.15,31.1,33.15,198.95
39,200309,95.95,75.54,92.99,66.2,96.41,427.09000000000003
40,200310,88.02,102.47,128.63,108.04,127.89,555.0500000000001
41,200311,99.2,142.79,174.65,172.29,141.32,730.25
42,200312,170.6,143.68,176.37,164.95,174.03,829.6299999999999
43,200401,120.34,185.16,248.05,355.89,142.13,1051.57
44,200402,86.39,119.83,110.6,127.64,92.63,537.0899999999999
45,200403,125.53,97.16,109.03,121.91,121.82,575.45
46,200404,79.21,119.93,115.73,115.8,114.95,545.62
47,200405,260.57,168.01,189.89,134.14,220.07,972.6800000000001
48,200406,98.9,63.3,84.3,88.32,87.98,422.8
49,200407,87.18,90.18,113.32,94.04,128.45,513.1700000000001
50,200408,0.75,0.59,1.51,1.21,10.22,14.280000000000001
51,200409,40.76,27.66,40.91,26.34,54.73,190.39999999999998
52,200410,258.25,204.02,187.83,169.15,221.87,1041.12
53,200411,204.91,132.07,123.98,119.3,136.43,716.69
54,200412,99.67,142.89,130.12,166.63,106.19,645.5
55,200501,347.1,355.29,360.89,280.91,221.16,1565.3500000000004
56,200502,19.59,36.01,21.26,38.91,41.3,157.07
57,200503,59.94,94.23,73.17,40.21,46.49,314.04
58,200504,81.0,58.98,58.53,37.38,78.54,314.43
59,200505,72.96,96.86,110.56,137.39,118.5,536.27
60,200506,53.99,49.94,34.83,32.81,70.14,241.70999999999998
61,200507,33.51,32.01,60.57,62.96,59.66,248.71
62,200508,21.87,21.75,38.41,26.68,38.22,146.93
63,200509,210.96,145.38,195.49,190.19,225.55,967.5699999999999
64,200510,230.87,195.21,228.38,194.04,255.41,1103.91
65,200511,78.58,77.88,84.78,69.83,77.11,388.18
66,200512,65.93,149.64,103.27,108.98,75.78,503.6
67,200601,157.62,149.7,190.25,219.97,170.3,887.8399999999999
68,200602,217.82,201.06,161.14,169.61,157.23,906.86
69,200603,175.24,96.81,94.66,179.47,125.08,671.2600000000001
70,200604,57.24,57.63,44.76,61.32,46.92,267.87
71,200605,22.67,14.89,6.53,15.53,14.98,74.60000000000001
72,200606,19.49,24.81,22.07,22.62,46.6,135.59
73,200607,37.55,26.11,48.57,71.76,40.41,224.4
74,200608,22.52,15.51,19.95,13.3,41.42,112.7
75,200609,176.66,104.98,120.93,81.7,174.94,659.21
76,200610,101.85,98.94,105.46,61.8,89.63,457.68
77,200611,78.3,70.61,58.83,67.53,135.16,410.42999999999995
78,200612,213.65,185.27,110.73,84.02,162.01,755.6800000000001
79,200701,255.42,246.53,209.8,167.56,227.16,1106.47
80,200702,152.59,124.72,150.82,121.55,143.15,692.8299999999999
81,200703,107.89,125.0,102.67,86.07,103.4,525.03
82,200704,59.78,73.78,68.84,44.06,84.61,331.07
83,200705,41.57,41.91,64.89,37.32,118.99,304.68
84,200706,5.51,9.53,11.61,13.72,7.03,47.4
85,200707,180.57,155.12,126.0,78.74,164.28,704.7099999999999
86,200708,4.39,3.52,9.49,4.79,11.98,34.17
87,200709,8.96,15.21,24.22,14.85,22.3,85.54
88,200710,61.01,62.47,65.37,35.35,70.55,294.75
89,200711,192.96,154.84,147.35,96.83,174.87,766.85
90,200712,118.53,160.54,181.57,174.01,189.32,823.97
91,200801,164.13,170.61,181.04,186.05,169.02,870.8499999999999
92,200802,117.33,133.32,110.05,140.48,112.2,613.38
93,200803,100.82,102.48,67.15,105.0,111.15,486.6
94,200804,81.9,84.88,88.22,98.48,133.06,486.54
95,200805,47.07,57.67,52.01,57.51,71.1,285.36
96,200806,25.32,42.53,53.86,40.39,83.09,245.19
97,200807,6.7,5.6,23.36,12.87,39.23,87.75999999999999
98,200808,96.56,92.07,134.31,76.58,163.16,562.68
99,200809,44.65,47.11,53.23,47.39,52.5,244.88
100,200810,94.86,92.13,113.37,95.13,156.41,551.9
101,200811,103.17,80.84,90.79,80.91,95.76,451.47
102,200812,37.95,73.84,77.1,87.55,55.93,332.37
103,200901,276.04,360.73,332.7,289.28,258.2,1516.95
104,200902,171.68,206.29,165.44,192.96,194.78,931.1500000000001
105,200903,61.62,71.14,45.83,104.48,67.91,350.98
106,200904,19.34,31.84,20.18,78.94,20.52,170.82000000000002
107,200905,52.22,74.56,94.82,102.38,99.7,423.68
108,200906,57.72,74.88,88.58,80.74,85.56,387.48
109,200907,146.58,199.44,288.65,265.63,291.42,1191.72
110,200908,131.74,100.55,54.34,55.53,95.58,437.73999999999995
111,200909,173.02,161.31,210.61,240.2,265.66,1050.8000000000002
112,200910,310.11,244.72,222.58,174.26,281.57,1233.24
113,200911,204.59,209.0,210.69,198.78,216.66,1039.72
114,200912,230.61,197.16,165.35,219.71,190.48,1003.3100000000001
115,201001,255.15,254.84,327.59,333.99,261.24,1432.81
116,201002,178.25,117.78,104.05,136.57,171.2,707.8499999999999
117,201003,118.81,119.38,174.31,163.12,187.54,763.16
118,201004,51.69,71.66,93.29,101.78,175.31,493.72999999999996
119,201005,56.48,39.67,35.92,34.89,84.61,251.57
120,201006,13.12,25.44,27.99,30.95,48.19,145.69
121,201007,33.93,46.34,66.9,73.85,82.42,303.44
122,201008,12.94,15.45,39.76,27.93,38.8,134.88
123,201009,183.92,101.33,70.71,50.27,88.62,494.84999999999997
124,201010,166.49,137.73,159.69,123.11,190.97,777.99
125,201011,96.43,60.22,45.98,61.98,86.95,351.56
126,201012,243.01,239.38,215.78,274.91,258.76,1231.84
127,201101,155.04,207.34,235.3,197.56,213.62,1008.86
128,201102,254.59,141.93,170.35,190.61,227.54,985.02
129,201103,132.9,94.75,86.46,77.64,96.2,487.95
130,201104,104.26,92.49,83.96,55.08,94.08,429.86999999999995
131,201105,12.13,10.8,7.67,9.65,19.1,59.35
132,201106,46.88,63.61,84.81,76.22,97.63,369.15
133,201107,43.85,37.17,48.12,33.47,100.6,263.21000000000004
134,201108,22.34,34.31,84.22,63.77,204.31,408.95000000000005
135,201109,15.4,5.91,6.4,6.13,33.3,67.14
136,201110,156.13,250.97,295.45,229.55,243.37,1175.4699999999998
137,201111,114.31,89.28,113.12,76.54,109.92,503.1700000000001
138,201112,56.78,69.24,89.28,52.28,74.03,341.61
139,201201,171.22,218.24,189.13,210.46,222.52,1011.57
140,201202,85.62,97.31,122.84,166.8,99.95,572.52
141,201203,86.04,54.8,77.05,68.87,75.99,362.75
142,201204,139.41,102.41,105.51,73.97,179.08,600.38
143,201205,104.39,69.55,40.02,27.44,67.2,308.6
144,201206,314.39,254.29,256.06,240.07,315.19,1380.0
145,201207,24.51,43.59,73.41,78.95,68.94,289.4
146,201208,2.24,2.99,9.32,4.73,7.89,27.17
147,201209,83.4,87.99,64.4,52.22,73.85,361.86
148,201210,43.6,84.81,105.05,94.93,108.56,436.95
149,201211,113.17,75.62,73.63,79.02,89.43,430.87
150,201212,208.78,179.03,175.94,197.95,182.79,944.49
151,201301,130.56,150.32,124.22,138.65,142.6,686.35
152,201302,235.82,206.6,242.3,184.99,243.48,1113.19
153,201303,147.9,178.86,146.48,162.88,142.1,778.22
154,201304,172.3,176.4,146.26,125.82,118.42,739.1999999999999
155,201305,103.86,136.1,114.08,91.4,116.38,561.8199999999999
156,201306,133.2,154.33,235.59,170.55,314.49,1008.1600000000001
157,201307,44.25,61.48,109.66,94.63,111.17,421.19
158,201308,1.59,2.84,8.08,9.21,18.96,40.68
159,201309,81.77,83.72,100.88,118.25,137.38,522.0
160,201310,156.32,161.91,135.55,122.17,164.8,740.75
161,201311,99.2,93.51,94.64,82.53,94.86,464.74
162,201312,68.09,61.51,52.67,80.89,82.73,345.89
163,201401,133.06,170.95,166.3,145.42,186.77,802.5
164,201402,137.19,100.03,86.53,91.35,110.73,525.83
165,201403,164.03,145.48,142.19,129.98,151.02,732.6999999999999
166,201404,104.44,122.98,143.09,118.15,95.52,584.18
167,201405,89.19,78.2,91.76,82.61,111.13,452.89
168,201406,47.32,27.36,78.27,72.58,170.42,395.94999999999993
169,201407,96.45,61.84,67.0,33.78,74.89,333.96000000000004
170,201408,23.95,16.3,42.27,30.09,41.16,153.77
171,201409,151.79,152.83,183.12,134.35,213.43,835.52
172,201410,29.13,34.77,27.85,33.67,44.21,169.63
173,201411,130.38,122.68,126.74,127.6,132.68,640.0799999999999
174,201412,147.05,276.9,210.0,191.16,278.85,1103.96
175,201501,171.39,149.14,136.24,139.46,198.5,794.73
176,201502,180.47,189.04,202.77,206.4,184.78,963.4599999999999
177,201503,154.98,167.45,167.11,208.28,132.37,830.1899999999999
178,201504,59.91,48.9,36.84,57.34,65.96,268.95
179,201505,85.14,90.05,133.16,84.91,155.23,548.49
180,201506,12.49,13.22,18.18,19.28,48.48,111.65
181,201507,225.45,176.69,168.49,137.5,326.02,1034.15
182,201508,28.68,33.91,44.52,43.73,46.56,197.4
183,201509,169.38,177.33,222.78,209.13,166.79,945.41
184,201510,216.74,200.91,220.25,139.96,218.39,996.25
185,201511,350.72,374.86,337.21,278.24,286.78,1627.81
186,201512,193.6,271.19,290.77,244.79,231.77,1232.12
187,201601,264.91,301.88,284.8,265.91,230.74,1348.24
188,201602,274.26,288.55,236.47,151.68,270.91,1221.8700000000001
189,201603,67.22,96.07,105.15,122.65,112.9,503.99
190,201604,89.51,64.85,59.89,31.93,90.79,336.97
191,201605,143.12,148.82,168.45,142.12,196.88,799.39
192,201606,82.89,104.55,107.0,117.17,112.63,524.24
193,201607,31.93,25.35,39.21,32.83,67.6,196.92
194,201608,80.72,70.69,132.88,96.09,145.09,525.47
195,201609,45.23,50.89,64.73,49.02,50.92,260.79
196,201610,136.88,122.34,142.54,130.22,156.62,688.6
197,201611,34.93,72.47,77.24,60.29,87.69,332.62
198,201612,188.73,175.08,137.43,144.83,171.52,817.59
199,201701,189.82,223.18,288.25,283.11,183.54,1167.9
200,201702,128.48,119.72,88.89,105.01,137.96,580.06
201,201703,113.18,136.45,112.77,114.85,106.97,584.22
202,201704,110.69,101.77,107.73,131.57,124.68,576.44
203,201705,226.05,187.64,160.59,159.75,165.76,899.79
204,201706,77.34,118.92,130.01,148.23,165.43,639.9300000000001
205,201707,0.51,0.32,1.03,1.8,1.15,4.8100000000000005
206,201708,116.74,83.73,91.46,62.17,108.19,462.29
207,201709,11.2,3.65,4.66,1.97,17.47,38.949999999999996
208,201710,236.64,196.56,224.38,163.5,312.71,1133.79
209,201711,117.97,167.03,172.09,160.18,188.41,805.68
210,201712,149.59,159.5,208.14,193.29,238.83,949.35
211,201801,285.79,220.07,224.77,227.07,271.76,1229.46
212,201802,140.08,93.39,67.96,83.18,88.19,472.8
213,201803,146.04,173.57,161.21,208.61,187.23,876.6600000000001
214,201804,16.02,21.83,15.59,34.87,13.84,102.15
215,201805,42.89,32.02,40.05,39.94,39.9,194.79999999999998
216,201806,33.33,26.85,35.62,38.64,69.42,203.86
217,201807,0.02,0.63,1.84,5.4,3.44,11.33
218,201808,140.69,139.18,107.54,95.7,109.08,592.19
219,201809,128.24,112.11,99.99,82.6,100.21,523.1500000000001
220,201810,231.53,194.91,172.31,152.18,255.01,1005.94
221,201811,132.16,114.68,81.85,94.23,78.83,501.75
222,201812,51.54,105.31,117.34,161.31,87.45,522.95
223,201901,111.78,159.46,187.73,167.5,150.63,777.1
224,201902,120.81,166.77,132.88,157.99,181.96,760.4100000000001
225,201903,129.36,128.54,100.83,84.83,160.21,603.77
226,201904,45.15,70.61,100.78,97.87,100.02,414.42999999999995
227,201905,49.79,59.38,78.55,67.34,140.18,395.24
