TIPO,year,month,accumulate
MERGE_GPM,2000,6,43.53
MERGE_GPM,2000,7,59.1
MERGE_GPM,2000,8,126.6
MERGE_GPM,2000,9,202.69
MERGE_GPM,2000,10,74.5
MERGE_GPM,2000,11,134.57
MERGE_GPM,2000,12,167.77
MERGE_GPM,2001,1,150.26
MERGE_GPM,2001,2,195.44
MERGE_GPM,2001,3,126.08
MERGE_GPM,2001,4,61.15
MERGE_GPM,2001,5,145
MERGE_GPM,2001,6,85.39
MERGE_GPM,2001,7,34.57
MERGE_GPM,2001,8,80.09
MERGE_GPM,2001,9,65.73
MERGE_GPM,2001,10,64.67
MERGE_GPM,2001,11,134
MERGE_GPM,2001,12,180.72
MERGE_GPM,2002,1,238.79
MERGE_GPM,2002,2,124.42
MERGE_GPM,2002,3,73.51
MERGE_GPM,2002,4,17.19
MERGE_GPM,2002,5,263.61
MERGE_GPM,2002,6,8.04
MERGE_GPM,2002,7,76.2
MERGE_GPM,2002,8,46.54
MERGE_GPM,2002,9,98.44
MERGE_GPM,2002,10,50.44
MERGE_GPM,2002,11,174.8
MERGE_GPM,2002,12,119.16
MERGE_GPM,2003,1,347.01
MERGE_GPM,2003,2,257.98
MERGE_GPM,2003,3,110.36
MERGE_GPM,2003,4,104.87
MERGE_GPM,2003,5,33.65
MERGE_GPM,2003,6,52.1
MERGE_GPM,2003,7,59.47
MERGE_GPM,2003,8,66.32
MERGE_GPM,2003,9,95.95
MERGE_GPM,2003,10,88.02
MERGE_GPM,2003,11,99.2
MERGE_GPM,2003,12,170.6
MERGE_GPM,2004,1,120.34
MERGE_GPM,2004,2,86.39
MERGE_GPM,2004,3,125.53
MERGE_GPM,2004,4,79.21
MERGE_GPM,2004,5,260.57
MERGE_GPM,2004,6,98.9
MERGE_GPM,2004,7,87.18
MERGE_GPM,2004,8,0.75
MERGE_GPM,2004,9,40.76
MERGE_GPM,2004,10,258.25
MERGE_GPM,2004,11,204.91
MERGE_GPM,2004,12,99.67
MERGE_GPM,2005,1,347.1
MERGE_GPM,2005,2,19.59
MERGE_GPM,2005,3,59.94
MERGE_GPM,2005,4,81
MERGE_GPM,2005,5,72.96
MERGE_GPM,2005,6,53.99
MERGE_GPM,2005,7,33.51
MERGE_GPM,2005,8,21.87
MERGE_GPM,2005,9,210.96
MERGE_GPM,2005,10,230.87
MERGE_GPM,2005,11,78.58
MERGE_GPM,2005,12,65.93
MERGE_GPM,2006,1,157.62
MERGE_GPM,2006,2,217.82
MERGE_GPM,2006,3,175.24
MERGE_GPM,2006,4,57.24
MERGE_GPM,2006,5,22.67
MERGE_GPM,2006,6,19.49
MERGE_GPM,2006,7,37.55
MERGE_GPM,2006,8,22.52
MERGE_GPM,2006,9,176.66
MERGE_GPM,2006,10,101.85
MERGE_GPM,2006,11,78.3
MERGE_GPM,2006,12,213.65
MERGE_GPM,2007,1,255.42
MERGE_GPM,2007,2,152.59
MERGE_GPM,2007,3,107.89
MERGE_GPM,2007,4,59.78
MERGE_GPM,2007,5,41.57
MERGE_GPM,2007,6,5.51
MERGE_GPM,2007,7,180.57
MERGE_GPM,2007,8,4.39
MERGE_GPM,2007,9,8.96
MERGE_GPM,2007,10,61.01
MERGE_GPM,2007,11,192.96
MERGE_GPM,2007,12,118.53
MERGE_GPM,2008,1,164.13
MERGE_GPM,2008,2,117.33
MERGE_GPM,2008,3,100.82
MERGE_GPM,2008,4,81.9
MERGE_GPM,2008,5,47.07
MERGE_GPM,2008,6,25.32
MERGE_GPM,2008,7,6.7
MERGE_GPM,2008,8,96.56
MERGE_GPM,2008,9,44.65
MERGE_GPM,2008,10,94.86
MERGE_GPM,2008,11,103.17
MERGE_GPM,2008,12,37.95
MERGE_GPM,2009,1,276.04
MERGE_GPM,2009,2,171.68
MERGE_GPM,2009,3,61.62
MERGE_GPM,2009,4,19.34
MERGE_GPM,2009,5,52.22
MERGE_GPM,2009,6,57.72
MERGE_GPM,2009,7,146.58
MERGE_GPM,2009,8,131.74
MERGE_GPM,2009,9,173.02
MERGE_GPM,2009,10,310.11
MERGE_GPM,2009,11,204.59
MERGE_GPM,2009,12,230.61
MERGE_GPM,2010,1,255.15
MERGE_GPM,2010,2,178.25
MERGE_GPM,2010,3,118.81
MERGE_GPM,2010,4,51.69
MERGE_GPM,2010,5,56.48
MERGE_GPM,2010,6,13.12
MERGE_GPM,2010,7,33.93
MERGE_GPM,2010,8,12.94
MERGE_GPM,2010,9,183.92
MERGE_GPM,2010,10,166.49
MERGE_GPM,2010,11,96.43
MERGE_GPM,2010,12,243.01
MERGE_GPM,2011,1,155.04
MERGE_GPM,2011,2,254.59
MERGE_GPM,2011,3,132.9
MERGE_GPM,2011,4,104.26
MERGE_GPM,2011,5,12.13
MERGE_GPM,2011,6,46.88
MERGE_GPM,2011,7,43.85
MERGE_GPM,2011,8,22.34
MERGE_GPM,2011,9,15.4
MERGE_GPM,2011,10,156.13
MERGE_GPM,2011,11,114.31
MERGE_GPM,2011,12,56.78
MERGE_GPM,2012,1,171.22
MERGE_GPM,2012,2,85.62
MERGE_GPM,2012,3,86.04
MERGE_GPM,2012,4,139.41
MERGE_GPM,2012,5,104.39
MERGE_GPM,2012,6,314.39
MERGE_GPM,2012,7,24.51
MERGE_GPM,2012,8,2.24
MERGE_GPM,2012,9,83.4
MERGE_GPM,2012,10,43.6
MERGE_GPM,2012,11,113.17
MERGE_GPM,2012,12,208.78
MERGE_GPM,2013,1,130.56
MERGE_GPM,2013,2,235.82
MERGE_GPM,2013,3,147.9
MERGE_GPM,2013,4,172.3
MERGE_GPM,2013,5,103.86
MERGE_GPM,2013,6,133.2
MERGE_GPM,2013,7,44.25
MERGE_GPM,2013,8,1.59
MERGE_GPM,2013,9,81.77
MERGE_GPM,2013,10,156.32
MERGE_GPM,2013,11,99.2
MERGE_GPM,2013,12,68.09
MERGE_GPM,2014,1,133.06
MERGE_GPM,2014,2,137.19
MERGE_GPM,2014,3,164.03
MERGE_GPM,2014,4,104.44
MERGE_GPM,2014,5,89.19
MERGE_GPM,2014,6,47.32
MERGE_GPM,2014,7,96.45
MERGE_GPM,2014,8,23.95
MERGE_GPM,2014,9,151.79
MERGE_GPM,2014,10,29.13
MERGE_GPM,2014,11,130.38
MERGE_GPM,2014,12,147.05
MERGE_GPM,2015,1,171.39
MERGE_GPM,2015,2,180.47
MERGE_GPM,2015,3,154.98
MERGE_GPM,2015,4,59.91
MERGE_GPM,2015,5,85.14
MERGE_GPM,2015,6,12.49
MERGE_GPM,2015,7,225.45
MERGE_GPM,2015,8,28.68
MERGE_GPM,2015,9,169.38
MERGE_GPM,2015,10,216.74
MERGE_GPM,2015,11,350.72
MERGE_GPM,2015,12,193.6
MERGE_GPM,2016,1,264.91
MERGE_GPM,2016,2,274.26
MERGE_GPM,2016,3,67.22
MERGE_GPM,2016,4,89.51
MERGE_GPM,2016,5,143.12
MERGE_GPM,2016,6,82.89
MERGE_GPM,2016,7,31.93
MERGE_GPM,2016,8,80.72
MERGE_GPM,2016,9,45.23
MERGE_GPM,2016,10,136.88
