TIPO,year,month,accumulate
MERGE_GPM,2000,6,35.09
MERGE_GPM,2000,7,59.97
MERGE_GPM,2000,8,77.26
MERGE_GPM,2000,9,148.17
MERGE_GPM,2000,10,79.59
MERGE_GPM,2000,11,201.5
MERGE_GPM,2000,12,171.52
MERGE_GPM,2001,1,148.53
MERGE_GPM,2001,2,266.56
MERGE_GPM,2001,3,129.65
MERGE_GPM,2001,4,57.71
MERGE_GPM,2001,5,139.55
MERGE_GPM,2001,6,82.61
MERGE_GPM,2001,7,51.57
MERGE_GPM,2001,8,58.99
MERGE_GPM,2001,9,77
MERGE_GPM,2001,10,129.8
MERGE_GPM,2001,11,112.8
MERGE_GPM,2001,12,197
MERGE_GPM,2002,1,238.66
MERGE_GPM,2002,2,131.26
MERGE_GPM,2002,3,109.96
MERGE_GPM,2002,4,10.31
MERGE_GPM,2002,5,183.23
MERGE_GPM,2002,6,8.21
MERGE_GPM,2002,7,54
MERGE_GPM,2002,8,86.78
MERGE_GPM,2002,9,96.97
MERGE_GPM,2002,10,49.62
MERGE_GPM,2002,11,208.35
MERGE_GPM,2002,12,180.77
MERGE_GPM,2003,1,266.74
MERGE_GPM,2003,2,168.35
MERGE_GPM,2003,3,100.35
MERGE_GPM,2003,4,123.19
MERGE_GPM,2003,5,41.24
MERGE_GPM,2003,6,48.37
MERGE_GPM,2003,7,61.71
MERGE_GPM,2003,8,39.23
MERGE_GPM,2003,9,75.54
MERGE_GPM,2003,10,102.47
MERGE_GPM,2003,11,142.79
MERGE_GPM,2003,12,143.68
MERGE_GPM,2004,1,185.16
MERGE_GPM,2004,2,119.83
MERGE_GPM,2004,3,97.16
MERGE_GPM,2004,4,119.93
MERGE_GPM,2004,5,168.01
MERGE_GPM,2004,6,63.3
MERGE_GPM,2004,7,90.18
MERGE_GPM,2004,8,0.59
MERGE_GPM,2004,9,27.66
MERGE_GPM,2004,10,204.02
MERGE_GPM,2004,11,132.07
MERGE_GPM,2004,12,142.89
MERGE_GPM,2005,1,355.29
MERGE_GPM,2005,2,36.01
MERGE_GPM,2005,3,94.23
MERGE_GPM,2005,4,58.98
MERGE_GPM,2005,5,96.86
MERGE_GPM,2005,6,49.94
MERGE_GPM,2005,7,32.01
MERGE_GPM,2005,8,21.75
MERGE_GPM,2005,9,145.38
MERGE_GPM,2005,10,195.21
MERGE_GPM,2005,11,77.88
MERGE_GPM,2005,12,149.64
MERGE_GPM,2006,1,149.7
