TIPO,year,month,accumulate
MERGE_GPM,2000,6,57.85
MERGE_GPM,2000,7,62.34
MERGE_GPM,2000,8,108.46
MERGE_GPM,2000,9,166.21
MERGE_GPM,2000,10,103.55
MERGE_GPM,2000,11,154.33
MERGE_GPM,2000,12,171.4
MERGE_GPM,2001,1,104.83
MERGE_GPM,2001,2,217.76
MERGE_GPM,2001,3,121.67
MERGE_GPM,2001,4,75.42
MERGE_GPM,2001,5,157.83
MERGE_GPM,2001,6,108.64
MERGE_GPM,2001,7,76.54
MERGE_GPM,2001,8,78.12
MERGE_GPM,2001,9,79.16
MERGE_GPM,2001,10,159.98
MERGE_GPM,2001,11,118.04
MERGE_GPM,2001,12,218.39
MERGE_GPM,2002,1,258.47
MERGE_GPM,2002,2,117.56
MERGE_GPM,2002,3,145.37
MERGE_GPM,2002,4,15.51
MERGE_GPM,2002,5,161
MERGE_GPM,2002,6,6.95
MERGE_GPM,2002,7,55.68
MERGE_GPM,2002,8,92.17
MERGE_GPM,2002,9,114.24
MERGE_GPM,2002,10,85.16
MERGE_GPM,2002,11,211.66
MERGE_GPM,2002,12,146.5
MERGE_GPM,2003,1,260.03
MERGE_GPM,2003,2,154.17
MERGE_GPM,2003,3,130.1
MERGE_GPM,2003,4,117.36
MERGE_GPM,2003,5,51.51
MERGE_GPM,2003,6,64.32
MERGE_GPM,2003,7,102.57
MERGE_GPM,2003,8,29.15
MERGE_GPM,2003,9,92.99
MERGE_GPM,2003,10,128.63
MERGE_GPM,2003,11,174.65
MERGE_GPM,2003,12,176.37
MERGE_GPM,2004,1,248.05
MERGE_GPM,2004,2,110.6
MERGE_GPM,2004,3,109.03
MERGE_GPM,2004,4,115.73
MERGE_GPM,2004,5,189.89
MERGE_GPM,2004,6,84.3
MERGE_GPM,2004,7,113.32
MERGE_GPM,2004,8,1.51
MERGE_GPM,2004,9,40.91
MERGE_GPM,2004,10,187.83
MERGE_GPM,2004,11,123.98
MERGE_GPM,2004,12,130.12
MERGE_GPM,2005,1,360.89
MERGE_GPM,2005,2,21.26
MERGE_GPM,2005,3,73.17
MERGE_GPM,2005,4,58.53
MERGE_GPM,2005,5,110.56
MERGE_GPM,2005,6,34.83
MERGE_GPM,2005,7,60.57
MERGE_GPM,2005,8,38.41
MERGE_GPM,2005,9,195.49
MERGE_GPM,2005,10,228.38
MERGE_GPM,2005,11,84.78
MERGE_GPM,2005,12,103.27
MERGE_GPM,2006,1,190.25
MERGE_GPM,2006,2,161.14
MERGE_GPM,2006,3,94.66
MERGE_GPM,2006,4,44.76
MERGE_GPM,2006,5,6.53
MERGE_GPM,2006,6,22.07
MERGE_GPM,2006,7,48.57
MERGE_GPM,2006,8,19.95
MERGE_GPM,2006,9,120.93
MERGE_GPM,2006,10,105.46
MERGE_GPM,2006,11,58.83
MERGE_GPM,2006,12,110.73
MERGE_GPM,2007,1,209.8
