TIPO,year,month,accumulate
MERGE_GPM,2000,6,112.89
MERGE_GPM,2000,7,72.78
MERGE_GPM,2000,8,111.59
MERGE_GPM,2000,9,198.46
MERGE_GPM,2000,10,137.72
MERGE_GPM,2000,11,124.95
MERGE_GPM,2000,12,165.31
MERGE_GPM,2001,1,169.44
MERGE_GPM,2001,2,291.44
MERGE_GPM,2001,3,100.39
MERGE_GPM,2001,4,80.58
MERGE_GPM,2001,5,140.47
MERGE_GPM,2001,6,123.09
MERGE_GPM,2001,7,89.63
MERGE_GPM,2001,8,76.06
MERGE_GPM,2001,9,85.67
MERGE_GPM,2001,10,146.15
MERGE_GPM,2001,11,123.48
MERGE_GPM,2001,12,154.99
MERGE_GPM,2002,1,266.04
MERGE_GPM,2002,2,78.9
MERGE_GPM,2002,3,75.25
MERGE_GPM,2002,4,34.9
MERGE_GPM,2002,5,217
MERGE_GPM,2002,6,7.55
MERGE_GPM,2002,7,60.46
MERGE_GPM,2002,8,96.1
MERGE_GPM,2002,9,163.81
MERGE_GPM,2002,10,119.65
MERGE_GPM,2002,11,223.8
MERGE_GPM,2002,12,139.32
MERGE_GPM,2003,1,240.66
MERGE_GPM,2003,2,151.16
MERGE_GPM,2003,3,76.99
MERGE_GPM,2003,4,89.6
MERGE_GPM,2003,5,36.18
MERGE_GPM,2003,6,51.37
MERGE_GPM,2003,7,103.63
MERGE_GPM,2003,8,33.15
MERGE_GPM,2003,9,96.41
MERGE_GPM,2003,10,127.89
MERGE_GPM,2003,11,141.32
MERGE_GPM,2003,12,174.03
MERGE_GPM,2004,1,142.13
MERGE_GPM,2004,2,92.63
MERGE_GPM,2004,3,121.82
MERGE_GPM,2004,4,114.95
MERGE_GPM,2004,5,220.07
MERGE_GPM,2004,6,87.98
MERGE_GPM,2004,7,128.45
MERGE_GPM,2004,8,10.22
MERGE_GPM,2004,9,54.73
MERGE_GPM,2004,10,221.87
MERGE_GPM,2004,11,136.43
MERGE_GPM,2004,12,106.19
MERGE_GPM,2005,1,221.16
MERGE_GPM,2005,2,41.3
MERGE_GPM,2005,3,46.49
MERGE_GPM,2005,4,78.54
MERGE_GPM,2005,5,118.5
MERGE_GPM,2005,6,70.14
MERGE_GPM,2005,7,59.66
MERGE_GPM,2005,8,38.22
MERGE_GPM,2005,9,225.55
MERGE_GPM,2005,10,255.41
MERGE_GPM,2005,11,77.11
MERGE_GPM,2005,12,75.78
MERGE_GPM,2006,1,170.3
MERGE_GPM,2006,2,157.23
MERGE_GPM,2006,3,125.08
MERGE_GPM,2006,4,46.92
MERGE_GPM,2006,5,14.98
MERGE_GPM,2006,6,46.6
MERGE_GPM,2006,7,40.41
MERGE_GPM,2006,8,41.42
MERGE_GPM,2006,9,174.94
MERGE_GPM,2006,10,89.63
MERGE_GPM,2006,11,135.16
MERGE_GPM,2006,12,162.01
MERGE_GPM,2007,1,227.16
MERGE_GPM,2007,2,143.15
MERGE_GPM,2007,3,103.4
MERGE_GPM,2007,4,84.61
MERGE_GPM,2007,5,118.99
MERGE_GPM,2007,6,7.03
MERGE_GPM,2007,7,164.28
MERGE_GPM,2007,8,11.98
MERGE_GPM,2007,9,22.3
MERGE_GPM,2007,10,70.55
MERGE_GPM,2007,11,174.87
MERGE_GPM,2007,12,189.32
MERGE_GPM,2008,1,169.02
MERGE_GPM,2008,2,112.2
MERGE_GPM,2008,3,111.15
MERGE_GPM,2008,4,133.06
MERGE_GPM,2008,5,71.1
MERGE_GPM,2008,6,83.09
MERGE_GPM,2008,7,39.23
MERGE_GPM,2008,8,163.16
MERGE_GPM,2008,9,52.5
MERGE_GPM,2008,10,156.41
MERGE_GPM,2008,11,95.76
MERGE_GPM,2008,12,55.93
MERGE_GPM,2009,1,258.2
MERGE_GPM,2009,2,194.78
MERGE_GPM,2009,3,67.91
MERGE_GPM,2009,4,20.52
MERGE_GPM,2009,5,99.7
MERGE_GPM,2009,6,85.56
MERGE_GPM,2009,7,291.42
MERGE_GPM,2009,8,95.58
MERGE_GPM,2009,9,265.66
MERGE_GPM,2009,10,281.57
MERGE_GPM,2009,11,216.66
MERGE_GPM,2009,12,190.48
MERGE_GPM,2010,1,261.24
MERGE_GPM,2010,2,171.2
MERGE_GPM,2010,3,187.54
MERGE_GPM,2010,4,175.31
MERGE_GPM,2010,5,84.61
MERGE_GPM,2010,6,48.19
MERGE_GPM,2010,7,82.42
MERGE_GPM,2010,8,38.8
MERGE_GPM,2010,9,88.62
MERGE_GPM,2010,10,190.97
MERGE_GPM,2010,11,86.95
MERGE_GPM,2010,12,258.76
MERGE_GPM,2011,1,213.62
MERGE_GPM,2011,2,227.54
MERGE_GPM,2011,3,96.2
MERGE_GPM,2011,4,94.08
MERGE_GPM,2011,5,19.1
MERGE_GPM,2011,6,97.63
MERGE_GPM,2011,7,100.6
MERGE_GPM,2011,8,204.31
MERGE_GPM,2011,9,33.3
MERGE_GPM,2011,10,243.37
MERGE_GPM,2011,11,109.92
MERGE_GPM,2011,12,74.03
MERGE_GPM,2012,1,222.52
MERGE_GPM,2012,2,99.95
MERGE_GPM,2012,3,75.99
MERGE_GPM,2012,4,179.08
MERGE_GPM,2012,5,67.2
MERGE_GPM,2012,6,315.19
MERGE_GPM,2012,7,68.94
MERGE_GPM,2012,8,7.89
MERGE_GPM,2012,9,73.85
MERGE_GPM,2012,10,108.56
MERGE_GPM,2012,11,89.43
MERGE_GPM,2012,12,182.79
MERGE_GPM,2013,1,142.6
MERGE_GPM,2013,2,243.48
MERGE_GPM,2013,3,142.1
MERGE_GPM,2013,4,118.42
MERGE_GPM,2013,5,116.38
MERGE_GPM,2013,6,314.49
MERGE_GPM,2013,7,111.17
MERGE_GPM,2013,8,18.96
MERGE_GPM,2013,9,137.38
MERGE_GPM,2013,10,164.8
MERGE_GPM,2013,11,94.86
MERGE_GPM,2013,12,82.73
MERGE_GPM,2014,1,186.77
MERGE_GPM,2014,2,110.73
MERGE_GPM,2014,3,151.02
MERGE_GPM,2014,4,95.52
MERGE_GPM,2014,5,111.13
MERGE_GPM,2014,6,170.42
MERGE_GPM,2014,7,74.89
MERGE_GPM,2014,8,41.16
MERGE_GPM,2014,9,213.43
MERGE_GPM,2014,10,44.21
MERGE_GPM,2014,11,132.68
MERGE_GPM,2014,12,278.85
MERGE_GPM,2015,1,198.5
MERGE_GPM,2015,2,184.78
MERGE_GPM,2015,3,132.37
MERGE_GPM,2015,4,65.96
MERGE_GPM,2015,5,155.23
MERGE_GPM,2015,6,48.48
MERGE_GPM,2015,7,326.02
MERGE_GPM,2015,8,46.56
MERGE_GPM,2015,9,166.79
MERGE_GPM,2015,10,218.39
MERGE_GPM,2015,11,286.78
MERGE_GPM,2015,12,231.77
MERGE_GPM,2016,1,230.74
MERGE_GPM,2016,2,270.91
MERGE_GPM,2016,3,112.9
